աա	ɑ ɑ
բանտարկություն	b ɑ n t ɑ ɾ k u t sʰ j u n
բաշխել	b ɑ ʃ χ ɛ l
բառապաշար	b ɑ r ɑ p ɑ ʃ ɑ ɾ
բառարան	b ɑ r ɑ ɾ ɑ n
բառացանկ	b ɑ r ɑ t sʰ ɑ n k
բառացի	b ɑ r ɑ t͡sʰ i
բավական	b ɑ v ɑ k ɑ n
բավարար	b ɑ v ɑ ɾ ɑ ɾ
բավարարել	b ɑ v ɑ ɾ ɑ ɾ ɛ l
բարակ	b ɑ ɾ ɑ k
բարաք	b ɑ ɾ ɑ kʰ
բարգավաճ	b ɑ ɾ ɡ ɑ v ɑ t͡ʃ
բարդացնել	b ɑ ɾ tʰ ɑ t͡sʰ n ɛ l
բարեգործական	b ɑ ɾ ɛ ɡ ɔ ɾ t͡s ɑ k ɑ n
բարեգործություն	b ɑ ɾ ɛ ɡ ɔ ɾ t͡s u tʰ j u n
բարելավել	b ɑ ɾ ɛ l ɑ v ɛ l
բարեկենդան	b ɑ ɾ ɛ k ɛ n tʰ ɑ n
բարեւ	b ɑ ɾ ɛ v
բարձ	b ɑ ɾ t͡sʰ
բարձր	b ɑ ɾ t͡sʰ ə ɾ
բարձրագույն	b ɑ ɾ t͡sʰ ɾ ɑ ɡ u j n
բարձրաձայն	b ɑ ɾ t͡sʰ ɾ ɑ d͡z ɑ j n
բարձրանալ	b ɑ ɾ t͡sʰ ɾ ɑ n ɑ l
բարձրացնել	b ɑ ɾ t͡sʰ ɾ ɑ t͡sʰ n ɛ l
բարձրացում	b ɑ ɾ t͡sʰ ɾ ɑ t͡sʰ u m
բարձրություն	b ɑ ɾ t͡sʰ ɾ u tʰ j u n
բարոն	b ɑ ɾ ɔ n
բարով	b ɑ ɾ ɔ v
բարսեղյան	b ɑ ɾ s ɛ ʁ j ɑ n
բարվոք	b ɑ ɾ v o kʰ
բաց	b ɑ t͡sʰ
բացակա	b ɑ t͡sʰ ɑ k ɑ
բացականչում	b ɑ t͡sʰ ɑ k ɑ n t͡ʃʰ u m
բացահայտ	b ɑ t͡sʰ ɑ h ɑ j t
բացառապես	b ɑ t͡sʰ ɑ r ɑ p ɛ s
բացառել	b ɑ t͡sʰ ɑ r ɛ l
բացառիկ	b ɑ t͡sʰ ɑ r i k
բացառություն	b ɑ t͡sʰ ɑ r u tʰ j u n
բացասական	b ɑ t͡sʰ ɑ s ɑ k ɑ n
բացատրական	b ɑ t͡sʰ ɑ t ɾ ɑ k ɑ n
բացատրել	b ɑ t͡sʰ ɑ t ɾ ɛ l
բացարձակ	b ɑ t͡sʰ ɑ ɾ t͡sʰ ɑ k
բացել	b ɑ t͡sʰ ɛ l
բացի	b ɑ t͡sʰ i
բացում	b ɑ t͡sʰ u m
բաքու	b ɑ kʰ u
բեթհովեն	b ɛ tʰ h ɔ v ɛ n
բելառուս	b ɛ l ɑ r u s
բելուջստան	b ɛ l u d͡ʒ s t ɑ n
բեղ	b ɛ ʁ
բեղուն	b ɛ ʁ u n
բեն	b ɛ n
բենգալերեն	b ɛ n ɡ ɑ l ɛ ɾ ɛ n
բենզին	b ɛ n z i n
բեռ	b ɛ r
բեռն	b ɛ r n
բեռնատար	b ɛ r n ɑ t ɑ ɾ
բերան	b ɛ ɾ ɑ n
բերանի	b ɛ ɾ ɑ n i
բերել	b ɛ ɾ ɛ l
բերման	b ɛ ɾ m ɑ n
բերրի	b ɛ ɾː i
բժշկություն	b ə ʒ ə ʃ k u tʰ j u n
բիզնես	b i z n ɛ s
բիլ	b i l
բիծ	b i t͡s
բլիթ	b ə l i tʰ
բլոգ	b l o ɡ
բլոգեր	b ə l ɔ ɡ ɛ ɾ
բլոկադա	b l ɔ k ɑ d ɑ
բլուր	b ə l u ɾ
բխել	b ə χ ɛ l
բհկ	b ə h ə k ə
բղավել	b ə ʁ ɑ v ɛ l
բյուջետային	b j u d͡ʒ ɛ t ɑ j i n
բնական	b ə n ɑ k ɑ n
բնակարան	b ə n ɑ k ɑ ɾ ɑ n
բնակչություն	b ə n ɑ k t͡ʃʰ u t͡sʰ j u n
բնակվել	b ə n ɑ k v ɛ l
բնորոշ	b ə n ɔ ɾ ɔ ʃ
բնորոշել	b ə n ɔ ɾ ɔ ʃ ɛ l
բնութագրել	b ə n u tʰ ɑ ɡ ə ɾ ɛ l
բնույթ	b ə n u j tʰ
բոբիկ	b ɔ b i k
բոլոնիա	b ɔ l ɔ n j ɑ
բոլոր	b ɔ l ɔ ɾ
բոլորը	b ɔ l ɔ ɾ ə
բոլորովին	b ɔ l ɔ ɾ ɔ v i n
բողկ	b ɔ χ k
բողոք	b ɔ ʁ ɔ kʰ
բողոքարկել	b ɔ ʁ ɔ kʰ ɑ ɾ k ɛ l
բողոքել	b o ʁ o kʰ ɛ l
բոնուս	b ɔ n u s
բովանդակություն	b ɔ v ɑ n d ɑ k u tʰ j u n
բորենի	b ɔ ɾ ɛ n i
բորոտ	b ɔ ɾ ɔ t
բուդ	b u d
բութ	b u tʰ
բուժել	b u ʒ ɛ l
բուլղարացի	b u l ʁ ɑ ɾ ɑ t͡sʰ i
բուխարեստ	b u χ ɑ ɾ ɛ s t
բույր	b u j ɾ
բուն	b u n
բուռն	b u r ə n
բուսական	b u s ɑ k ɑ n
բուստ	b u s t
բուրդ	b u ɾ tʰ
բջիջ	b ə d͡ʒ i d͡ʒ
բջջային	b ə d͡ʒ ə d͡ʒ ɑ j i n
բռնաբար	b ə r n ɑ b ɑ ɾ
բռնաբարել	b ə r n ɑ b ɑ ɾ ɛ l
բռնակալ	b ə r n ɑ k ɑ l
բռնապետ	b ə r n ɑ p ɛ t
բռնություն	b ə r n u tʰ j u n
բրազիլիա	b ɾ ɑ z i l j ɑ
բրատիսլավա	b ɾ ɑ t i s l ɑ v ɑ
բրիտանական	b ɾ i t ɑ n ɑ k ɑ n
բրիտանացի	b ɾ i t ɑ n ɑ t͡sʰ i
բրիտանիա	b ɾ i t ɑ n j ɑ
բրյուսել	b ɾ j u s ɛ l
բրոնզ	b ə ɾ ɔ n z
բրուցելոզ	b ɾ u t sʰ ɛ l o z
գագաթ	ɡ ɑ ɡ ɑ tʰ
գազ	ɡ ɑ z
գազայի	ɡ ɑ z ɑ j i
գաթա	ɡ ɑ tʰ ɑ
գալ	ɡ ɑ l
գալիս	ɡ ɑ l i s
գալուստ	ɡ ɑ l u s t
գալստյան	ɡ ɑ l ə s t j ɑ n
գաղափար	ɡ ɑ ʁ ɑ pʰ ɑ ɾ
գաղտնաբառ	ɡ ɑ χ t n ɑ b ɑ r
գաղտնի	ɡ ɑ χ t n i
գաղտնիք	ɡ ɑ χ t n i kʰ
գայանե	ɡ ɑ j ɑ n ɛ
գայթակղել	ɡ ɑ j tʰ ɑ k ə ʁ ɛ l
գայլ	ɡ ɑ j l
գանձ	ɡ ɑ n d͡z
գանձակ	ɡ ɑ n d͡z ɑ k
գառնարած	ɡ ɑ r n ɑ ɾ ɑ t͡s
գառնիկ	ɡ ɑ r n i k
գավաթ	ɡ ɑ v ɑ tʰ
գավառ	ɡ ɑ v ɑ r
գարեգին	ɡ ɑ ɾ ɛ ɡ i n
գարեջուր	ɡ ɑ ɾ ɛ d͡ʒ u ɾ
գարիկ	ɡ ɑ ɾ i k
գարնանային	ɡ ɑ ɾ n ɑ n ɑ j i n
գարուն	ɡ ɑ ɾ u n
գգվել	ɡ ə kʰ v ɛ l
գդալ	ɡ ə tʰ ɑ l
գել	ɡ ɛ l
գեղ	ɡ ɛ ʁ
գեղամ	ɡ ɛ ʁ ɑ m
գեղամյան	ɡ ɛ ʁ ɑ m j ɑ n
գեղարդ	ɡ ɛ ʁ ɑ ɾ tʰ
գեղարվեստական	ɡ ɛ ʁ ɑ ɾ v ɛ s t ɑ k ɑ n
գեղարքունիք	ɡ ɛ ʁ ɑ ɾ kʰ u n i kʰ
գեղեցկություն	ɡ ɛ ʁ ɛ t͡sʰ k u tʰ j u n
գեղձի	ɡ ɛ ʁ d͡z i
գեներալ	ɡ ɛ n ɛ ɾ ɑ l
գեշ	ɡ ɛ ʃ
գետ	ɡ ɛ t
գետին	ɡ ɛ t i n
գեր	ɡ ɛ ɾ
գերագնահատել	ɡ ɛ ɾ ɑ ɡ ə n ɑ h ɑ t ɛ l
գերագույն	ɡ ɛ ɾ ɑ ɡ u j n
գերազանցություն	ɡ ɛ ɾ ɑ z ɑ n t͡sʰ u tʰ j u n
գերանդի	ɡ ɛ ɾ ɑ n d i
գերել	ɡ ɛ ɾ ɛ l
գերի	ɡ ɛ ɾ i
գերմանական	ɡ ɛ ɾ m ɑ n ɑ k ɑ n
գերմանացի	ɡ ɛ ɾ m ɑ n ɑ t͡sʰ i
գերմաներեն	ɡ ɛ ɾ m ɑ n ɛ ɾ ɛ n
գերմանիա	ɡ ɛ ɾ m ɑ n j ɑ
գերմանիայի	ɡ ɛ ɾ m ɑ n j ɑ j i
գեւորգ	ɡ ɛ v ɔ ɾ kʰ
գիժ	ɡ i ʒ
գինի	ɡ i n i
գիշերային	ɡ i ʃ ɛ ɾ ɑ j i n
գիսակ	ɡ i s ɑ k
գիսաստղ	ɡ i s ɑ s t ə ʁ
գիտական	ɡ i t ɑ k ɑ n
գիտակից	ɡ i t ɑ k i t͡sʰ
գիտակցական	ɡ i t ɑ k t͡sʰ ɑ k ɑ n
գիտակցել	ɡ i t ɑ k t͡sʰ ɛ l
գիտակցում	ɡ i t ɑ k t͡sʰ u m
գիտեմ	ɡ i t ɛ m
գիտենալ	ɡ i t ɛ n ɑ l
գիտնական	ɡ i t n ɑ k ɑ n
գիտություն	ɡ i t u tʰ j u n
գիր	ɡ i ɾ
գիրուկ	ɡ i ɾ u k
գիրք	ɡ i ɾ kʰ
գիրքը	ɡ i ɾ kʰ ə
գիրքն	ɡ i ɾ kʰ n
գլխավոր	ɡ ə l χ ɑ v ɔ ɾ
գլխարկ	ɡ ə l χ ɑ ɾ k
գլորել	ɡ ə l o ɾ ɛ l
գլուխ	ɡ ə l u χ
գմբեթ	ɡ ə m b ɛ tʰ
գյուղապետ	ɡ j u ʁ ɑ p ɛ t
գյուղատնտեսական	ɡ j u ʁ ɑ t ə n t ɛ s ɑ k ɑ n
գյուղացի	ɡ j u ʁ ɑ t͡sʰ i
գյումրի	ɡ j u m ɾ i
գնալ	ɡ ə n ɑ l
գնալով	ɡ ə n ɑ l ɔ v
գնաճ	ɡ ə n ɑ t͡ʃ
գնդակ	ɡ ə n d ɑ k
գնդապետ	ɡ ə n d ɑ p ɛ t
գնդացիր	ɡ ə n d ɑ t͡sʰ i ɾ
գնել	ɡ ə n ɛ l
գնում	ɡ ə n u m
գոլ	ɡ ɔ l
գողանալ	ɡ ɔ ʁ ɑ n ɑ l
գոմ	ɡ ɔ m
գոյանալ	ɡ ɔ j ɑ n ɑ l
գոյություն	ɡ o j u tʰ j u n
գոչում	ɡ o t͡ʃʰ u m
գոռ	ɡ ɔ r
գործ	ɡ ɔ ɾ t͡s
գործադուլ	ɡ ɔ ɾ t͡s ɑ d u l
գործառույթ	ɡ ɔ ɾ t͡s ɑ r u j tʰ
գործառույթը	ɡ ɔ ɾ t͡s ɑ r u j tʰ ə
գործարան	ɡ ɔ ɾ t͡s ɑ ɾ ɑ n
գործարար	ɡ ɔ ɾ t͡s ɑ ɾ ɑ ɾ
գործարկել	ɡ ɔ ɾ t͡s ɑ ɾ k ɛ l
գործարք	ɡ ɔ ɾ t͡s ɑ ɾ kʰ
գործել	ɡ ɔ ɾ t͡s ɛ l
գործելաոճ	ɡ ɔ ɾ t͡s ɛ l ɑ v ɔ t͡ʃ
գործի	ɡ ɔ ɾ t͡s i
գործող	ɡ ɔ ɾ t͡s ɔ ʁ
գործողություն	ɡ ɔ ɾ t͡s ɔ ʁ u tʰ j u n
գործում	ɡ o ɾ t s u m
գործունեություն	ɡ ɔ ɾ t͡s u n ɛ u tʰ j u n
գորկի	ɡ o ɾ k i
գորշ	ɡ ɔ ɾ ʃ
գորշուկ	ɡ ɔ ɾ ʃ u k
գութ	ɡ u tʰ
գումար	ɡ u m ɑ ɾ
գումարում	ɡ u m ɑ ɾ u m
գույք	ɡ u j kʰ
գուշակ	ɡ u ʃ ɑ k
գուրգուրել	ɡ u ɾ ɡ u ɾ ɛ l
գուցե	ɡ u t͡sʰ ɛ
գռեհիկ	ɡ ə r ɛ h i k
գտնել	ɡ ə t n ɛ l
գտնվել	ɡ ə t n ə v ɛ l
գրագետ	ɡ ə ɾ ɑ ɡ ɛ t
գրազ	ɡ ə ɾ ɑ z
գրականագետ	ɡ ə ɾ ɑ k ɑ n ɑ ɡ ɛ t
գրամ	ɡ ə ɾ ɑ m
գրանցել	ɡ ə ɾ ɑ n t͡sʰ ɛ l
գրասենյակ	ɡ ə ɾ ɑ s ɛ n j ɑ k
գրավ	ɡ ə ɾ ɑ v
գրեթե	ɡ ə ɾ ɛ tʰ ɛ
գրել	ɡ ə ɾ ɛ l
գրենական	ɡ ɾ ɛ n ɑ k ɑ n
գրիգորի	ɡ ɾ i ɡ ɔ ɾ i
գրիպ	ɡ ɾ i p
գրկել	ɡ ə ɾ k ɛ l
գրկում	ɡ ə ɾ k u m
գրող	ɡ ə ɾ ɔ ʁ
դա	d ɑ
դագաղ	d ɑ ɡ ɑ ʁ
դագուր	d ɑ ɡ u ɾ
դադարել	d ɑ tʰ ɑ ɾ ɛ l
դադարեցվել	d ɑ tʰ ɑ ɾ ɛ t͡sʰ v ɛ l
դալար	d ɑ l ɑ ɾ
դահիճ	d ɑ h i t͡ʃ
դահլիճ	d ɑ h l i t͡ʃ
դահուկ	d ɑ h u k
դամբարան	d ɑ m b ɑ ɾ ɑ n
դանակ	d ɑ n ɑ k
դանդաղ	d ɑ n d ɑ ʁ
դաշնամուր	d ɑ ʃ n ɑ m u ɾ
դաշնային	d ɑ ʃ n ɑ j i n
դաշնություն	d ɑ ʃ n u tʰ j u n
դաշտ	d ɑ ʃ t
դաշտային	d ɑ ʃ t ɑ j i n
դաշտերը	d ɑ ʃ t ɛ ɾ ə
դաշտերի	d ɑ ʃ t ɛ ɾ i
դաշտերից	d ɑ ʃ t ɛ ɾ i t͡sʰ
դաշտերն	d ɑ ʃ t ɛ ɾ n
դաշտերում	d ɑ ʃ t ɛ ɾ u m
դաշտին	d ɑ ʃ t i n
դաշտից	d ɑ ʃ t i t͡sʰ
դաշտն	d ɑ ʃ t ə n
դաշտում	d ɑ ʃ t u m
դաջվածք	d ɑ d͡ʒ v ɑ t͡s kʰ
դառը	d ɑ r ə
դառն	d ɑ r ə n
դաս	d ɑ s
դասադուլ	d ɑ s ɑ d u l
դասախոս	d ɑ s ɑ χ ɔ s
դասախոսություն	d ɑ s ɑ χ ɔ s u tʰ j u n
դասական	d ɑ s ɑ k ɑ n
դասատու	d ɑ s ɑ t u
դասարան	d ɑ s ɑ ɾ ɑ n
դավադիր	d ɑ v ɑ d i ɾ
դավադրություն	d ɑ v ɑ d ɾ u tʰ j u n
դավաճան	d ɑ v ɑ t͡ʃ ɑ n
դավաճանել	d ɑ v ɑ t͡ʃ ɑ n ɛ l
դավիթ	d ɑ v i tʰ
դատ	d ɑ t
դատախազ	d ɑ t ɑ χ ɑ z
դատական	d ɑ t ɑ k ɑ n
դատապարտել	d ɑ t ɑ p ɑ ɾ t ɛ l
դատարկ	d ɑ t ɑ ɾ k
դատարկել	d ɑ t ɑ ɾ k ɛ l
դար	d ɑ ɾ
դարաշրջան	d ɑ ɾ ɑ ʃ ə ɾ d͡ʒ ɑ n
դարեր	d ɑ ɾ ɛ ɾ
դարձյալ	d ɑ ɾ t͡sʰ j ɑ l
դարման	d ɑ ɾ m ɑ n
դարչին	d ɑ ɾ t͡ʃʰ i n
դարպաս	d ɑ ɾ p ɑ s
դարպասապահ	d ɑ ɾ p ɑ s ɑ p ɑ h
դափնեկիր	d ɑ pʰ n ɛ k i ɾ
դե	d ɛ
դեբիլ	d ɛ b i l
դելի	d ɛ l i
դեկտեմբեր	d ɛ k t ɛ m b ɛ ɾ
դեղ	d ɛ ʁ
դեղատոմս	d ɛ ʁ ɑ t ɔ m s
դեղատուն	d ɛ ʁ ɑ t u n
դեղին	d ɛ ʁ i n
դեղնավուն	d ɛ ʁ n ɑ v u n
դեղորայք	d ɛ ʁ ɔ ɾ ɑ j kʰ
դեմ	d ɛ m
դեմիրճյան	d ɛ m i ɾ t͡ʃ j ɑ n
դեմոկրատ	d ɛ m ɔ k ɾ ɑ t
դեմոկրատական	d ɛ m ɔ k ɾ ɑ t ɑ k ɑ n
դեմք	d ɛ m kʰ
դեպի	d ɛ p i
դեպք	d ɛ p kʰ
դեռ	d ɛ r
դեռեւս	d ɛ r ɛ v ə s
դեսպան	d ɛ s p ɑ n
դեսպանատուն	d ɛ s p ɑ n ɑ t u n
դեր	d ɛ ɾ
դերասան	d ɛ ɾ ɑ s ɑ n
դերասանուհի	d ɛ ɾ ɑ s ɑ n u h i
դժբախտություն	d ə ʒ b ɑ χ t u tʰ j u n
դժգոհություն	d ə ʒ ɡ ɔ h u tʰ j u n
դժոխք	d ə ʒ ɔ χ kʰ
դժվար	d ə ʒ v ɑ ɾ
դի	d i
դիակ	d i j ɑ k
դիետա	d i j ɛ t ɑ
դիլիջան	d i l i d͡ʒ ɑ n
դիմակ	d i m ɑ k
դիմանկար	d i m ɑ n ə k ɑ ɾ
դիմավորել	d i m ɑ v ɔ ɾ ɛ l
դիմացկուն	d i m ɑ t͡sʰ k u n
դիմել	d i m ɛ l
դիմորդ	d i m ɔ ɾ tʰ
դիսկոտեկ	d i s k o t ɛ k
դիվանագիտություն	d i v ɑ n ɑ ɡ i t u tʰ j u n
դիտել	d i t ɛ l
դիտորդ	d i t o ɾ tʰ
դիտորդական	d i t o ɾ tʰ ɑ k ɑ n
դիտվել	d i t v ɛ l
դիրք	d i ɾ kʰ
դիցուք	d i t͡sʰ u kʰ
դհոլ	d ə h ɔ l
դնել	d ə n ɛ l
դնեպրոպետրովսկ	d n ɛ p ɾ o p ɛ t ɾ o v s k
դնթ	d ə n ə tʰ ə
դոլար	d ɔ l ɑ ɾ
դոլլար	d ɔ lː ɑ ɾ
դոն	d o n
դոնեցկ	d ɔ n ɛ t͡sʰ k
դոցենտ	d ɔ t͡sʰ ɛ n t
դուբայ	d u b ɑ j
դուռ	d u r
դուստր	d u s t ə ɾ
դուրգարյան	d u ɾ ɡ ɑ ɾ j ɑ n
դուրս	d u ɾ s
դպրոց	d ə p ɾ ɔ t͡sʰ
դպրոցական	d ə p ɾ ɔ t͡sʰ ɑ k ɑ n
դռնփակ	d ə r ə n pʰ ɑ k
դրամ	d ə ɾ ɑ m
դրամապանակ	d ɾ ɑ m ɑ p ɑ n ɑ k
դրամատուրգիական	d ɾ ɑ m ɑ t u ɾ ɡ j ɑ k ɑ n
դրոշ	d ə ɾ ɔ ʃ
դրություն	d ə ɾ u tʰ j u n
դրսեւորվել	d ɾ ə s ɛ v ɔ ɾ v ɛ l
դրվագ	d ə ɾ v ɑ ɡ
եահկ	j ɛ ɑ h ə k ə
եատմ	j ɛ ɑ t ə m ə
եգիպտացորեն	j ɛ ɡ i p t ɑ t͡sʰ ɔ ɾ ɛ n
եգիպտոս	j ɛ ɡ i p t ɔ s
եդեսացի	j ɛ d ɛ s ɑ t͡sʰ i
եզակի	j ɛ z ɑ k i
եզր	j ɛ z ə ɾ
եզրափակիչ	j ɛ z ɾ ɑ pʰ ɑ k i t͡ʃʰ
եթեր	j ɛ tʰ ɛ ɾ
ել	j ɛ l
ելակ	j ɛ l ɑ k
ելենա	j ɛ l ɛ n ɑ
ելույթ	j ɛ l u j tʰ
ելք	j ɛ l kʰ
եխ	j ɛ χ ə
եկամուտ	j ɛ k ɑ m u t
եկեղեցական	j ɛ k ɛ ʁ ɛ t sʰ a k a n
եկեղեցի	j ɛ k ɛ ʁ ɛ t͡sʰ i
եղած	j ɛ ʁ ɑ t s
եղանակ	j ɛ ʁ ɑ n ɑ k
եղբայրական	j ɛ χ p ɑ j ɾ ɑ k ɑ n
եղիա	j ɛ ʁ ɪ ɑ
եղիշե	j ɛ ʁ i ʃ ɛ
եղիսաբեթ	j ɛ ʁ i s ɑ b ɛ tʰ
եղիր	j ɛ ʁ i ɾ
եղն	j ɛ ʁ ə n
եղունգ	j ɛ ʁ u n ɡ
ենթադրել	j ɛ n tʰ ɑ d ɾ ɛ l
ենթադրելի	j ɛ n tʰ ɑ d ɾ ɛ l i
ենթադրյալ	j ɛ n tʰ ɑ d ə ɾ j ɑ l
ենթակա	j ɛ n tʰ ɑ k ɑ
ենթարկել	j ɛ n tʰ ɑ ɾ k ɛ l
ենթարկվել	j ɛ n tʰ ɑ ɾ k v ɛ l
եպիսկոպոս	j ɛ p i s k ɔ p ɔ s
եռանդ	j ɛ r ɑ n d
եռանդուն	j ɛ r ɑ n d u n
եսայան	j ɛ s ɑ j ɑ n
եսայի	j ɛ s ɑ j i
եվգենի	j ɛ v ɡ ɛ n i
եվրահանձնաժողով	j ɛ v ɾ ɑ h ɑ n d͡z n ɑ ʒ ɔ ʁ ɔ v
եվրամիություն	j ɛ v ɾ ɑ m i u tʰ j u n
եվրասիա	j ɛ v ɾ ɑ s j ɑ
եվրասիական	j ɛ v ɾ ɑ s j ɑ k ɑ n
եվրոպա	j ɛ v ɾ ɔ p ɑ
եվրոպական	j ɛ v ɾ ɔ p ɑ k ɑ n
եվրոպայի	j ɛ v ɾ ɔ p ɑ j i
եվրոպացի	j ɛ v ɾ ɔ p ɑ t͡sʰ i
ետին	j ɛ t i n
ետմ	j ɛ t ə m ə
երազանք	j ɛ ɾ ɑ z ɑ ŋ kʰ
երաժիշտ	j ɛ ɾ ɑ ʒ i ʃ t
երախտագիտություն	j ɛ ɾ ɑ χ t ɑ ɡ i t u tʰ j u n
երախտիք	j ɛ ɾ ɑ χ t i kʰ
երանգ	j ɛ ɾ ɑ n ɡ
երանի	j ɛ ɾ ɑ n i
երաշխավորում	j ɛ ɾ ɑ ʃ χ ɑ v ɔ ɾ u m
երաշխիք	j ɛ ɾ ɑ ʃ χ i kʰ
երբ	j ɛ ɾ pʰ
երբեմն	j ɛ ɾ pʰ ɛ m ə n
երբեմնի	j ɛ ɾ pʰ ɛ m n i
երբեք	j ɛ ɾ pʰ ɛ kʰ
երգ	j ɛ ɾ kʰ
երգել	j ɛ ɾ kʰ ɛ l
երգի	j ɛ ɾ kʰ i
երգիչ	j ɛ ɾ kʰ i t͡ʃʰ
երգչուհի	j ɛ ɾ kʰ t ʃʰ u h i
երդում	j ɛ ɾ tʰ u m
երդվյալ	j ɛ ɾ tʰ v j ɑ l
երեկո	j ɛ ɾ ɛ k ɔ
երեկոյան	j ɛ ɾ ɛ k o j ɑ n
երես	j ɛ ɾ ɛ s
երեսուն	j ɛ ɾ ɛ s u n
երեւակայություն	j ɛ ɾ ɛ v ɑ k ɑ j u tʰ j u n
երեւան	j ɛ ɾ ɛ v ɑ n
երեւում	j ɛ ɾ ɛ v u m
երեւույթ	j ɛ ɾ ɛ v u j tʰ
երեք	j ɛ ɾ ɛ kʰ
երեքշաբթի	j ɛ ɾ ɛ kʰ ʃ ɑ pʰ tʰ i
երթ	j ɛ ɾ tʰ
երթուղային	j ɛ ɾ tʰ u ʁ ɑ j i n
երիտասարդ	j ɛ ɾ i t ɑ s ɑ ɾ tʰ
երիցս	j ɛ ɾ i t͡sʰ ə s
երկ	j ɛ ɾ k
երկաթ	j ɛ ɾ k ɑ tʰ
երկաթե	j ɛ ɾ k ɑ tʰ ɛ
երկաթուղի	j ɛ ɾ k ɑ tʰ u ʁ i
երկար	j ɛ ɾ k ɑ ɾ
երկարաժամկետ	j ɛ ɾ k ɑ ɾ ɑ ʒ ɑ m k ɛ t
երկարավուն	j ɛ ɾ k ɑ ɾ ɑ v u n
երկինք	j ɛ ɾ k i ŋ kʰ
երկիր	j ɛ ɾ k i ɾ
երկխոսություն	j ɛ ɾ k χ ɔ s u tʰ j u n
երկյուղ	j ɛ ɾ k j u ʁ
երկյուղած	j ɛ ɾ k j u ʁ ɑ t͡s
երկնագույն	j ɛ ɾ k n ɑ ɡ u j n
երկնաքար	j ɛ ɾ k n ɑ kʰ ɑ ɾ
երկու	j ɛ ɾ k u
երկուշաբթի	j ɛ ɾ k u ʃ ɑ pʰ tʰ i
երկսայրի	j ɛ ɾ k s ɑ j ɾ i
երկրագունդ	j ɛ ɾ k ɾ ɑ ɡ u n d
երկրաշարժ	j ɛ ɾ k ɾ ɑ ʃ ɑ ɾ ʒ
երկրպագու	j ɛ ɾ k ə ɾ p ɑ ɡ u
երուսաղեմ	j ɛ ɾ u s ɑ ʁ ɛ m
երջանիկ	j ɛ ɾ d͡ʒ ɑ n i k
երջանկություն	j ɛ ɾ d͡ʒ ɑ ŋ k u tʰ j u n
երվանդ	j ɛ ɾ v ɑ n d
երրորդ	j ɛ ɾː ɔ ɾ tʰ
եւս	j ɛ v ə s
եփրատ	j ɛ pʰ ɾ ɑ t
զամբյուղ	z ɑ m b j u ʁ
զանազան	z ɑ n ɑ z ɑ n
զանգ	z ɑ ŋ ɡ
զանգահարել	z ɑ n ɡ ɑ h ɑ ɾ ɛ l
զանգել	z ɑ ŋ ɡ ɛ l
զանգի	z ɑ ŋ ɡ i
զանգվածային	z ɑ ŋ ɡ v ɑ t͡s ɑ j i n
զավեն	z ɑ v ɛ n
զավեշտ	z ɑ v ɛ ʃ t
զավեշտական	z ɑ v ɛ ʃ t ɑ k ɑ n
զավթել	z ɑ f tʰ ɛ l
զատ	z ɑ t
զարգացում	z ɑ ɾ ɡ ɑ t͡sʰ u m
զարդարել	z ɑ ɾ tʰ ɑ ɾ ɛ l
զարեհ	z ɑ ɾ ɛ h
