աա	ɑ ɑ
կանգառ	k ɑ ŋ ɡ ɑ r
կանգնել	k ɑ ŋ ɡ n ɛ l
կանգնեցնել	k ɑ ŋ ɡ n ɛ t͡sʰ n ɛ l
կանգուն	k ɑ ŋ ɡ u n
կանխատեսել	k ɑ ŋ χ ɑ t ɛ s ɛ l
կանխել	k ɑ ŋ χ ɛ l
կանոնավոր	k ɑ n ɔ n ɑ v ɔ ɾ
կանուխ	k ɑ n u χ
կանչ	k ɑ n t͡ʃʰ
կանչել	k ɑ n t͡ʃʰ ɛ l
կաշառել	k ɑ ʃ ɑ r ɛ l
կաշառված	k ɑ ʃ ɑ r v ɑ t͡s
կաշառք	k ɑ ʃ ɑ r kʰ
կաշկանդել	k ɑ ʃ k ɑ n d ɛ l
կաչաղակ	k ɑ t͡ʃʰ ɑ ʁ ɑ k
կապան	k ɑ p ɑ n
կապել	k ɑ p ɛ l
կապիկ	k ɑ p i k
կապիտալիստական	k ɑ p i t ɑ l i s t ɑ k ɑ n
կապիտոլիում	k ɑ p i t ɔ l i j u m
կապված	k ɑ p v ɑ t͡s
կապվել	k ɑ p v ɛ l
կառավարել	k ɑ r ɑ v ɑ ɾ ɛ l
կառավարիչ	k ɑ r ɑ v ɑ ɾ i t͡ʃʰ
կառավարություն	k ɑ r ɑ v ɑ ɾ u tʰ j u n
կառավարում	k ɑ r ɑ v ɑ ɾ u m
կառույց	k ɑ r u j t͡sʰ
կառուցել	k ɑ r u t͡sʰ ɛ l
կառուցողական	k ɑ r u t͡sʰ ɔ ʁ ɑ k ɑ n
կառուցվածք	k ɑ r u t͡sʰ v ɑ t͡s kʰ
կաս	k ɑ s
կասեցնել	k ɑ s ɛ t͡sʰ n ɛ l
կասկածել	k ɑ s k ɑ t͡s ɛ l
կասկածյալ	k ɑ s k ɑ t͡s j ɑ l
կասպարյան	k ɑ s p ɑ ɾ j ɑ n
կաստայական	k ɑ s t ɑ j ɑ k ɑ n
կավեղեն	k ɑ v ɛ ʁ ɛ n
կատակ	k ɑ t ɑ k
կատակել	k ɑ t ɑ k ɛ l
կատաղի	k ɑ t ɑ ʁ i
կատաղություն	k ɑ t ɑ ʁ u tʰ j u n
կատաստրոֆա	k ɑ t ɑ s t ɾ ɔ f ɑ
կատար	k ɑ t ɑ ɾ
կատարել	k ɑ t ɑ ɾ ɛ l
կատարյալ	k ɑ t ɑ ɾ j ɑ l
կատեգորիա	k ɑ t ɛ ɡ o ɾ ɪ ɑ
կատու	k ɑ t u
կար	k ɑ ɾ
կարագ	k ɑ ɾ ɑ kʰ
կարանտին	k ɑ ɾ ɑ n t i n
կարապ	k ɑ ɾ ɑ p
կարապետ	k ɑ ɾ ɑ p ɛ t
կարապետյան	k ɑ ɾ ɑ p ɛ t j ɑ n
կարգ	k ɑ ɾ kʰ
կարգադրել	k ɑ ɾ kʰ ɑ d ɾ ɛ l
կարգավիճակ	k ɑ ɾ kʰ ɑ v i t͡ʃ ɑ k
կարդալ	k ɑ ɾ tʰ ɑ l
կարել	k ɑ ɾ ɛ l
կարելի	k ɑ ɾ ɛ l i
կարեկցել	k ɑ ɾ ɛ k t͡sʰ ɛ l
կարեն	k ɑ ɾ ɛ n
կարեւոր	k ɑ ɾ ɛ v ɔ ɾ
կարիճ	k ɑ ɾ i t͡ʃ
կարծել	k ɑ ɾ t͡s ɛ l
կարծիք	k ɑ ɾ t͡s i kʰ
կարկուտ	k ɑ ɾ k u t
կարճաժամկետ	k ɑ ɾ t͡ʃ ɑ ʒ ɑ m k ɛ t
կարճամետրաժ	k ɑ ɾ t͡ʃ ɑ m ɛ t ɾ ɑ ʒ
կարո	k ɑ ɾ ɔ
կարող	k ɑ ɾ ɔ ʁ
կարողանալ	k ɑ ɾ o ʁ ɑ n ɑ l
կարոտ	k ɑ ɾ ɔ t
կարոտել	k ɑ ɾ ɔ t ɛ l
կարս	k ɑ ɾ s
կարտոֆիլ	k ɑ ɾ t ɔ f i l
կաֆե	k ɑ f ɛ
կգան	k ə ɡ ɑ n
կելտական	k ɛ l t ɑ k ɑ n
կեղեքել	k ɛ ʁ ɛ kʰ ɛ l
կեղծ	k ɛ χ t͡s
կեղծիք	k ɛ χ t͡s i kʰ
կեղտոտ	k ɛ χ t ɔ t
կեն	k ɛ n
կենարար	k ɛ n ɑ ɾ ɑ ɾ
կենդանաբանություն	k ɛ n tʰ ɑ n ɑ b ɑ n u tʰ j u n
կենդանակերպի	k ɛ n tʰ ɑ n ɑ k ɛ ɾ p i
կենդանանալ	k ɛ n tʰ ɑ n ɑ n ɑ l
կենդանի	k ɛ n tʰ ɑ n i
կենսական	k ɛ n s ɑ k ɑ n
կենսունակ	k ɛ n s u n ɑ k
կենտրոն	k ɛ n t ɾ ɔ n
կենտրոնական	k ɛ n t ɾ ɔ n ɑ k ɑ n
կենցաղ	k ɛ n t͡sʰ ɑ ʁ
կետ	k ɛ t
կեր	k ɛ ɾ
կերակուր	k ɛ ɾ ɑ k u ɾ
կերակրել	k ɛ ɾ ɑ k ə ɾ ɛ l
կերպար	k ɛ ɾ p ɑ ɾ
կերտել	k ɛ ɾ t ɛ l
կեցցե	k ɛ t͡sʰː ɛ
կզակ	k ə z ɑ k
կը	ɡ ə
կըհ	k ə ə h ə
կիթառ	k i tʰ ɑ r
կիլո	k i l o
կիլոգրամ	k i l ɔ ɡ ɾ ɑ m
կիլոմետր	k i l ɔ m ɛ t ə ɾ
կին	k i n
կինո	k i n ɔ
կիպրոս	k i p ɾ o s
կիսապաշտպան	k i s ɑ p ɑ ʃ t p ɑ n
կիսել	k i s ɛ l
կիրակի	k i ɾ ɑ k i
կիրակնօրյա	k i ɾ ɑ k n ɔ ɾ j ɑ
կիրառել	k i ɾ ɑ r ɛ l
կիրառվել	k i ɾ ɑ r v ɛ l
կիրթ	k i ɾ tʰ
կիրք	k i ɾ kʰ
կից	k i t͡sʰ
կլարա	k l ɑ ɾ ɑ
կլոր	k ə l ɔ ɾ
կլորավուն	k ə l ɔ ɾ ɑ v u n
կլրտոց	k ə l ə ɾ t o t͡sʰ
կծել	k ə t s ɛ l
կծու	k ə t͡s u
կղզի	k ə ʁ z i
կղզիներ	k ə ʁ z i n ɛ ɾ
կյանք	k j ɑ ŋ kʰ
կնիք	k ə n i kʰ
կնքել	k ə n kʰ ɛ l
կշռադատել	k ə ʃ r ɑ d ɑ t ɛ l
կշռել	k ə ʃ r ɛ l
կոալիցիա	k ɔ ɑ l i t͡sʰ j ɑ
կոլեգա	k ɔ l ɛ ɡ ɑ
կոլոլիկ	k o l o l i k
կոլումբիա	k ɔ l u m b j ɑ
կոկիկ	k ɔ k i k
կոկորդ	k ɔ k ɔ ɾ tʰ
կողմ	k ɔ ʁ m
կողմից	k ɔ ʁ m i t͡sʰ
կողմնակի	k o ʁ m n ɑ k i
կողոպտել	k ɔ ʁ ɔ p t ɛ l
կողք	k o χ kʰ
կողքիս	k ɔ χ kʰ i s
կոճակ	k ɔ t͡ʃ ɑ k
կոմիտե	k ɔ m i t ɛ
կոմունիզմ	k o m u n i z m
կոմունիստ	k o m u n i s t
կոմունիստական	k o m u n i s t ɑ k ɑ n
կոնյակ	k o n j ɑ k
կոնստրուկտիվ	k ɔ n s t ɾ u k t i v
կոնֆերանս	k ɔ n f ɛ ɾ ɑ n s
կոշիկ	k ɔ ʃ i k
կոշտ	k ɔ ʃ t
կոչ	k ɔ t͡ʃʰ
կոչում	k o t ʃʰ u m
կոպիտ	k ɔ p i t
կոռուպցիա	k ɔ r u p t͡sʰ j ɑ
կոսմոպոլիտ	k ɔ s m ɔ p ɔ l i t
կով	k ɔ v
կովկաս	k ɔ f k ɑ s
կովկասյան	k ɔ f k ɑ s j ɑ n
կոտայք	k ɔ t ɑ j kʰ
կոտրել	k o t ɾ ɛ l
կորել	k ɔ ɾ ɛ l
կորիզ	k ɔ ɾ i z
կործանել	k ɔ ɾ t͡s ɑ n ɛ l
կործանում	k ɔ ɾ t͡s ɑ n u m
կորուստ	k ɔ ɾ u s t
կորչել	k ɔ ɾ t͡ʃʰ ɛ l
կորտ	k ɔ ɾ t
կորցնել	k ɔ ɾ t͡sʰ n ɛ l
կուլ	k u l
կույս	k u j s
կույր	k u j ɾ
կուչ	k u t͡ʃʰ
կուռ	k u r
կուսակցություն	k u s ɑ k t͡sʰ u tʰ j u n
կպչուն	k ə p t ʃʰ u n
կռիվ	k ə r i v
կտակել	k ə t ɑ k ɛ l
կտոր	k ə t ɔ ɾ
կտրականապես	k ə t ɾ ɑ k ɑ n ɑ p ɛ s
կտրել	k ə t ɾ ɛ l
կտրուկ	k ə t ɾ u k
կրակ	k ə ɾ ɑ k
կրակել	k ə ɾ ɑ k ɛ l
կրասնոդար	k ɾ ɑ s n o d ɑ ɾ
կրեատիվ	k ɾ ɛ ɑ t i v
կրետե	k ə ɾ ɛ t ɛ
կրթություն	k ə ɾ tʰ u tʰ j u n
կրկես	k ə ɾ k ɛ s
կրկին	k ə ɾ k i n
կրկնել	k ə ɾ k n ɛ l
կրկնություն	k ə ɾ k n u tʰ j u n
կրճատում	k ə ɾ t͡ʃ ɑ t u m
կրպակ	k ə ɾ p ɑ k
կրտսեր	k ə ɾ t s ɛ ɾ
կցել	k ə t͡sʰ ɛ l
կցորդ	k ə t͡sʰ o ɾ tʰ
հա	h ɑ
հաբ	h ɑ b
հագել	h ɑ ɡ ɛ l
հագեցնել	h ɑ ɡ ɛ t͡sʰ n ɛ l
հագնել	h ɑ kʰ n ɛ l
հագնվել	h a kʰ n ə v ɛ l
հագուստ	h ɑ kʰ u s t
հագցնել	h ɑ kʰ t͡sʰ ə n ɛ l
հազ	h ɑ z
հազար	h ɑ z ɑ ɾ
հազարամյակ	h ɑ z ɑ ɾ ɑ m j ɑ k
հազիվ	h ɑ z i v
հալեպ	h ɑ l ɛ p
հալվա	h ɑ l v ɑ
հալվե	h ɑ l v ɛ
հակ	h ɑ k
հակազդել	h ɑ k ɑ z d ɛ l
հակահարված	h ɑ k ɑ h ɑ ɾ v ɑ t͡s
հակառակ	h ɑ k ɑ r ɑ k
հակոբ	h ɑ k ɔ pʰ
հակոբյան	h ɑ k ɔ pʰ j ɑ n
հահ	h ɑ h
հաղթական	h ɑ χ tʰ ɑ k ɑ n
հաղթանակ	h ɑ χ tʰ ɑ n ɑ k
հաղթել	h ɑ χ tʰ ɛ l
հաղորդագրություն	h ɑ ʁ ɔ ɾ tʰ ɑ ɡ ɾ u tʰ j u n
հաղորդել	h ɑ ʁ ɔ ɾ tʰ ɛ l
հաղորդում	h ɑ ʁ ɔ ɾ tʰ u m
հաճախ	h ɑ t͡ʃ ɑ χ
հաճախել	h ɑ t͡ʃ ɑ χ ɛ l
հաճախորդ	h ɑ t͡ʃ ɑ χ ɔ ɾ tʰ
հաճելի	h ɑ t͡ʃ ɛ l i
հաճո	h ɑ t͡ʃ ɔ
հաճույք	h ɑ t͡ʃ u j kʰ
համ	h ɑ m
համագործակցել	h ɑ m ɑ ɡ ɔ ɾ t͡s ɑ k t͡sʰ ɛ l
համագործակցության	h ɑ m ɑ ɡ ɔ ɾ t͡s ɑ k t͡sʰ u tʰ j ɑ n
համագործակցություն	h ɑ m ɑ ɡ ɔ ɾ t͡s ɑ k t͡sʰ u tʰ j u n
համադրություն	h ɑ m ɑ d ə ɾ u tʰ j u n
համաժողով	h ɑ m ɑ ʒ ɔ ʁ ɔ v
համալիր	h ɑ m ɑ l i ɾ
համալսարան	h ɑ m ɑ l s ɑ ɾ ɑ n
համալրել	h ɑ m ɑ l ɾ ɛ l
համակարգ	h ɑ m ɑ k ɑ ɾ kʰ
համակարգել	h ɑ m ɑ k ɑ ɾ kʰ ɛ l
համակարգիչ	h ɑ m ɑ k ɑ ɾ kʰ i t͡ʃʰ
համակարգող	h ɑ m ɑ k ɑ ɾ kʰ ɔ ʁ
համակրանք	h ɑ m ɑ k ɾ ɑ ŋ kʰ
համակրելի	h ɑ m ɑ k ɾ ɛ l i
համաձայն	h ɑ m ɑ d͡z ɑ j n
համաձայնել	h ɑ m ɑ d͡z ɑ j n ɛ l
համամարդկային	h ɑ m ɑ m ɑ ɾ tʰ k ɑ j i n
համամիութենական	h ɑ m ɑ m i u tʰ ɛ n ɑ k ɑ n
համայնք	h ɑ m ɑ j ŋ kʰ
համաշխարհային	h ɑ m ɑ ʃ χ ɑ ɾ ɑ j i n
համաչափ	h ɑ m ɑ t͡ʃʰ ɑ pʰ
համապատասխան	h ɑ m ɑ p ɑ t ɑ s χ ɑ n
համառոտ	h ɑ m ɑ r o t
համատարած	h ɑ m ɑ t ɑ ɾ ɑ t͡s
համատեքստ	h ɑ m ɑ t ɛ kʰ s t
համար	h ɑ m ɑ ɾ
համարել	h ɑ m ɑ ɾ ɛ l
համարժեք	h ɑ m ɑ ɾ ʒ ɛ kʰ
համարյա	h ɑ m ɑ ɾ j ɑ
համացանցային	h ɑ m ɑ t͡sʰ ɑ n t͡sʰ ɑ j i n
համբավ	h ɑ m b ɑ v
համբարձում	h ɑ m b ɑ ɾ t͡sʰ u m
համբարձումյան	h ɑ m b ɑ ɾ t͡sʰ u m j ɑ n
համբերել	h ɑ m pʰ ɛ ɾ ɛ l
համբերություն	h ɑ m pʰ ɛ ɾ u t sʰ j u n
համբույր	h ɑ m pʰ u j ɾ
համբուրել	h ɑ m pʰ u ɾ ɛ l
համեմատել	h ɑ m ɛ m ɑ t ɛ l
համեստ	h ɑ m ɛ s t
համերգ	h ɑ m ɛ ɾ ɡ
համերգասրահ	h ɑ m ɛ ɾ ɡ ɑ s ə ɾ ɑ h
համեցեք	h ɑ m ɛ t͡sʰ ɛ kʰ
համոզել	h ɑ m o z ɛ l
համոզված	h ɑ m ɔ z v ɑ t͡s
համով	h ɑ m o v
համր	h ɑ m ə ɾ
հայ	h ɑ j
հայագետ	h ɑ j ɑ ɡ ɛ t
հայաշատ	h ɑ j ɑ ʃ ɑ t
հայաստանի	h ɑ j ɑ s t ɑ n i
հայելի	h ɑ j ɛ l i
հայեր	h ɑ j ɛ ɾ
հայերեն	h ɑ j ɛ ɾ ɛ n
հայհոյել	h ɑ j h o j ɛ l
հայտարարել	h ɑ j t ɑ ɾ ɑ ɾ ɛ l
հայտարարում	h ɑ j t ɑ ɾ ɑ ɾ u m
հայտարարվել	h ɑ j t ɑ ɾ ɑ ɾ v ɛ l
հայտնի	h ɑ j t n i
հայր	h ɑ j ɾ
հայրական	h ɑ j ɾ ɑ k ɑ n
հայրապետյան	h ɑ j ɾ ɑ p ɛ t j ɑ n
հայրենակից	h ɑ j ɾ ɛ n ɑ k i t͡sʰ
հայրենասեր	h ɑ j ɾ ɛ n ɑ s ɛ ɾ
հայրենասիրական	h ɑ j ɾ ɛ n ɑ s i ɾ ɑ k ɑ n
հայրենի	h ɑ j ɾ ɛ n i
հայրենիք	h ɑ j ɾ ɛ n i kʰ
հայրենյաց	h ɑ ɪ̯ ɾ ɛ n ɪ̯ ɑ t sʰ
հայրիկյան	h ɑ j ɾ i k j ɑ n
հայց	h ɑ j t͡sʰ
հայցական	h ɑ j t͡sʰ ɑ k ɑ n
հայֆա	h ɑ j f ɑ
հանգամանք	h ɑ ŋ ɡ ɑ m ɑ ŋ kʰ
հանգույց	h ɑ n ɡ u j t sʰ
հանդեպ	h ɑ n d ɛ p
հանդես	h ɑ n d ɛ s
հանդերձ	h ɑ n d ɛ ɾ t͡sʰ
հանդիպում	h ɑ n d i p u m
հանդիսանալ	h ɑ n d i s ɑ n ɑ l
հանդիսավոր	h ɑ n d i s ɑ v ɔ ɾ
հանդիսացող	h ɑ n d i s ɑ t͡sʰ ɔ ʁ
հանդուրժել	h ɑ n d u ɾ ʒ ɛ l
հանդուրժող	h ɑ n d u ɾ ʒ ɔ ʁ
հանդուրժողականություն	h ɑ n d u ɾ ʒ ɔ ʁ ɑ k ɑ n u tʰ j u n
հանել	h ɑ n ɛ l
հանելուկ	h ɑ n ɛ l u k
հանի	h ɑ n i
հանձնաժողով	h ɑ n d͡z n ɑ ʒ ɔ ʁ ɔ v
հանձնակատար	h ɑ n d͡z n ɑ k ɑ t ɑ ɾ
հանձնել	h ɑ n d͡z n ɛ l
հանճար	h ɑ n t͡ʃ ɑ ɾ
հանճարեղ	h ɑ n t͡ʃ ɑ ɾ ɛ ʁ
հանվել	h ɑ n v ɛ l
հանրագիտարան	h ɑ n ɾ ɑ ɡ i t ɑ ɾ ɑ n
հանրապետական	h ɑ n ɾ ɑ p ɛ t ɑ k ɑ n
հանրաքվե	h ɑ n ɾ ɑ kʰ ə v ɛ
հանցագործ	h ɑ n t sʰ ɑ ɡ o ɾ t s
հանցանք	h ɑ n t sʰ ɑ n kʰ
հանք	h ɑ ŋ kʰ
հանքային	h ɑ ŋ kʰ ɑ j i n
հաշիվ	h ɑ ʃ i v
հաշվապահ	h ɑ ʃ v ɑ p ɑ h
հաշվապահական	h ɑ ʃ v ɑ p ɑ h ɑ k ɑ n
հաշվապահություն	h ɑ ʃ v ɑ p ɑ h u tʰ j u n
հաշվեկշիռ	h ɑ ʃ v ɛ k ə ʃ i r
հաշվիչ	h ɑ ʃ v i t͡ʃʰ
հաշվում	h ɑ ʃ v u m
հաշտ	h ɑ ʃ t
հաշտեցում	h ɑ ʃ t ɛ t͡sʰ u m
հապաղել	h ɑ p ɑ ʁ ɛ l
հապաղում	h ɑ p ɑ ʁ u m
հապկ	h ɑ p k
հաջող	h ɑ d͡ʒ o ʁ
հաջողություն	h ɑ d͡ʒ o ʁ u t͡sʰ j u n
հաջորդ	h ɑ d͡ʒ ɔ ɾ tʰ
հասարակ	h ɑ s ɑ ɾ ɑ k
հասարակական	h ɑ s ɑ ɾ ɑ k ɑ k ɑ n
հասարակություն	h ɑ s ɑ ɾ ɑ k u tʰ j u n
հասկանալ	h ɑ s k ɑ n ɑ l
հասկանում	h ɑ s k ɑ n u m
հասմիկ	h ɑ s m i k
հասնել	h ɑ s n ɛ l
հասու	h ɑ s u
հասուն	h ɑ s u n
հաստ	h ɑ s t
հաստատակամ	h ɑ s t ɑ t ɑ k ɑ m
հաստատել	h ɑ s t ɑ t ɛ l
հաստատություն	h ɑ s t ɑ t u tʰ j u n
հաստատուն	h ɑ s t ɑ t u n
հասցե	h ɑ s t͡sʰ ɛ
հասցեատեր	h ɑ s t͡sʰ ɛ ɑ t ɛ ɾ
հասցնել	h ɑ s t͡sʰ n ɛ l
հավ	h ɑ v
հավակնոտ	h ɑ v ɑ k n ɔ t
հավակնորդ	h ɑ v ɑ k n ɔ ɾ tʰ
հավանական	h ɑ v ɑ n ɑ k ɑ n
հավանել	h ɑ v ɑ n ɛ l
հավասար	h ɑ v ɑ s ɑ ɾ
հավաստի	h ɑ v ɑ s t i
հավատարիմ	h ɑ v ɑ t ɑ ɾ i m
հավատարմություն	h ɑ v ɑ t ɑ ɾ m u tʰ j u n
հավատք	h ɑ v ɑ t kʰ
հավաք	h ɑ v ɑ kʰ
հավաքածու	h ɑ v ɑ kʰ ɑ t͡s u
հավաքական	h ɑ v ɑ kʰ ɑ k ɑ n
հավելել	h ɑ v ɛ l ɛ l
հավելված	h ɑ v ɛ l v ɑ t͡s
հավես	h ɑ v ɛ s
հավետ	h ɑ v ɛ t
հավերժ	h ɑ v ɛ ɾ ʒ
հավիտյան	h ɑ v i t j ɑ n
հատիկ	h ɑ t i k
հատկացնել	h ɑ t k ɑ t͡sʰ n ɛ l
հատոր	h ɑ t ɔ ɾ
հատուկ	h ɑ t u k
հատուցել	h ɑ t u t͡sʰ ɛ l
հատուցում	h ɑ t u t͡sʰ u m
հատված	h ɑ t v ɑ t͡s
հարազատ	h ɑ ɾ ɑ z ɑ t
հարավ	h ɑ ɾ ɑ f
հարբած	h ɑ ɾ pʰ ɑ t͡s
հարգել	h ɑ ɾ ɡ ɛ l
հարել	h ɑ ɾ ɛ l
հարեւան	h a ɾ ɛ v a n
հարթ	h ɑ ɾ tʰ
հարթակ	h ɑ ɾ tʰ ɑ k
հարկ	h ɑ ɾ k
հարկային	h ɑ ɾ k ɑ j i n
հարձակում	h ɑ ɾ t͡sʰ ɑ k u m
հարմար	h ɑ ɾ m ɑ ɾ
հարյուր	h ɑ ɾ j u ɾ
հարոյան	h ɑ ɾ ɔ j ɑ n
հարս	h ɑ ɾ s
հարսանեկան	h ɑ ɾ s ɑ n ɛ k ɑ n
հարսանյաց	h ɑ ɾ s ɑ n j ɑ t͡sʰ
հարստություն	h ɑ ɾ ə s t u tʰ j u n
հարվածել	h ɑ ɾ v ɑ t͡s ɛ l
հարց	h ɑ ɾ t͡sʰ
հարցնել	h ɑ ɾ t sʰ n ɛ l
հաց	h ɑ t͡sʰ
հացադուլ	h ɑ t͡sʰ ɑ d u l
հեգ	h ɛ ɡ
հեզ	h ɛ z
հեթում	h ɛ tʰ u m
հեծանիվ	h ɛ t͡s ɑ n i v
հեկտար	h ɛ k t ɑ ɾ
հեղաշրջում	h ɛ ʁ ɑ ʃ ə ɾ d͡ʒ u m
հեղափոխություն	h ɛ ʁ ɑ pʰ ɔ χ u tʰ j u n
հեղել	h ɛ ʁ ɛ l
հեղինակ	h ɛ ʁ i n ɑ k
հեղինակություն	h ɛ ʁ i n ɑ k u tʰ j u n
հեղինե	h ɛ ʁ i n ɛ
հեղուկ	h ɛ ʁ u k
հենրիկ	h ɛ n ɾ i k
հեռագիր	h ɛ r ɑ ɡ i ɾ
հեռախոս	h ɛ r ɑ χ ɔ s
հեռահաղորդակցություն	h ɛ r ɑ h ɑ ʁ ɔ ɾ tʰ ɑ k t͡sʰ u tʰ j u n
հեռանկար	h ɛ r ɑ n ə k ɑ ɾ
հեռավոր	h ɛ r ɑ v o ɾ
հեռավորություն	h ɛ r ɑ v ɔ ɾ u tʰ j u n
հեռատես	h ɛ r ɑ t ɛ s
հեռու	h ɛ r u
հեռուստատեսություն	h ɛ r u s t ɑ t ɛ s u tʰ j u n
հեռուստացույց	h ɛ r u s t ɑ t͡sʰ u j t͡sʰ
հետադարձ	h ɛ t ɑ d ɑ ɾ t͡sʰ
հետազոտել	h ɛ t ɑ z ɔ t ɛ l
հետազոտող	h ɛ t ɑ z ɔ t ɔ ʁ
հետաձգել	h ɛ t ɑ d͡z ə kʰ ɛ l
հետամուտ	h ɛ t ɑ m u t
հետաքրքիր	h ɛ t ɑ kʰ ə ɾ kʰ i ɾ
հետեւել	h ɛ t ɛ v ɛ l
հետին	h ɛ t i n
հետխորհրդային	h ɛ t χ ɔ ɾ ə ɾ tʰ ɑ j i n
հետո	h ɛ t ɔ
հետույք	h ɛ t u j kʰ
հետք	h ɛ t kʰ
հերթ	h ɛ ɾ tʰ
հերոս	h ɛ ɾ ɔ s
հերոսաբար	h ɛ ɾ ɔ s ɑ b ɑ ɾ
հեքիաթ	h ɛ kʰ j ɑ tʰ
հզոր	h ə z ɔ ɾ
հիանալ	h i j ɑ n ɑ l
հիանալի	h i j ɑ n ɑ l i
հիասթափություն	h i j ɑ s tʰ ɑ pʰ u tʰ j u n
հիասթափված	h i j ɑ s tʰ ɑ pʰ v ɑ t͡s
հիասթափվել	h i j ɑ s tʰ ɑ pʰ v ɛ l
հիասքանչ	h i j ɑ s kʰ ɑ n t͡ʃʰ
հիմա	h i m ɑ
հիմար	h i m ɑ ɾ
հիմն	h i m ə n
հիմնադիր	h i m n ɑ d i ɾ
հիմնադրամ	h i m n ɑ d ɾ ɑ m
հիմնադրել	h i m n ɑ d ɾ ɛ l
հիմնադրվել	h i m n ɑ d ə ɾ v ɛ l
հիմնականում	h i m n ɑ k ɑ n u m
հիմնավորել	h i m n ɑ v ɔ ɾ ɛ l
հիմք	h i m kʰ
հինավուրց	h i n ɑ v u ɾ t͡sʰ
հինգ	h i ŋ ɡ
հիշատակ	h i ʃ ɑ t ɑ k
հիշեցնել	h i ʃ ɛ t͡sʰ n ɛ l
հիշողություն	h i ʃ ɔ ʁ u tʰ j u n
հիսուս	h i s u s
հիվանդ	h i v ɑ n d
հիվանդանոց	h i v ɑ n d ɑ n ɔ t͡sʰ
հիվանդություն	h i v ɑ n d u tʰ j u n
հիտլեր	h i t l ɛ ɾ
հհ	h ə h ə
հղել	h ə ʁ ɛ l
հղիանալ	h ə ʁ i j ɑ n ɑ l
հղում	h ə ʁ u m
հմայք	h ə m ɑ j kʰ
հմուտ	h ə m u t
