ააგო	ɑ ɑ ɡ ɔ
ყოველდღიური	qʼ ɔ v ɛ l d ʁ ɪ u r ɪ
ყოველთვის	qʼ ɔ v ɛ l tʰ v i s
ყოველი	qʼ ɔ v ɛ l i
ყოველწლიურად	qʼ ɔ v ɛ l t sʼ l ɪ u r ɑ d
ყოველწლიური	qʼ ɔ v ɛ l t sʼ l ɪ u r ɪ
ყოვლისშემძლე	qʼ ɔ v l ɪ s ʃ ɛ m d z l ɛ
ყოფილი	qʼ ɔ pʰ ɪ l ɪ
ყოფნა	qʼ ɔ pʰ n ɑ
ყოჩაღ	qʼ ɔ t ʃ ɑ ɣ
ყრუ	qʼ r u
ყუთი	qʼ u tʰ i
ყურადღება	qʼ u r ɑ d ɣ ɛ b ɑ
ყურადღებიანი	qʼ u r ɑ d ʁ ɛ b ɪ ɑ n ɪ
ყურადღებით	qʼ u r ɑ d ʁ ɛ b ɪ tʰ
ყური	qʼ u r i
ყურძენი	qʼ u r d z ɛ n i
შავი	ʃ ɑ v i
შაიბა	ʃ ɑ ɪ b ɑ
შალვა	ʃ ɑ l v ɑ
შანსი	ʃ ɑ n s i
შარავანდედი	ʃ ɑ r ɑ v ɑ n d ɛ d ɪ
შარიანი	ʃ ɑ r ɪ ɑ n ɪ
შარლოტა	ʃ ɑ r l ɔ tʼ ɑ
შარშან	ʃ ɑ r ʃ ɑ n
შარშანდელი	ʃ ɑ r ʃ ɑ n d ɛ l i
შაქარი	ʃ ɑ kʰ ɑ r i
შე	ʃ ɛ
შეგიძლიათ	ʃ ɛ ɡ ɪ d z l ɪ ɑ tʰ
შეგნებულად	ʃ ɛ ɡ n ɛ b u l ɑ d
შედარებით	ʃ ɛ d ɑ r ɛ b ɪ tʰ
შედარებითი	ʃ ɛ d ɑ r ɛ b ɪ tʰ ɪ
შედგენილი	ʃ ɛ d ɡ ɛ n ɪ l ɪ
შედეგად	ʃ ɛ d ɛ ɡ ɑ d
შედეგი	ʃ ɛ d ɛ ɡ i
შედევრი	ʃ ɛ d ɛ v r i
შეერთებული	ʃ ɛ ɛ r tʰ ɛ b u l i
შეზღუდული	ʃ ɛ z ʁ u d u l ɪ
შეთანხმებული	ʃ ɛ tʰ ɑ n χ m ɛ b u l ɪ
შეკვრა	ʃ ɛ kʼ v r ɑ
შეკრება	ʃ ɛ kʼ r ɛ b ɑ
შემადგენელი	ʃ ɛ m ɑ d ɡ ɛ n ɛ l ɪ
შემავალი	ʃ ɛ m ɑ v ɑ l ɪ
შემაჯამებელი	ʃ ɛ m ɑ d ʒ ɑ m ɛ b ɛ l ɪ
შემდგომ	ʃ ɛ m d ɡ ɔ m
შემდგომი	ʃ ɛ m d ɡ ɔ m ɪ
შემდეგ	ʃ ɛ m d ɛ ɡ
შემდეგი	ʃ ɛ m d ɛ ɡ ɪ
შემზარავი	ʃ ɛ m z ɑ r ɑ v i
შემთხვევა	ʃ ɛ m tʰ x v ɛ v ɑ
შემთხვევით	ʃ ɛ m tʰ χ v ɛ v ɪ tʰ
შემთხვევითი	ʃ ɛ m tʰ x v ɛ v i tʰ i
შემკვრელი	ʃ ɛ m kʼ v r ɛ l ɪ
შემოდის	ʃ ɛ m ɔ d i s
შემოვლითი	ʃ ɛ m ɔ v l ɪ tʰ ɪ
შემოსავალი	ʃ ɛ m ɔ s ɑ v ɑ l i
შემოტანა	ʃ ɛ m ɔ tʼ ɑ n ɑ
შემსრულებელი	ʃ ɛ m s r u l ɛ b ɛ l ɪ
შემცვლელი	ʃ ɛ m t s v l ɛ l i
შემწეობა	ʃ ɛ m t sʼ ɛ ɔ b ɑ
შემწვარი	ʃ ɛ m t sʼ v ɑ r ɪ
შენი	ʃ ɛ n i
შენიშნავს	ʃ ɛ n i ʃ n ɑ v s
შენობა	ʃ ɛ n ɔ b ɑ
შეპყრობილი	ʃ ɛ pʼ qʼ r ɔ b ɪ l ɪ
შერჩევითი	ʃ ɛ r t ʃ ɛ v ɪ tʰ ɪ
შესაბამისად	ʃ ɛ s ɑ b ɑ m ɪ s ɑ d
შესაბამისი	ʃ ɛ s ɑ b ɑ m i s i
შესავალი	ʃ ɛ s ɑ v ɑ l ɪ
შესამჩნევი	ʃ ɛ s ɑ m t ʃ n ɛ v i
შესანიშნავად	ʃ ɛ s ɑ n ɪ ʃ n ɑ v ɑ d
შესანიშნავი	ʃ ɛ s ɑ n ɪ ʃ n ɑ v ɪ
შესაფერისი	ʃ ɛ s ɑ pʰ ɛ r ɪ s ɪ
შესაშური	ʃ ɛ s ɑ ʃ u r ɪ
შესაძლებლობა	ʃ ɛ s ɑ d z l ɛ b l ɔ b ɑ
შესაძლო	ʃ ɛ s ɑ d z l ɔ
შესაძლოა	ʃ ɛ s ɑ d z l ɔ ɑ
შესვლა	ʃ ɛ s v l ɑ
შეტყობინება	ʃ ɛ tʼ qʼ ɔ b ɪ n ɛ b ɑ
შეუზღუდავი	ʃ ɛ u z ɣ u d ɑ v i
შეურაცხყოფა	ʃ ɛ u r ɑ t s x qʼ ɔ pʰ ɑ
შეუსაბამოდ	ʃ ɛ u s ɑ b ɑ m ɔ d
შეუსრულებელი	ʃ ɛ u s r u l ɛ b ɛ l ɪ
შეუფერებელი	ʃ ɛ u pʰ ɛ r ɛ b ɛ l ɪ
შეუცვლელი	ʃ ɛ u t s v l ɛ l ɪ
შეუძლებელი	ʃ ɛ u d z l ɛ b ɛ l ɪ
შეფასება	ʃ ɛ pʰ ɑ s ɛ b ɑ
შეფასებითი	ʃ ɛ pʰ ɑ s ɛ b ɪ tʰ ɪ
შექმნა	ʃ ɛ kʰ m n ɑ
შექმნილი	ʃ ɛ kʰ m n ɪ l ɪ
შეშა	ʃ ɛ ʃ ɑ
შეშინებული	ʃ ɛ ʃ i n ɛ b u l i
შეშლილი	ʃ ɛ ʃ l i l i
შეშფოთებული	ʃ ɛ ʃ pʰ ɔ tʰ ɛ b u l ɪ
შეჩვეული	ʃ ɛ t ʃ v ɛ u l ɪ
შეცდომა	ʃ ɛ t s d ɔ m ɑ
შეცდომით	ʃ ɛ t s d ɔ m ɪ tʰ
შეძლო	ʃ ɛ d z l ɔ
შეწყალების	ʃ ɛ t sʼ qʼ ɑ l ɛ b ɪ s
შეხება	ʃ ɛ x ɛ b ɑ
შეხვედრა	ʃ ɛ x v ɛ d r ɑ
შეჯიბრი	ʃ ɛ d ʒ ɪ b r ɪ
შვებულება	ʃ v ɛ b u l ɛ b ɑ
შველი	ʃ v ɛ l ɪ
შვიდი	ʃ v i d i
შვიდჯერ	ʃ v ɪ d d ʒ ɛ r
შვილობილი	ʃ v ɪ l ɔ b ɪ l ɪ
შთაბეჭდილება	ʃ tʰ ɑ b ɛ t ʃʼ d i l ɛ b ɑ
შთამომავალი	ʃ tʰ ɑ m ɔ m ɑ v ɑ l ɪ
შიგნით	ʃ i ɡ n i tʰ
შიდა	ʃ i d ɑ
შიმშილი	ʃ i m ʃ i l i
შინ	ʃ i n
შინაარსი	ʃ ɪ n ɑ ɑ r s ɪ
შინაგანი	ʃ ɪ n ɑ ɡ ɑ n ɪ
შინაური	ʃ i n ɑ u r i
შიშველი	ʃ i ʃ v ɛ l i
შიში	ʃ i ʃ i
შიშით	ʃ ɪ ʃ ɪ tʰ
შლის	ʃ l i s
შმაგი	ʃ m ɑ ɡ i
შოკი	ʃ ɔ kʼ ɪ
შორეული	ʃ ɔ r ɛ u l i
შორის	ʃ ɔ r ɪ s
შორს	ʃ ɔ r s
შპს	ʃ pʼ s
შრომა	ʃ r ɔ m ɑ
შრომისმოყვარე	ʃ r ɔ m i s m ɔ qʼ v ɑ r ɛ
შტაბი	ʃ tʼ ɑ b ɪ
შტამპი	ʃ tʼ ɑ m pʼ ɪ
შუა	ʃ u ɑ
შუაგულში	ʃ u ɑ ɡ u l ʃ ɪ
შუალედური	ʃ u ɑ l ɛ d u r ɪ
შუამავალი	ʃ u ɑ m ɑ v ɑ l i
შუამდგომლობა	ʃ u ɑ m d ɡ ɔ m l ɔ b ɑ
შუაში	ʃ u ɑ ʃ i
შუქნიშანი	ʃ u kʰ n i ʃ ɑ n i
შუქურა	ʃ u kʰ u r ɑ
შუშა	ʃ u ʃ ɑ
ჩადრი	t ʃ ɑ d r ɪ
ჩაკეტილი	t ʃ ɑ kʼ ɛ tʼ ɪ l ɪ
ჩამოკიდებული	t ʃ ɑ m ɔ kʼ ɪ d ɛ b u l ɪ
ჩამოსვლა	t ʃ ɑ m ɔ s v l ɑ
ჩანაწერი	t ʃ ɑ n ɑ t sʼ ɛ r ɪ
ჩანს	t ʃ ɑ n s
ჩართე	t ʃ ɑ r tʰ ɛ
ჩართული	t ʃ ɑ r tʰ u l i
ჩარჩო	t ʃ ɑ r t ʃ ɔ
ჩახერგვა	t ʃ ɑ χ ɛ r ɡ v ɑ
ჩემი	t ʃ ɛ m i
ჩემპიონატი	t ʃ ɛ m pʼ ɪ ɔ n ɑ tʼ ɪ
ჩეხეთი	t ʃ ɛ x ɛ tʰ i
ჩეხური	t ʃ ɛ χ u r ɪ
ჩვენი	t ʃ v ɛ n i
ჩვეულად	t ʃ v ɛ u l ɑ d
ჩვეულებრივ	t ʃ v ɛ u l ɛ b r ɪ v
ჩვეულებრივად	t ʃ v ɛ u l ɛ b r ɪ v ɑ d
ჩვეულებრივი	t ʃ v ɛ u l ɛ b r i v i
ჩვეული	t ʃ v ɛ u l ɪ
ჩილეს	t ʃ ɪ l ɛ s
ჩინეთი	t ʃ i n ɛ tʰ i
ჩინეთმა	t ʃ ɪ n ɛ tʰ m ɑ
ჩინეთს	t ʃ ɪ n ɛ tʰ s
ჩინოვნიკი	t ʃ ɪ n ɔ v n ɪ kʼ ɪ
ჩინური	t ʃ i n u r i
ჩირქი	t ʃ i r kʰ i
ჩუმად	t ʃ u m ɑ d
ჩხუბი	t ʃ x u b i
ცალკე	t s ɑ l kʼ ɛ
ცალმხრივად	t s ɑ l m χ r ɪ v ɑ d
ცალმხრივი	t s ɑ l m χ r ɪ v ɪ
ცარიელად	t s ɑ r ɪ ɛ l ɑ d
ცარიელი	t s ɑ r i ɛ l i
ცელქი	t s ɛ l kʰ i
ცემა	t s ɛ m ɑ
ცემენტი	t s ɛ m ɛ n tʼ ɪ
ცენზორი	t s ɛ n z ɔ r ɪ
ცენტრალური	t s ɛ n tʼ r ɑ l u r ɪ
ცერემონია	t s ɛ r ɛ m ɔ n ɪ ɑ
ცერემონიალი	t s ɛ r ɛ m ɔ n ɪ ɑ l ɪ
ცეცხლი	t s ɛ t s x l i
ცეცხლოვანი	t s ɛ t s χ l ɔ v ɑ n ɪ
ცეცხლს	t s ɛ t s x l s
ცეცხლში	t s ɛ t s χ l ʃ ɪ
ცვალებადი	t s v ɑ l ɛ b ɑ d i
ცვალებადობა	t s v ɑ l ɛ b ɑ d ɔ b ɑ
ცვლა	t s v l ɑ
ცვლილება	t s v l i l ɛ b ɑ
ცივი	t s i v i
ცინიზმი	t s ɪ n ɪ z m ɪ
ცინიკური	t s ɪ n ɪ kʼ u r ɪ
ცისფერი	t s i s pʰ ɛ r i
ციტრუსი	t s ɪ tʼ r u s ɪ
ციური	t s i u r i
ციფრი	t s i pʰ r i
ციფრული	t s ɪ pʰ r u l ɪ
ციცქნა	t s ɪ t s kʰ n ɑ
ციხე	t s i x ɛ
ცნობა	t s n ɔ b ɑ
ცნობილი	t s n ɔ b ɪ l ɪ
ცოდვა	t s ɔ d v ɑ
ცოდნა	t s ɔ d n ɑ
ცოლი	t s ɔ l i
ცოლისძმა	t s ɔ l ɪ s d z m ɑ
ცოტა	t s ɔ tʼ ɑ
ცოტათი	t s ɔ tʼ ɑ tʰ ɪ
ცოტაოდენი	t s ɔ tʼ ɑ ɔ d ɛ n ɪ
ცოტას	t s ɔ tʼ ɑ
ცოტნე	t s ɔ tʼ n ɛ
ცოფი	t s ɔ pʰ i
ცოცხალი	t s ɔ t s x ɑ l i
ცრუ	t s r u
ცუდად	t s u d ɑ d
ცურვა	t s u r v ɑ
ცხადი	t s x ɑ d i
ცხარე	t s x ɑ r ɛ
ცხელი	t s x ɛ l i
ცხენზე	t s χ ɛ n z ɛ
ცხოვრება	t s x ɔ v r ɛ b ɑ
ცხოვრებით	t s χ ɔ v r ɛ b ɪ tʰ
ცხოვრობს	t s x ɔ v r ɔ b s
ცხრა	t s x r ɑ
ძაბავს	d z ɑ b ɑ v s
ძალა	d z ɑ l ɑ
ძალადობა	d z ɑ l ɑ d ɔ b ɑ
ძალაუნებურად	d z ɑ l ɑ u n ɛ b u r ɑ d
ძალაუფლება	d z ɑ l ɑ u pʰ l ɛ b ɑ
ძალიან	d z ɑ l i ɑ n
ძალით	d z ɑ l ɪ tʰ
ძალისხმევა	d z ɑ l ɪ s χ m ɛ v ɑ
ძაღლი	d z ɑ ɣ l i
ძაღლყურძენა	d z ɑ ʁ l qʼ u r d z ɛ n ɑ
ძე	d z ɛ
ძებნა	d z ɛ b n ɑ
ძველი	d z v ɛ l i
ძვირად	d z v ɪ r ɑ d
ძვირი	d z v ɪ r ɪ
ძვირფასი	d z v ɪ r pʰ ɑ s ɪ
ძიება	d z i ɛ b ɑ
ძილის	d z ɪ l ɪ s
ძირეულად	d z ɪ r ɛ u l ɑ d
ძირი	d z i r i
ძირითადი	d z i r i tʰ ɑ d i
ძირს	d z ɪ r s
ძირძველი	d z ɪ r d z v ɛ l ɪ
ძიძიგური	d z i d z i ɡ u r i
ძლიერ	d z l ɪ ɛ r
ძლიერად	d z l i ɛ r ɑ d
ძლიერი	d z l i ɛ r i
ძლივს	d z l ɪ v s
ძმა	d z m ɑ
ძმარი	d z m ɑ r i
ძმობა	d z m ɔ b ɑ
ძნელად	d z n ɛ l ɑ d
ძნელი	d z n ɛ l i
ძრავი	d z r ɑ v i
წააგებს	t sʼ ɑ ɑ ɡ ɛ b s
წააგო	t sʼ ɑ ɑ ɡ ɔ
წაგება	t sʼ ɑ ɡ ɛ b ɑ
წადი	t sʼ ɑ d i
წავალ	t sʼ ɑ v ɑ l
წავიდეს	t sʼ ɑ v ɪ d ɛ s
წაკითხვა	t sʼ ɑ kʼ ɪ tʰ χ v ɑ
წალიკად	t sʼ ɑ l ɪ kʼ ɑ d
წამალი	t sʼ ɑ m ɑ l i
წარდგენა	t sʼ ɑ r d ɡ ɛ n ɑ
წარმატება	t sʼ ɑ r m ɑ tʼ ɛ b ɑ
წარმატებული	t sʼ ɑ r m ɑ tʼ ɛ b u l ɪ
წარმოდგენა	t sʼ ɑ r m ɔ d ɡ ɛ n ɑ
წარმოება	t sʼ ɑ r m ɔ ɛ b ɑ
წარმოებული	t sʼ ɑ r m ɔ ɛ b u l ɪ
წარმოუდგენელი	t sʼ ɑ r m ɔ u d ɡ ɛ n ɛ l i
წარმოუდგენლად	t sʼ ɑ r m ɔ u d ɡ ɛ n l ɑ d
წარმოშობით	t sʼ ɑ r m ɔ ʃ ɔ b ɪ tʰ
წარსულში	t sʼ ɑ r s u l ʃ ɪ
წარუმატებელი	t sʼ ɑ r u m ɑ tʼ ɛ b ɛ l ɪ
წარუმატებლად	t sʼ ɑ r u m ɑ tʼ ɛ b l ɑ d
წარჩინებული	t sʼ ɑ r t ʃ i n ɛ b u l i
წაშლა	t sʼ ɑ ʃ l ɑ
წებოვანი	t sʼ ɛ b ɔ v ɑ n ɪ
წებოვნება	t sʼ ɛ b ɔ v n ɛ b ɑ
წევრი	t sʼ ɛ v r i
წელი	t sʼ ɛ l i
წელიწადი	t sʼ ɛ l i t sʼ ɑ d i
წერა	t sʼ ɛ r ɑ
წერილი	t sʼ ɛ r i l i
წერს	t sʼ ɛ r s
წერტილი	t sʼ ɛ r tʼ i l i
წესი	t sʼ ɛ s i
წესიერი	t sʼ ɛ s i ɛ r i
წესრიგი	t sʼ ɛ s r i ɡ i
წვა	t sʼ v ɑ
წვავს	t sʼ v ɑ v s
წვეთი	t sʼ v ɛ tʰ ɪ
წვერი	t sʼ v ɛ r i
წვიმა	t sʼ v i m ɑ
წვლილი	t sʼ v l ɪ l ɪ
წვრთნა	t sʼ v r tʰ n ɑ
წვრილად	t sʼ v r ɪ l ɑ d
წვრილი	t sʼ v r i l i
წვრილფეხა	t sʼ v r ɪ l pʰ ɛ χ ɑ
წიგნი	t sʼ i ɡ n i
წითელი	t sʼ i tʰ ɛ l i
წილი	t sʼ i l i
წინ	t sʼ i n
წინა	t sʼ i n ɑ
წინააღმდეგობა	t sʼ i n ɑ ɑ ɣ m d ɛ ɡ ɔ b ɑ
წინადადება	t sʼ i n ɑ d ɑ d ɛ b ɑ
წინათ	t sʼ ɪ n ɑ tʰ
წინამორბედი	t sʼ ɪ n ɑ m ɔ r b ɛ d ɪ
წინაპარი	t sʼ ɪ n ɑ pʼ ɑ r ɪ
წინდა	t sʼ i n d ɑ
წინდაუხედავი	t sʼ ɪ n d ɑ u χ ɛ d ɑ v ɪ
წინდახედული	t sʼ ɪ n d ɑ χ ɛ d u l ɪ
წინსვლა	t sʼ i n s v l ɑ
წიწაკა	t sʼ i t sʼ ɑ kʼ ɑ
წიწიბურა	t sʼ ɪ t sʼ ɪ b u r ɑ
წლისთავი	t sʼ l i s tʰ ɑ v i
წმიდა	t sʼ m i d ɑ
წრე	t sʼ r ɛ
წუთი	t sʼ u tʰ i
წუხილი	t sʼ u x i l i
წყავი	t sʼ qʼ ɑ v i
წყალი	t sʼ qʼ ɑ l i
წყალს	t sʼ qʼ ɑ l s
წყარო	t sʼ qʼ ɑ r ɔ
წყაროთი	t sʼ qʼ ɑ r ɔ tʰ ɪ
წყარომ	t sʼ qʼ ɑ r ɔ m
წყვილი	t sʼ qʼ v i l i
წყლიანი	t sʼ qʼ l i ɑ n i
წყლის	t sʼ qʼ l ɪ s
ჭამა	t ʃʼ ɑ m ɑ
ჭამს	t ʃʼ ɑ m s
ჭარხალი	t ʃʼ ɑ r χ ɑ l ɪ
ჭეშმარიტად	t ʃʼ ɛ ʃ m ɑ r i tʼ ɑ d
ჭეშმარიტება	t ʃʼ ɛ ʃ m ɑ r i tʼ ɛ b ɑ
ჭეშმარიტი	t ʃʼ ɛ ʃ m ɑ r i tʼ i
ჭიანჭველას	t ʃʼ ɪ ɑ n t ʃʼ v ɛ l ɑ s
ჭიდაობა	t ʃʼ i d ɑ ɔ b ɑ
ჭიპი	t ʃʼ i pʼ i
ჭირი	t ʃʼ i r i
ჭიქა	t ʃʼ i kʰ ɑ
ჭკუა	t ʃʼ kʼ u ɑ
ჭორი	t ʃʼ ɔ r i
ჭრელი	t ʃʼ r ɛ l ɪ
ხაზგასმით	χ ɑ z ɡ ɑ s m ɪ tʰ
ხაზი	χ ɑ z ɪ
ხალასი	x ɑ l ɑ s i
ხალი	x ɑ l i
ხალიფა	χ ɑ l ɪ pʰ ɑ
ხალხად	χ ɑ l χ ɑ d
ხალხი	x ɑ l x i
ხალხით	χ ɑ l χ ɪ tʰ
ხალხის	χ ɑ l χ ɪ s
ხალხმა	χ ɑ l χ m ɑ
ხალხს	χ ɑ l χ s
ხან	χ ɑ n
ხანა	χ ɑ n ɑ
ხანგრძლივი	x ɑ n ɡ r d z l i v i
ხანდახან	x ɑ n d ɑ x ɑ n
ხანი	x ɑ n i
ხანმოკლე	χ ɑ n m ɔ kʼ l ɛ
ხანძარი	χ ɑ n d z ɑ r ɪ
ხარ	χ ɑ r
ხარვეზი	x ɑ r v ɛ z i
ხართ	χ ɑ r tʰ
ხარკი	χ ɑ r kʼ ɪ
ხარხარი	x ɑ r x ɑ r i
ხარჯავს	x ɑ r d ʒ ɑ v s
ხარჯი	χ ɑ r d ʒ ɪ
ხასიათი	χ ɑ s ɪ ɑ tʰ ɪ
ხატი	χ ɑ tʼ ɪ
ხატია	x ɑ tʼ i ɑ
ხაფანგი	x ɑ pʰ ɑ n ɡ i
ხაჭაპური	x ɑ t ʃʼ ɑ pʼ u r i
ხაჭო	x ɑ t ʃʼ ɔ
ხახვი	x ɑ x v i
ხდება	x d ɛ b ɑ
ხეები	x ɛ ɛ b i
ხეების	x ɛ ɛ b i s
ხეებს	x ɛ ɛ b s
ხელახლა	χ ɛ l ɑ χ l ɑ
ხელბურთი	x ɛ l b u r tʰ i
ხელის	χ ɛ l ɪ s
ხელისუფალი	χ ɛ l ɪ s u pʰ ɑ l ɪ
ხელისუფლება	χ ɛ l ɪ s u pʰ l ɛ b ɑ
ხელისუფლებამ	χ ɛ l ɪ s u pʰ l ɛ b ɑ m
ხელკეტი	χ ɛ l kʼ ɛ tʼ ɪ
ხელმომწერი	χ ɛ l m ɔ m t sʼ ɛ r ɪ
ხელმოწერა	χ ɛ l m ɔ t sʼ ɛ r ɑ
ხელმძღვანელი	χ ɛ l m d z ʁ v ɑ n ɛ l ɪ
ხელნაწერი	χ ɛ l n ɑ t sʼ ɛ r ɪ
ხელოვნება	χ ɛ l ɔ v n ɛ b ɑ
ხელოვნებას	χ ɛ l ɔ v n ɛ b ɑ s
ხელოვნების	χ ɛ l ɔ v n ɛ b ɪ s
ხელოვნურად	x ɛ l ɔ v n u r ɑ d
ხელოვნური	χ ɛ l ɔ v n u r ɪ
ხელოსანი	χ ɛ l ɔ s ɑ n ɪ
ხელსაყრელი	x ɛ l s ɑ qʼ r ɛ l i
ხელშეკრულება	χ ɛ l ʃ ɛ kʼ r u l ɛ b ɑ
ხელშესახები	χ ɛ l ʃ ɛ s ɑ χ ɛ b ɪ
ხელშეწყობა	χ ɛ l ʃ ɛ t sʼ qʼ ɔ b ɑ
ხერხი	x ɛ r x i
ხვალ	x v ɑ l
ხველა	χ v ɛ l ɑ
ხიბლი	x i b l i
ხიდი	x i d i
ხილვა	χ ɪ l v ɑ
ხილი	x i l i
ხის	x i s
ხისტი	χ ɪ s tʼ ɪ
ხიფათი	x i pʰ ɑ tʰ i
ხმა	x m ɑ
ხმამაღალი	χ m ɑ m ɑ ʁ ɑ l ɪ
ხმას	χ m ɑ s
ხმაური	x m ɑ u r i
ხმაურიანი	x m ɑ u r i ɑ n i
ხმაურით	χ m ɑ u r ɪ tʰ
ხმით	χ m ɪ tʰ
ხმის	x m i s
ხმოვანი	χ m ɔ v ɑ n ɪ
ხოლო	χ ɔ l ɔ
ხომ	x ɔ m
ხომალდი	χ ɔ m ɑ l d ɪ
ხორცი	x ɔ r t s i
ხორცშესხმული	χ ɔ r t s ʃ ɛ s χ m u l ɪ
ხრიკი	χ r ɪ kʼ ɪ
ხსნადი	χ s n ɑ d ɪ
ხუთი	x u tʰ i
ხუმარა	χ u m ɑ r ɑ
ხშირად	χ ʃ ɪ r ɑ d
ხშირი	x ʃ i r i
ჯაბა	d ʒ ɑ b ɑ
ჯანი	d ʒ ɑ n ɪ
ჯანმრთელი	d ʒ ɑ n m r tʰ ɛ l ɪ
ჯანმრთელობა	d ʒ ɑ n m r tʰ ɛ l ɔ b ɑ
ჯანსაღი	d ʒ ɑ n s ɑ ɣ i
ჯარი	d ʒ ɑ r i
ჯარიმა	d ʒ ɑ r ɪ m ɑ
ჯაშუში	d ʒ ɑ ʃ u ʃ i
ჯაჭვი	d ʒ ɑ t ʃʼ v i
ჯგუფი	d ʒ ɡ u pʰ ɪ
ჯგუფური	d ʒ ɡ u pʰ u r i
ჯდომა	d ʒ d ɔ m ɑ
ჯეიმსი	d ʒ ɛ ɪ m s ɪ
ჯიბე	d ʒ ɪ b ɛ
ჯილდო	d ʒ i l d ɔ
ჯიმი	d ʒ ɪ m ɪ
ჯინი	d ʒ ɪ n ɪ
ჯიუტად	d ʒ ɪ u tʼ ɑ d
ჯონ	d ʒ ɔ n
ჯონი	d ʒ ɔ n ɪ
ჯორჯ	d ʒ ɔ r d ʒ
ჯოჯოხეთური	d ʒ ɔ d ʒ ɔ χ ɛ tʰ u r ɪ
ჯულიეტა	d ʒ u l ɪ ɛ tʼ ɑ
ჰაერი	h ɑ ɛ r i
ჰამაკი	h ɑ m ɑ kʼ i
ჰარმონიულად	h ɑ r m ɔ n ɪ u l ɑ d
ჰექტარი	h ɛ kʰ tʼ ɑ r ɪ
ჰიბრიდი	h ɪ b r ɪ d ɪ
ჰიბრიდული	h ɪ b r ɪ d u l ɪ
ჰიგიენური	h ɪ ɡ ɪ ɛ n u r ɪ
ჰილარი	h ɪ l ɑ r ɪ
ჰიმნი	h i m n i
ჰო	h ɔ
ჰობი	h ɔ b ɪ
ჰოლანდიური	h ɔ l ɑ n d ɪ u r ɪ
ჰომოსექსუალობა	h ɔ m ɔ s ɛ kʰ s u ɑ l ɔ b ɑ
ჰორიზონტალურად	h ɔ r ɪ z ɔ n tʼ ɑ l u r ɑ d
ჰორიზონტი	h ɔ r ɪ z ɔ n tʼ ɪ
ჰოროსკოპი	h ɔ r ɔ s kʼ ɔ pʼ ɪ
ჰუმანიტარული	h u m ɑ n ɪ tʼ ɑ r u l ɪ
ჰუმანური	h u m ɑ n u r ɪ
ჰქვია	h kʰ v i ɑ
ჰქონდა	h kʰ ɔ n d ɑ
ჰყავს	h qʼ ɑ v s
