अंक	ə ŋ k
उत्साहित	ʊ t̪ s ɑː ɦ ɪ t̪
उत्सुक	ʊ t̪ s ʊ k
उदारता	ʊ d̪ ɑː ɾ t̪ ɑː
उदास	ʊ d̪ ɑː s
उदासीन	ʊ d̪ ɑː s iː n
उद्घाटन	ʊ d̪ ɡʱ ɑː ʈ ə n
उद्भव	ʊ d̪ bʱ ə ʋ
उद्यमी	ʊ d̪ j ə m iː
उद्यान	ʊ d̪ j ɑː n
उद्योग	ʊ d̪ j oː ɡ
उद्योगपति	ʊ d̪ j oː ɡ p ə t̪ iː
उद्योगीकरण	ʊ d̪ j oː ɡ iː k ə ɾ ə n
उधार	ʊ d̪ʱ ɑː ɾ
उनका	ʊ n k ɑː
उनको	ʊ n k oː
उनींदा	ʊ n iː n d̪ ɑː
उन्नत	ʊ n n ə t̪
उन्नाव	ʊ n n ɑː ʋ
उन्माद	ʊ n̪ m aː d̪
उन्मूलन	ʊ n m uː l ə n
उन्हें	ʊ n ɦ ẽ
उन्होंने	ʊ n ɦ õː n eː
उपचुनाव	ʊ p t͡ʃ ʊ n ɑː ʋ
उपजाऊ	ʊ p d͡ʒ ɑː uː
उपनगर	ʊ p n ə ɡ ə ɾ
उपनाम	ʊ p n ɑː m
उपन्यास	ʊ p ə n j ɑː s
उपभोक्ता	ʊ p bʱ oː k t̪ ɑː
उपभोग	ʊ p bʱ oː ɡ
उपयोग	ʊ p j oː ɡ
उपलब्ध	ʊ p l ə b d̪ʱ
उपहार	ʊ pʰ ɑː ɾ
उपाधि	ʊ p ɑː d̪ʱ iː
उपाध्याय	ʊ p ɑː d̪ʱ j ɑː j
उपाय	ʊ p ɑː j
उपेक्षा	ʊ p eː k ʃ ɑː
उबरना	ʊ b ə ɾ n ɑː
उभरना	ʊ bʱ ə ɾ n ɑː
उमंग	ʊ m ə ŋ ɡ
उमर	ʊ m ə ɾ
उमस	ʊ m ə s
उम्दा	ʊ m d̪ ɑː
उम्मीदवार	ʊ m m iː d̪ ʋ ɑː ɾ
उलझन	ʊ l d͡ʒʱ ə n
उलझना	ʊ l ə d͡ʒʱ n ɑː
उलटी	ʊ l ʈ iː
उल्का	ʊ l k ɑː
उल्टा	ʊ l ʈ ɑː
उल्टी	ʊ l ʈ iː
उल्लंघन	ʊ l l ə ŋ ɡʱ ə n
उल्लू	ʊ l l uː
उल्लेख	ʊ l l eː kʰ
उषा	ʊ ʃ ɑː
उसका	ʊ s k ɑː
उसको	ʊ s k oː
उससे	ʊ s s eː
उसूल	ʊ s uː l
उसे	ʊ s eː
उस्ताद	ʊ s t̪ ɑː d̪
ऊँट	ũː ʈ
ऊन	uː n
ऊना	uː n ɑː
ऊपरी	uː p ɾ iː
ऊब	uː b
ऊर्जा	uː ɾ d͡ʒ ɑː
ऋग्वेद	ɾ ɪ ɡ ʋ eː d̪
ऋण	ɾ ɪ n
ऋणदाता	ɾ ɪ n d̪ ɑː t̪ ɑː
ऋतु	ɾ ɪ t̪ uː
एक	eː k
एकजुट	eː k d͡ʒ ʊ ʈ
एकजुटता	eː k d͡ʒ ʊ ʈ t̪ ɑː
एकतरफ़ा	eː k t̪ ə ɾ f ɑː
एकत्र	eː k ə t̪ ɾ
एकल	eː k ə l
एकांत	eː k ɑː n t̪
एकाएक	eː k ɑː eː k
एकाध	eː k ɑː d̪ʱ
एडिलेड	eː ɖ ɪ l eː ɖ
एयरलाइन	eː j ə ɾ l ɑː ɪ n
एलान	eː l ɑː n
एल्युमिनियम	eː l j ʊ m ɪ n iː j ə m
एशिया	eː ʃ iː j ɑː
एसोसिएशन	eː s oː s ɪ eː ʃ ə n
एहसान	eːʱ s ɑː n
एहसानमंद	eːʱ s ɑː n m ə n d̪
ऐच्छिक	ɛː t͡ʃ t͡ʃʰ ɪ k
ऐतिहासिक	ɛː t̪ ɪ ɦ ɑː s ɪ k
ऐनक	ɛː n ə k
ऐश	ɛː ʃ
ऐश्वर्य	ɛː ʃ ʋ ə ɾ j
ऐसी	ɛː s iː
ऐसे	ɛː s eː
ऑकलैंड	ɔː k l ɛː n ɖ
ऑस्ट्रिया	ɔː s ʈ ɾ iː j ɑː
ऑस्ट्रेलिया	ɔː s ʈ ɾ eː l iː j ɑː
ओर	oː ɾ
ओलंपिक	oː l ə m p ɪ k
ओसाका	oː s ɑː k ɑː
ओहायो	oː ɦ ɑː j oː
औद्योगिक	ɔː d̪ j oː ɡ ɪ k
औद्योगीकरण	ɔː d̪ j oː ɡ iː k ə ɾ ə n
औपचारिक	ɔː p t͡ʃ ɑː ɾ ɪ k
औरत	ɔː ɾ ə t̪
औसतन	ɔː s t̪ ə n
कंकड़	k ə ŋ k ə ɽ
कंकाल	k ə ŋ k ɑː l
कंडकटर	k ə n ɖ ə k ʈ ə ɾ
कंडीशनर	k ə n ɖ iː ʃ n ə ɾ
कंधा	k ə n d̪ʱ ɑː
कंपन	k ə m p ə n
कंप्यूटरीकरण	k ə m p j uː ʈ ɾ iː k ə ɾ ə n
कंबल	k ə m b ə l
कई	k ə iː
कक्ष	k ə k ʃ
कक्षा	k ə k ʃ ɑː
कगार	k ə ɡ ɑː ɾ
कचरा	k ə t͡ʃ ɾ ɑː
कच्चा	k ə t͡ʃ t͡ʃ ɑː
कच्छ	k ə t͡ʃ t͡ʃʰ
कटाई	k ə ʈ ɑː iː
कटोरा	k ə ʈ oː ɾ ɑː
कट्टर	k ə ʈ ʈ ə ɾ
कठिन	k ə ʈʰ ɪ n
कठुआ	k ə ʈʰ ʊ ɑː
कड़वाहट	k ə ɽ ʋ ɑː ɦ ə ʈ
कड़ा	k ə ɽ ɑː
कढ़ाई	k ə ɽʱ ɑː iː
कथन	k ə t̪ʰ ə n
कथा	k ə t̪ʰ ɑː
कथित	k ə t̪ʰ ɪ t̪
कनपटी	k ə n p ə ʈ iː
कनाडा	k ə n ɑː ɖ ɑː
कनिष्ठ	k ə n ɪ ʃ ʈʰ
कनिष्ठा	k ə n ɪ ʃ ʈʰ ɑː
कपड़ा	k ə p ɽ ɑː
कपास	k ə p ɑː s
कपूर	k ə p uː ɾ
कप्तान	k ə p t̪ ɑː n
कबड्डी	k ə b ə ɖ ɖ iː
कबाब	k ə b ɑː b
कबूतर	k ə b uː t̪ ə ɾ
कभी	k ə bʱ iː
कम	k ə m
कमज़ोर	k ə m z oː ɾ
कमरा	k ə m ɾ ɑː
कमर्शियल	k ə m ə ɾ ʃ iː j ə l
कमल	k ə m ə l
कमाई	k ə m ɑː iː
कमान	k ə m ɑː n
कमिश्नर	k ə m ɪ ʃ n ə ɾ
कमी	k ə m iː
कमीना	k ə m iː n ɑː
कमेंट	k ə m eː n ʈ
कमेटी	k ə m eː ʈ iː
कमोबेश	k ə m oː b eː ʃ
कर	k ə ɾ
करणी	k ə ɾ n iː
करतब	k ə ɾ t̪ ə b
करना	k ə ɾ n ɑː
कराची	k ə ɾ ɑː t͡ʃ iː
करारा	k ə ɾ ɑː ɾ ɑː
करूंगा	k ə ɾ ũː ŋ ɡ ɑ
करोड़	k ə ɾ oː ɽ
करोड़पति	k ə ɾ oː ɽ p ə t̪ iː
कर्म	k ə ɾ m
कर्मभूमि	k ə ɾ m bʱ uː m iː
कर्मी	k ə ɾ m iː
कलंक	k ə l ə ŋ k
कलह	k ə l əʱ
कलाई	k ə l ɑː iː
कलात्मक	k ə l ɑː t̪ m ə k
कलावंत	k ə l ɑː ʋ ə n t̪
कल्पना	k ə l p ə n ɑː
कवच	k ə ʋ ə t͡ʃ
कविता	k ə ʋ ɪ t̪ ɑː
कशमकश	k ə ʃ ə m k ə ʃ
कश्ती	k ə ʃ t̪ iː
कश्मीर	k ə ʃ m iː ɾ
कष्ट	k ə ʃ ʈ
कसौटी	k ə s ɔː ʈ iː
कहलाना	k ɛːʱ l ɑː n ɑː
कहाँ	k ə ɦ ɑ̃ː
कहानी	k ə ɦ ɑː n iː
कहावत	k ə ɦ ɑː ʋ ə t̪
कहीं	k ə ɦ ĩː
का	k ɑː
कांग्रेस	k ɑː ŋ ɡ ɾ eː s
कांग्रेसी	k ɑː ŋ ɡ ɾ eː s iː
कांटा	k ɑː n ʈ ɑː
काज	k ɑː d͡ʒ
काजल	k ɑː d͡ʒ ə l
काजू	k ɑː d͡ʒ uː
कान	k ɑː n
कानपुर	k ɑː n p ʊ ɾ
कान्हा	k ɑː n ɦ ɑː
काफी	k ɑː pʰ iː
काबीना	k ɑː b iː n ɑː
काम	k ɑː m
कामकाज	k ɑː m k ɑː d͡ʒ
कामगार	k ɑː m ɡ ɑː ɾ
कामना	k ɑː m n ɑː
कामयाब	k ɑː m j ɑː b
कायनात	k ɑː j n ɑː t̪
कायर	k ɑː j ə ɾ
कार	k ɑː ɾ
कारगर	k ɑː ɾ ɡ ə ɾ
कारण	k ɑː ɾ ə n
कारतूस	k ɑː ɾ t̪ uː s
कारनामा	k ɑː ɾ n ɑː m ɑː
कारवाँ	k ɑː ɾ ʋ ɑ̃ː
कारोबारी	k ɑː ɾ oː b ɑː ɾ iː
कार्गो	k ɑː ɾ ɡ oː
कार्टून	k ɑː ɾ ʈ uː n
कार्ड	k ɑː ɾ ɖ
कार्य	k ɑː ɾ j
कार्यकर्ता	k ɑː ɾ j ə k ə ɾ t̪ ɑː
कार्यभार	k ɑː ɾ j ə bʱ ɑː ɾ
कार्यसमिति	k ɑː ɾ j s ə m ɪ t̪ iː
कार्यान्वित	k ɑː ɾ j ɑː n ʋ ɪ t̪
काल	k ɑː l
कालक्रम	k ɑː l k ɾ ə m
काला	k ɑː l ɑː
कालाधन	k ɑː l ɑː d̪ʱ ə n
कालापन	k ɑː l ɑː p ə n
कालेज	k ɑː l eː d͡ʒ
किंतु	k ɪ n t̪ uː
किए	k ɪ eː
किचन	k ɪ t͡ʃ ə n
कितना	k ɪ t̪ n ɑː
कितने	k ɪ t̪ n eː
किताब	k ɪ t̪ ɑː b
किमी	k ɪ m iː
किरण	k ɪ ɾ ə n
किरदार	k ɪ ɾ d̪ ɑː ɾ
किराया	k ɪ ɾ ɑː j ɑː
किरायेदार	k ɪ ɾ ɑː j eː d̪ ɑː ɾ
किलो	k ɪ l oː
किलोग्राम	k ɪ l oː ɡ ɾ ɑː m
किशमिश	k ɪ ʃ m ɪ ʃ
किश्त	k ɪ ʃ t̪
कीचड़	k iː t͡ʃ ə ɽ
कीटाणु	k iː ʈ ɑː n uː
कीड़ा	k iː ɽ ɑː
कील	k iː l
कुंद	k ʊ n d̪
कुख्यात	k ʊ kʰ j ɑː t̪
कुटिल	k ʊ ʈ ɪ l
कुत्ता	k ʊ t̪ t̪ ɑː
कुदाल	k ʊ d̪ ɑː l
कुमारी	k ʊ m ɑː ɾ iː
कुम्हड़ा	k ʊ m ɦ ə ɽ ɑː
कुर्की	k ʊ ɾ k iː
कुल	k ʊ l
कुशल	k ʊ ʃ ə l
कुशासन	k ʊ ʃ ɑː s ə n
कुश्ती	k ʊ ʃ t̪ iː
कुहनी	k ʊʱ n iː
कूच	k uː t͡ʃ
कूटनीति	k uː ʈ n iː t̪ iː
कूटनीतिक	k uː ʈ n iː t̪ ɪ k
कृति	k ɽ ɪ t̪ iː
कृष्णा	k ɾ ɪ ʃ n ɑː
केंद्र	k eː n d̪ ɾ
केंद्रित	k eː n d̪ ɾ ɪ t̪
केन्या	k eː n j ɑː
केपटाउन	k eː p ʈ ɑː ʊ n
केरल	k eː ɾ ə l
केला	k eː l ɑː
कैंडी	k ɛː n ɖ iː
कैमरा	k ɛː m ɾ ɑː
कैरम	k ɛː ɾ ə m
कैलकुलेटर	k ɛː l k ʊ l eː ʈ ə ɾ
कैलिफ़ोर्निया	k ɛː l ɪ f oː ɾ n iː j ɑː
कैसा	k ɛː s ɑː
कॉफ़ी	k ɔː f iː
कॉमनवेल्थ	k ɔː m ə n ʋ eː l t̪ʰ
कॉमेडी	k ɔː m eː ɖ iː
कोंकण	k oː ŋ k ə n
कोट	k oː ʈ
कोटा	k oː ʈ ɑː
कोठारी	k oː ʈʰ ɑː ɾ iː
कोड़ा	k oː ɽ ɑː
कोढ़	k oː ɽʱ
कोण	k oː n
कोयला	k oː j ə l ɑː
कोरा	k oː ɾ ɑː
कोरियन	k oː ɾ iː j ə n
कोरिया	k oː ɾ iː j ɑː
कोलकाता	k oː l k ɑː t̪ ɑː
कोश	k oː ʃ
कोस	k oː s
कोसना	k oː s n ɑː
कोहनी	k oːʱ n iː
कोहराम	k oːʱ ɾ ɑː m
कौन	k ɔː n
क्या	k j ɑː
क्यूँ	k j ũː
क्यूबा	k j uː b ɑː
क्योटो	k j oː ʈ oː
क्रम	k ɾ ə m
क्रमशः	k ɾ ə m ʃ əʰ
क्रय	k ɾ ə j
क्रांतिकारी	k ɾ ɑː n t̪ ɪ k ɑː ɾ iː
क्राइस्टचर्च	k ɾ ɑː ɪ s ʈ t͡ʃ ə ɾ t͡ʃ
क्रिया	k ɾ iː j ɑː
क्रिसमस	k ɾ ɪ s m ə s
क्रिस्टल	k ɾ ɪ s ʈ ə l
क्रीम	k ɾ iː m
क्रुद्ध	k ɾ ʊ d̪ d̪ʱ
क्रोएशिया	k ɾ oː eː ʃ iː j ɑː
क्रोध	k ɾ oː d̪ʱ
क्लब	k l ə b
क्लास	k l ɑː s
क्विंटल	k ʋ ɪ n ʈ ə l
क्वेटा	k ʋ eː ʈ ɑː
क्षण	k ʃ ə n
क्षत्रिय	k ʃ ə t̪ ɾ iː j ə
क्षितिज	k ʃ ɪ t̪ ɪ d͡ʒ
क्षेत्र	k ʃ eː t̪ ɾ
क्षेत्रफल	k ʃ eː t̪ ɾ ə pʰ ə l
खंभा	kʰ ə m bʱ ɑː
खजूर	kʰ ə d͡ʒ uː ɾ
खटपट	kʰ ə ʈ p ə ʈ
खटमल	kʰ ə ʈ m ə l
खटाई	kʰ ə ʈ aː iː
खत्री	kʰ ə t̪ ɾ iː
खदान	kʰ ə d̪ ɑː n
खनिज	kʰ ə n ɪ d͡ʒ
खपत	kʰ ə p ə t̪
खरब	kʰ ə ɾ ə b
खर्च	kʰ ə ɾ t͡ʃ
खलनायक	kʰ ə l n ɑː j ə k
खसरा	kʰ ə s ɾ ɑː
खाई	kʰ ɑː iː
खाड़ी	kʰ ɑː ɽ iː
खाद	kʰ ɑː d̪
खादी	kʰ ɑː d̪ iː
खाद्य	kʰ ɑː d̪ j ə
खान	kʰ ɑː n
खाना	kʰ ɑː n ɑː
खिंचाव	kʰ ɪ ɲ t͡ʃ ɑː ʋ
खिड़की	kʰ ɪ ɽ k iː
खिलाना	kʰ ɪ l ɑː n ɑː
खिलौना	kʰ ɪ l̪ ɔː n̪ ɑː
खींच	kʰ iː ɲ t͡ʃ
खींचतान	kʰ iː ɲ t͡ʃ t̪ ɑː n
खीर	kʰ iː ɾ
खीरा	kʰ iː ɾ ɑː
खुदाई	kʰ ʊ d̪ ɑː iː
खुलकर	kʰ ʊ l k ə ɾ
खुलना	kʰ ʊ l n ɑː
खुला	kʰ ʊ l ɑː
खुलापन	kʰ ʊ l ɑː p ə n
खूब	kʰ uː b
खेत	kʰ e t̪
खेती	kʰ eː t̪ iː
खेद	kʰ eː d̪
खेल	kʰ eː l
खेलना	kʰ eː l n ɑː
खोज	kʰ oː d͡ʒ
खोपड़ी	kʰ oː p ɽ iː
खोया	kʰ oː j ɑː
खोला	kʰ oː l ɑː
गंतव्य	ɡ ə n t̪ ə ʋ j
गंदगी	ɡ ə n d̪ ə ɡ iː
गंदा	ɡ ə n d̪ ɑː
गंभीर	ɡ ə m bʱ iː ɾ
गंवाना	ɡ ə̃ ʋ ɑː n ɑː
गई	ɡ ə iː
गऊ	ɡ ə uː
गगन	ɡ ə ɡ ə n
गज	ɡ ə d͡ʒ
गठजोड़	ɡ ə ʈʰ d͡ʒ oː ɽ
गठित	ɡ ə ʈʰ ɪ t̪
गड्ढा	ɡ ə ɖ ɖʱ ɑː
गढ़	ɡ ə ɽʱ
गढ़वाल	ɡ ə ɽʱ ʋ ɑː l
गढ़ी	ɡ ə ɽʱ iː
गणना	ɡ ə n n ɑː
गणित	ɡ ə n ɪ t̪
गणितज्ञ	ɡ ə n ɪ t̪ ə ɡ j
गणेश	ɡ ə ɳ e ʃ
गत	ɡ ə t̪
गतिमान	ɡ ə t̪ ɪ m ɑː n
गद्य	ɡ ə d̪ j
गधा	ɡ ə d̪ʱ ɑː
गन्ना	ɡ ə n n ɑː
गपशप	ɡ ə p ʃ ə p
गम्भीर	ɡ ə m bʱ iː ɾ
गया	ɡ ə j ɑː
गरिमा	ɡ ə ɾ ɪ m ɑː
गर्दिश	ɡ ə ɾ d̪ ɪ ʃ
गर्भवती	ɡ ə ɾ bʱ ʋ ə t̪ iː
गर्भावस्था	ɡ ə ɾ bʱ ɑː ʋ ə s t̪ʰ ɑː
गला	ɡ ə l ɑː
गलियारा	ɡ ə l iː j ɑː ɾ ɑː
गली	ɡ ə l iː
गवाह	ɡ ə ʋ ɑːʱ
गश्त	ɡ ə ʃ t̪
गहना	ɡ ɛːʱ n ɑː
गहरा	ɡ ɛːʱ ɾ ɑː
गाँधी	ɡ ɑ̃ː d̪ʱ iː
गांगुली	ɡ ɑː ŋ ɡ ʊ l iː
गांजा	ɡ ãː n̪ d ʒ aː
गांव	ɡ ɑ̃ː ʋ
गाजर	ɡ ɑː d͡ʒ ə ɾ
गाड़ा	ɡ ɑː ɽ ɑː
गाय	ɡ ɑː j
गायकी	ɡ ɑː j ə k iː
गायन	ɡ ɑː j ə n
गिनना	ɡ ɪ n n ɑː
गिनी	ɡ ɪ n iː
गिरगिट	ɡ ɪ ɾ ɡ ɪ ʈ
गिरजा	ɡ ɪ ɾ d͡ʒ ɑː
गिरफ़्तार	ɡ ɪ ɾ ə f t̪ ɑː ɾ
गिरा	ɡ ɪ ɾ ɑː
गिराना	ɡ ɪ ɾ ɑː n ɑː
गिरोह	ɡ ɪ ɾ oːʱ
गिलहरी	ɡ ɪ l ɛːʱ ɾ iː
गिला	ɡ ɪ l ɑː
गिलास	ɡ ɪ l ɑː s
गीला	ɡ iː l ɑː
गुंटूर	ɡ ʊ n ʈ uː ɾ
गुंडा	ɡ ʊ n ɖ ɑː
गुंडागर्दी	ɡ ʊ n ɖ ɑː ɡ ə ɾ d̪ iː
गुजरात	ɡ ʊ d͡ʒ ɾ ɑː t̪
गुजराती	ɡ ʊ d͡ʒ ɾ ɑː t̪ iː
गुज़रना	ɡ ʊ z ə ɾ n ɑː
गुदा	ɡ ʊ d̪ ɑː
गुनाह	ɡ ʊ n ɑːʱ
गुप्तचर	ɡ ʊ p t̪ t͡ʃ ə ɾ
गुप्तांग	ɡ ʊ p t̪ ɑː ŋ ɡ
गुफा	ɡ ʊ pʰ ɑː
गुम	ɡ ʊ m
गुमनाम	ɡ ʊ m n ɑː m
गुरु	ɡ ʊ ɾ uː
गुरुत्वीय	ɡ ʊ ɾ ʊ t̪ ʋ iː j
गुरुद्वारा	ɡ ʊ ɾ ʊ d̪ ʋ ɑː ɾ ɑː
गुरू	ɡ ʊ ɾ uː
गुलज़ार	ɡ ʊ l z ɑː ɾ
गुलदस्ता	ɡ ʊ l d̪ ə s t̪ ɑː
गुलशन	ɡ ʊ l ʃ ə n
गुलाब	ɡ ʊ l ɑː b
गुलाबी	ɡ ʊ l ɑː b iː
गुवाहाटी	ɡ ʊ ʋ ɑː ɦ ɑː ʈ iː
गूंगा	ɡ uː ŋ ɡ ɑː
गूंजना	ɡ uː ɲ d͡ʒ n ɑː
गृहमंत्री	ɡ ɾ ɪʱ m ə n t̪ ɾ iː
गृहस्थ	ɡ ɾ ɪ ɦ ə s t̪ʰ
गे	ɡ eː
गोदी	ɡ oː d̪ iː
गोपनीयता	ɡ oː p n iː j ə t̪ ɑː
गोबर	ɡ oː b ə ɾ
गोल	ɡ oː l
गोलबंदी	ɡ oː l b ə n d̪ iː
गोलमाल	ɡ oː l m ɑː l
गोलीबारी	ɡ oː l iː b ɑː ɾ iː
गोवा	ɡ oː ʋ ɑː
गौरव	ɡ ɔː ɾ ə ʋ
गौरवान्वित	ɡ ɔː ɾ ə ʋ ɑː n ʋ ɪ t̪
गौशाला	ɡ ɔː ʃ ɑː l ɑː
ग्राहक	ɡ ɾ ɑː ɦ ə k
ग्रीस	ɡ ɾ iː s
ग्लासगो	ɡ l ɑː s ɡ oː
ग्वालियर	ɡ ʋ ɑː l iː j ə ɾ
घंटा	ɡʱ ə n ʈ ɑː
घटना	ɡʱ ə ʈ n ɑː
घटित	ɡʱ ə ʈ ɪ t̪
घटिया	ɡʱ ə ʈ iː j ɑː
घन	ɡʱ ə n
घनत्व	ɡʱ ə n ə t̪ ʋ
घबराना	ɡʱ ə b ɾ ɑː n ɑː
घबराहट	ɡʱ ə b ɾ ɑː ɦ ə ʈ
घमंड	ɡʱ ə m ə n ɖ
घमासान	ɡʱ ə m ɑː s ɑː n
घर	ɡʱ ə ɾ
घरेलू	ɡʱ ə ɾ eː l uː
घर्षण	ɡʱ ə ɾ ʃ ə n
घाटी	ɡʱ ɑː ʈ iː
घात	ɡʱ ɑː t̪
घाना	ɡʱ ɑː n ɑː
घायल	ɡʱ ɑː j ə l
घाव	ɡʱ ɑː ʋ
घी	ɡʱ iː
घुटना	ɡʱ ʊ ʈ n ɑː
घुड़सवार	ɡʱ ʊ ɽ ə s ʋ ɑː ɾ
घुसपैठ	ɡʱ ʊ s p ɛː ʈʰ
घूंट	ɡʱ uː n ʈ
घूम	ɡʱ uː m
घेरना	ɡʱ eː ɾ n ɑː
घेराव	ɡʱ eː ɾ ɑː ʋ
घोटाला	ɡʱ oː ʈ ɑː l ɑː
घोड़ा	ɡʱ oː ɽ ɑː
घोल	ɡʱ oː l
घोषणा	ɡʱ oː ʃ n ɑː
चंद	t͡ʃ ə n d̪
चंद्र	t͡ʃ ə n d̪ ɾ
चंद्रगुप्त	t͡ʃ ə n d̪ ɾ ə ɡ ʊ p t̪
चंद्रग्रहण	t͡ʃ ə n d̪ ɾ ə ɡ ɾ ɛːʱ n
चंद्रमा	t͡ʃ ə n d̪ ɾ ə m ɑː
चंपा	t͡ʃ ə m p ɑː
चक्र	t͡ʃ ə k ɾ
चक्रवर्ती	t͡ʃ ə k ɾ ə ʋ ə ɾ t̪ iː
चटगांव	t͡ʃ ə ʈ ɡ ɑ̃ː ʋ
चटनी	t͡ʃ ə ʈ n iː
चट्टान	t͡ʃ ə ʈ ʈ ɑː n
चढ़ना	t͡ʃ ə ɽʱ n ɑː
चढ़ाई	t͡ʃ ə ɽʱ ɑː iː
चतुराई	t͡ʃ ə t̪ ʊ ɾ ɑː iː
चना	t͡ʃ ə n ɑː
चन्द्र	t͡ʃ ə n d̪ ɾ
चन्द्रमा	t͡ʃ ə n d̪ ɾ ə m ɑː
चपरासी	t͡ʃ ə p ɾ ɑː s iː
चपाती	t͡ʃ ə p ɑː t̪ iː
चपेट	t͡ʃ ə p eː ʈ
चप्पल	t͡ʃ ə p p ə l
चमक	t͡ʃ ə m ə k
चमड़ी	t͡ʃ ə m ɽ iː
चयन	t͡ʃ ə j ə n
चरण	t͡ʃ ə ɾ ə n
चरागाह	t͡ʃ ə ɾ ɑː ɡ ɑːʱ
चरित्र	t͡ʃ ə ɾ ɪ t̪ ɾ
चर्च	t͡ʃ ə ɾ t͡ʃ
चर्चित	t͡ʃ ə ɾ t͡ʃ ɪ t̪
चर्म	t͡ʃ ə ɾ m
चल	t͡ʃ ə l
चलना	t͡ʃ ə l n ɑː
चलाना	t͡ʃ ə l ɑː n ɑː
चवन्नी	t͡ʃ ə ʋ ə n n iː
चश्मा	t͡ʃ ə ʃ m ɑː
चाँद	t͡ʃ ɑː n d̪
चांदी	t͡ʃ ɑː n d̪ iː
चाकलेट	t͡ʃ ɑː k l eː ʈ
चाचा	t͡ʃ ɑː t͡ʃ ɑː
चाची	t͡ʃ ɑː t͡ʃ iː
चाट	t͡ʃ ɑː ʈ
चाप	t͡ʃ ɑː p
