あい	a̠ i
おとこまさり	o̞ t o̞ k o̞ m a̠ s a̠ ɾʲ i
おとさた	o̞ t o̞ s a̠ t a̠
おどす	o̞ d o̞ s ɨᵝ
おどらす	o̞ d o̞ ɾ a̠ s ɨᵝ
おどろく	o̞ d o̞ ɾ o̞ k ɯ̟ᵝ
おないどし	o̞ n a̠ i d o̞ ɕ i
おなが	o̞ n a̠ ɡ a̠
おなががも	o̞ n a̠ ɡ a̠ ɡ a̠ m o̞
おなじ	o̞ n a̠ ʑ i
おにあそび	o̞ ɲ̟ i a̠ s o̞ bʲ i
おにご	o̞ ɲ̟ i ɡ o̞
おの	o̞ n o̞
おふくろ	o̞ ɸ ɯ̟̊ᵝ k ɯ̟ᵝ ɾ o̞
おぶつ	o̞ b ɯ̟ᵝ t͡s ɨᵝ
おぼえる	o̞ b o̞ e̞ ɾ ɯ̟ᵝ
おぼろづき	o̞ b o̞ ɾ o̞ z ɨᵝ kʲ i
おまえら	o̞ m a̠ e̞ ɾ a̠
おもい	o̞ m o̞ i
おもいうかぶ	o̞ m o̞ i ɯ̟ᵝ k a̠ b ɯ̟ᵝ
おもいおもい	o̞ m o̞ i o̞ m o̞ i
おもいたつ	o̞ m o̞ i t a̠ t͡s ɨᵝ
おもいどおり	o̞ m o̞ i d o̞ː ɾʲ i
おもいやり	o̞ m o̞ i j a̠ ɾʲ i
おもさ	o̞ m o̞ s a̠
おもたい	o̞ m o̞ t a̠ i
おもてむき	o̞ m o̞ t e̞ m ɯ̟ᵝ kʲ i
おもねる	o̞ m o̞ n e̞ ɾ ɯ̟ᵝ
おもり	o̞ m o̞ ɾʲ i
おやこ	o̞ j a̠ k o̞
およぐ	o̞ j o̞ ɡ ɯ̟ᵝ
おり	o̞ ɾʲ i
おろか	o̞ ɾ o̞ k a̠
おろがむ	o̞ ɾ o̞ ɡ a̠ m ɯ̟ᵝ
おろしうり	o̞ ɾ o̞ ɕ i ɯ̟ᵝ ɾʲ i
おろしがね	o̞ ɾ o̞ ɕ i ɡ a̠ n e̞
おろす	o̞ ɾ o̞ s ɨᵝ
おろそか	o̞ ɾ o̞ s o̞ k a̠
おろち	o̞ ɾ o̞ t͡ɕ i
おわる	o̞ ɰᵝ a̠ ɾ ɯ̟ᵝ
おん	õ̞ ɴ
おんけん	õ̞ ŋ k ẽ̞ ɴ
おんしん	õ̞ ɰ̃ ɕ ĩ ɴ
おんぞん	õ̞ n d͡z õ̞ ɴ
おんなごころ	õ̞ nː a̠ ɡ o̞ k o̞ ɾ o̞
おんなぶげいしゃ	õ̞ nː a̠ b ɯ̟ᵝ ɡ e̞ː ɕ a̠
おんりょう	õ̞ n ɾʲ o̞ː
かいあげる	k a̠ i a̠ ɡ e̞ ɾ ɯ̟ᵝ
かいい	k a̠ i i
かいうん	k a̠ i ɯ̟̃ᵝ ɴ
かいえん	k a̠ i ẽ̞ ɴ
かいおうせい	k a̠ i o̞ː s e̞ː
かいかい	k a̠ i k a̠ i
かいかけきん	k a̠ i k a̠ k e̞ kʲ ĩ ɴ
かいがら	k a̠ i ɡ a̠ ɾ a̠
かいきょうと	k a̠ i kʲ o̞ː t o̞
かいぎ	k a̠ i ɡʲ i
かいさい	k a̠ i s a̠ i
かいしゃ	k a̠ i ɕ a̠
かいしゃいん	k a̠ i ɕ a̠ ĩ ɴ
かいしゅう	k a̠ i ɕ ɨᵝː
かいしょく	k a̠ i ɕ o̞ k ɯ̟ᵝ
かいじつ	k a̠ i ʑ i t͡s ɨᵝ
かいせきがく	k a̠ i s e̞ kʲ i ɡ a̠ k ɯ̟ᵝ
かいぜん	k a̠ i z ẽ̞ ɴ
かいぞく	k a̠ i z o̞ k ɯ̟ᵝ
かいぞくばん	k a̠ i z o̞ k ɯ̟ᵝ b ã̠ ɴ
かいならす	k a̠ i n a̠ ɾ a̠ s ɨᵝ
かいぶんしょ	k a̠ i b ɯ̟̃ᵝ ɰ̃ ɕ o̞
かいめつ	k a̠ i m e̞ t͡s ɨᵝ
かいらく	k a̠ i ɾ a̠ k ɯ̟ᵝ
かえりみる	k a̠ e̞ ɾʲ i mʲ i ɾ ɯ̟ᵝ
かえる	k a̠ e̞ ɾ ɯ̟ᵝ
かお	k a̠ o̞
かかあでんか	k a̠ k a̠ː d ẽ̞ ŋ k a̠
かかげる	k a̠ k a̠ ɡ e̞ ɾ ɯ̟ᵝ
かかし	k a̠ k a̠ ɕ i
かかる	k a̠ k a̠ ɾ ɯ̟ᵝ
かかわり	k a̠ k a̠ ɰᵝ a̠ ɾʲ i
かがふり	k a̠ ɡ a̠ ɸ ɯ̟ᵝ ɾʲ i
かがふる	k a̠ ɡ a̠ ɸ ɯ̟ᵝ ɾ ɯ̟ᵝ
かき	k a̠ kʲ i
かきとめる	k a̠ kʲ i t o̞ m e̞ ɾ ɯ̟ᵝ
かきみだす	k a̠ kʲ i mʲ i d a̠ s ɨᵝ
かぎ	k a̠ ɡʲ i
かぎる	k a̠ ɡʲ i ɾ ɯ̟ᵝ
かく	k a̠ k ɯ̟ᵝ
かくうん	k a̠ k ɯ̟ᵝ ɯ̟̃ᵝ ɴ
かくしあじ	k a̠ k ɯ̟ᵝ ɕ i a̠ ʑ i
かくしき	k a̠ k ɯ̟ᵝ ɕ i kʲ i
かくしん	k a̠ k ɯ̟ᵝ ɕ ĩ ɴ
かくじん	k a̠ k ɯ̟ᵝ ʑ ĩ ɴ
かくすい	k a̠ k ɯ̟̊ᵝ s ɨᵝ i
かくせいき	k a̠ k ɯ̟ᵝ s e̞ː kʲ i
かくだい	k a̠ k ɯ̟ᵝ d a̠ i
かくちゅう	k a̠ k ɯ̟ᵝ t͡ɕ ɨᵝː
かくづけ	k a̠ k ɯ̟ᵝ z ɨᵝ k e̞
かくとうぎ	k a̠ k ɯ̟ᵝ t o̞ː ɡʲ i
かくり	k a̠ k ɯ̟ᵝ ɾʲ i
かくりつろん	k a̠ k ɯ̟ᵝ ɾʲ i t͡s ɨᵝ ɾ õ̞ ɴ
かぐ	k a̠ ɡ ɯ̟ᵝ
かぐらざか	k a̠ ɡ ɯ̟ᵝ ɾ a̠ z a̠ k a̠
かけうり	k a̠ k e̞ ɯ̟ᵝ ɾʲ i
かけごえ	k a̠ k e̞ ɡ o̞ e̞
かけざん	k a̠ k e̞ z ã̠ ɴ
かけだす	k a̠ k e̞ d a̠ s ɨᵝ
かけまわる	k a̠ k e̞ m a̠ ɰᵝ a̠ ɾ ɯ̟ᵝ
かける	k a̠ k e̞ ɾ ɯ̟ᵝ
かげ	k a̠ ɡ e̞
かげり	k a̠ ɡ e̞ ɾʲ i
かごしま	k a̠ ɡ o̞ ɕ i m a̠
かさぶた	k a̠ s a̠ b ɯ̟ᵝ t a̠
かざかみ	k a̠ z a̠ k a̠ mʲ i
かざけ	k a̠ z a̠ k e̞
かざみどり	k a̠ z a̠ mʲ i d o̞ ɾʲ i
かざりだな	k a̠ z a̠ ɾʲ i d a̠ n a̠
かざる	k a̠ z a̠ ɾ ɯ̟ᵝ
かしかん	k a̠ ɕ i̥ k ã̠ ɴ
かしこまる	k a̠ ɕ i k o̞ m a̠ ɾ ɯ̟ᵝ
かしつ	k a̠ ɕ i t͡s ɨᵝ
かしゃ	k a̠ ɕ a̠
かじば	k a̠ ʑ i b a̠
かじゅう	k a̠ ʑ ɨᵝː
かじょうせっしゅ	k a̠ ʑ o̞ː s e̞ ɕː ɯ̟ᵝ
かじる	k a̠ ʑ i ɾ ɯ̟ᵝ
かすざめ	k a̠ s ɨᵝ z a̠ m e̞
かずお	k a̠ z ɨᵝ o̞
かずゆき	k a̠ z ɨᵝ j ɯ̟ᵝ kʲ i
かせい	k a̠ s e̞ː
かせいふ	k a̠ s e̞ː ɸ ɯ̟̊ᵝ
かせぐ	k a̠ s e̞ ɡ ɯ̟ᵝ
かぜ	k a̠ z e̞
かそくど	k a̠ s o̞ k ɯ̟ᵝ d o̞
かそくどびょう	k a̠ s o̞ k ɯ̟ᵝ d o̞ bʲ o̞ː
かぞえる	k a̠ z o̞ e̞ ɾ ɯ̟ᵝ
かた	k a̠ t a̠
かたがた	k a̠ t a̠ ɡ a̠ t a̠
かたく	k a̠ t a̠ k ɯ̟ᵝ
かたくちいわし	k a̠ t a̠ k ɯ̟̊ᵝ t͡ɕ i i ɰᵝ a̠ ɕ i
かたくるしい	k a̠ t a̠ k ɯ̟ᵝ ɾ ɯ̟ᵝ ɕ iː
かたこと	k a̠ t a̠ k o̞ t o̞
かたなかじ	k a̠ t a̠ n a̠ k a̠ ʑ i
かたぬき	k a̠ t a̠ n ɯ̟ᵝ kʲ i
かたまる	k a̠ t a̠ m a̠ ɾ ɯ̟ᵝ
かちく	k a̠ t͡ɕ i k ɯ̟ᵝ
かちょうふうげつ	k a̠ t͡ɕ o̞ː ɸ ɯ̟ᵝː ɡ e̞ t͡s ɨᵝ
かっこうわるい	k a̠ k̚ k o̞ː ɰᵝ a̠ ɾ ɯ̟ᵝ i
かっそうろ	k a̠ sː o̞ː ɾ o̞
かっそく	k a̠ sː o̞ k ɯ̟ᵝ
かつえき	k a̠ t͡s ɨᵝ e̞ kʲ i
かつぐ	k a̠ t͡s ɨᵝ ɡ ɯ̟ᵝ
かつじたい	k a̠ t͡s ɨᵝ ʑ i t a̠ i
かつぜつ	k a̠ t͡s ɨᵝ z e̞ t͡s ɨᵝ
かつぼう	k a̠ t͡s ɨᵝ b o̞ː
かつやく	k a̠ t͡s ɨᵝ j a̠ k ɯ̟ᵝ
かとう	k a̠ t o̞ː
かとうせい	k a̠ t o̞ː s e̞ː
かとんぼ	k a̠ t õ̞ m b o̞
かない	k a̠ n a̠ i
かなぶみ	k a̠ n a̠ b ɯ̟ᵝ mʲ i
かに	k a̠ ɲ̟ i
かのじょ	k a̠ n o̞ ʑ o̞
かはんのう	k a̠ h ã̠ nː o̞ː
かみがた	k a̠ mʲ i ɡ a̠ t a̠
かみがみ	k a̠ mʲ i ɡ a̠ mʲ i
かみくず	k a̠ mʲ i k ɯ̟ᵝ z ɨᵝ
かみさま	k a̠ mʲ i s a̠ m a̠
かみつ	k a̠ mʲ i t͡s ɨᵝ
かみなり	k a̠ mʲ i n a̠ ɾʲ i
かみひこうき	k a̠ mʲ i ç i̥ k o̞ː kʲ i
かみまき	k a̠ mʲ i m a̠ kʲ i
かみむら	k a̠ mʲ i m ɯ̟ᵝ ɾ a̠
かみやすり	k a̠ mʲ i j a̠ s ɨᵝ ɾʲ i
かもる	k a̠ m o̞ ɾ ɯ̟ᵝ
かもん	k a̠ m õ̞ ɴ
かゆ	k a̠ j ɯ̟ᵝ
からい	k a̠ ɾ a̠ i
からくだもの	k a̠ ɾ a̠ k ɯ̟ᵝ d a̠ m o̞ n o̞
からてか	k a̠ ɾ a̠ t e̞ k a̠
からな	k a̠ ɾ a̠ n a̠
からぶみ	k a r a b u m i
からぼり	k a̠ ɾ a̠ b o̞ ɾʲ i
からもの	k a̠ ɾ a̠ m o̞ n o̞
かりね	k a̠ ɾʲ i n e̞
かりひきすう	k a̠ ɾʲ i ç i kʲ i s ɨᵝː
かりゅう	k a̠ ɾʲ ɨᵝː
かりる	k a̠ ɾʲ i ɾ ɯ̟ᵝ
かわあかり	k a̠ ɰᵝ a̠ a̠ k a̠ ɾʲ i
かわいい	k a̠ ɰᵝ a̠ i i
かわうそ	k a̠ ɰᵝ a̠ ɯ̟ᵝ s o̞
かわかす	k a̠ ɰᵝ a̠ k a̠ s ɨᵝ
かわぐも	k a̠ ɰᵝ a̠ ɡ ɯ̟ᵝ m o̞
かわほりおうぎ	k a̠ ɰᵝ a̠ h o̞ ɾʲ i o̞ː ɡʲ i
かわらばと	k a̠ ɰᵝ a̠ ɾ a̠ b a̠ t o̞
かんぐる	k ã̠ ŋ ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ
かんけつせん	k ã̠ ŋ k e̞ t͡s ɨ̥ᵝ s ẽ̞ ɴ
かんげき	k ã̠ ŋ ɡ e̞ kʲ i
かんこう	k ã̠ ŋ k o̞ː
かんこく	k ã̠ ŋ k o̞ k ɯ̟ᵝ
かんこくじん	k ã̠ ŋ k o̞ k ɯ̟ᵝ ʑ ĩ ɴ
かんこどり	k ã̠ ŋ k o̞ d o̞ ɾʲ i
かんさいじん	k ã̠ ɰ̃ s a̠ i ʑ ĩ ɴ
かんさいべん	k ã̠ ɰ̃ s a̠ i b ẽ̞ ɴ
かんじ	k ã̠ ɲ̟ d͡ʑ i
かんじざい	k ã̠ ɲ̟ d͡ʑ i z a̠ i
かんじょうせん	k ã̠ ɲ̟ d͡ʑ o̞ː s ẽ̞ ɴ
かんじる	k ã̠ ɲ̟ d͡ʑ i ɾ ɯ̟ᵝ
かんせいとう	k ã̠ ɰ̃ s e̞ː t o̞ː
かんせん	k ã̠ ɰ̃ s ẽ̞ ɴ
かんぞう	k ã̠ n d͡z o̞ː
かんたく	k ã̠ n t a̠ k ɯ̟ᵝ
かんたんふ	k ã̠ n t ã̠ ɰ̃ ɸ ɯ̟ᵝ
かんち	k ã̠ ɲ̟ t͡ɕ i
かんつう	k ã̠ n t͡s ɨᵝː
かんてい	k ã̠ n t e̞ː
かんていりゅう	k ã̠ n t e̞ː ɾʲ ɨᵝː
かんてん	k ã̠ n t ẽ̞ ɴ
かんとんご	k ã̠ n t õ̞ ŋ ɡ o̞
かんどうし	k ã̠ n d o̞ː ɕ i
かんび	k ã̠ m bʲ i
かんぷう	k ã̠ m p ɯ̟ᵝː
かんぷく	k ã̠ m p ɯ̟ᵝ k ɯ̟ᵝ
かんむりょう	k ã̠ mː ɯ̟ᵝ ɾʲ o̞ː
かんもん	k ã̠ mː õ̞ ɴ
かんりゃく	k ã̠ n ɾʲ a̠ k ɯ̟ᵝ
かんりょうしゅぎ	k ã̠ n ɾʲ o̞ː ɕ ɨᵝ ɡʲ i
かんりんいん	k ã̠ n ɾʲ ĩ ɰ̃ ĩ ɴ
かんるい	k ã̠ n ɾ ɯ̟ᵝ i
かんれき	k ã̠ n ɾ e̞ kʲ i
か゚	ŋ a̠
がいこう	ɡ a̠ i k o̞ː
がいこくじん	ɡ a̠ i k o̞ k ɯ̟ᵝ ʑ ĩ ɴ
がいせつ	ɡ a̠ i s e̞ t͡s ɨᵝ
がいためほう	ɡ a̠ i t a̠ m e̞ h o̞ː
がいちょう	ɡ a̠ i t͡ɕ o̞ː
がいぶん	ɡ a̠ i b ɯ̟̃ᵝ ɴ
がいや	ɡ a̠ i j a̠
がいやしゅ	ɡ a̠ i j a̠ ɕ ɨᵝ
がいろじゅ	ɡ a̠ i ɾ o̞ ʑ ɨᵝ
がく	ɡ a̠ k ɯ̟ᵝ
がくしゅう	ɡ a̠ k ɯ̟ᵝ ɕ ɨᵝː
がくしょう	ɡ a̠ k ɯ̟ᵝ ɕ o̞ː
がくせつ	ɡ a̠ k ɯ̟̊ᵝ s e̞ t͡s ɨᵝ
がくだん	ɡ a̠ k ɯ̟ᵝ d ã̠ ɴ
がくひ	ɡ a̠ k ɯ̟ᵝ ç i
がこう	ɡ a̠ k o̞ː
がっか	ɡ a̠ k̚ k a̠
がっしゅく	ɡ a̠ ɕː ɯ̟ᵝ k ɯ̟ᵝ
がったい	ɡ a̠ t̚ t a̠ i
がっぺいしゅうごう	ɡ a̠ p̚ p e̞ː ɕ ɨᵝː ɡ o̞ː
がはく	ɡ a̠ h a̠ k ɯ̟ᵝ
がまぐち	ɡ a̠ m a̠ ɡ ɯ̟ᵝ t͡ɕ i
がまんづよい	ɡ a̠ m ã̠ n d͡z ɨᵝ j o̞ i
がろう	ɡ a̠ ɾ o̞ː
がわ	ɡ a̠ ɰᵝ a̠
がんえん	ɡ ã̠ ɰ̃ ẽ̞ ɴ
がんじつ	ɡ ã̠ ɲ̟ d͡ʑ i t͡s ɨᵝ
がんねん	ɡ ã̠ nː ẽ̞ ɴ
がんぼう	ɡ ã̠ m b o̞ː
がんもどき	ɡ ã̠ mː o̞ d o̞ kʲ i
がんやく	ɡ ã̠ ɰ̃ j a̠ k ɯ̟ᵝ
きいっぽん	kʲ iː p̚ p õ̞ ɴ
きおうしょう	kʲ i o̞ː ɕ o̞ː
きかげき	kʲ i̥ k a̠ ɡ e̞ kʲ i
きが	kʲ i ɡ a̠
きき	kʲ i kʲ i
ききいる	kʲ i kʲ iː ɾ ɯ̟ᵝ
ききょう	kʲ i̥ kʲ o̞ː
きぎ	kʲ i ɡʲ i
きくいただき	kʲ i k ɯ̟ᵝ i t a̠ d a̠ kʲ i
きこうがく	kʲ i̥ k o̞ː ɡ a̠ k ɯ̟ᵝ
きごうがく	kʲ i ɡ o̞ː ɡ a̠ k ɯ̟ᵝ
きごうろん	kʲ i ɡ o̞ː ɾ õ̞ ɴ
きし	kʲ i ɕ i
きしだん	kʲ i ɕ i d ã̠ ɴ
きしゃ	kʲ i ɕ a̠
きしゃだん	kʲ i ɕ a̠ d ã̠ ɴ
きしょうがく	kʲ i̥ ɕ o̞ː ɡ a̠ k ɯ̟ᵝ
きじゅう	kʲ i ʑ ɨᵝː
きじゅうき	kʲ i ʑ ɨᵝː kʲ i
きず	kʲ i z ɨᵝ
きずあと	kʲ i z ɨᵝ a̠ t o̞
きずつける	kʲ i z ɨᵝ t͡s ɨᵝ k e̞ ɾ ɯ̟ᵝ
きずな	kʲ i z ɨᵝ n a̠
きせいちゅうがく	kʲ i s e̞ː t͡ɕ ɨᵝː ɡ a̠ k ɯ̟ᵝ
きせん	kʲ i s ẽ̞ ɴ
きそん	kʲ i s õ̞ ɴ
きぞう	kʲ i z o̞ː
きぞくいん	kʲ i z o̞ k ɯ̟ᵝ ĩ ɴ
きたく	kʲ i t a̠ k ɯ̟ᵝ
きたては	kʲ i̥ t a̠ t e̞ h a̠
きだい	kʲ i d a̠ i
きちがいざた	kʲ i t͡ɕ i ɡ a̠ i z a̠ t a̠
きちょうめん	kʲ i̥ t͡ɕ o̞ː m ẽ̞ ɴ
きっと	kʲ i̥ t̚ t o̞
きつね	kʲ i̥ t͡s ɨᵝ n e̞
きつねざる	kʲ i̥ t͡s ɨᵝ n e̞ z a̠ ɾ ɯ̟ᵝ
きづく	kʲ i z ɨᵝ k ɯ̟ᵝ
きづち	kʲ i z ɨᵝ t͡ɕ i
きとうし	kʲ i t o̞ː ɕ i
きぬ	kʲ i n ɯ̟ᵝ
きはつゆ	kʲ i̥ h a̠ t͡s ɨᵝ j ɯ̟ᵝ
きばせん	kʲ i b a̠ s ẽ̞ ɴ
きぶんや	kʲ i b ɯ̟̃ᵝ ɰ̃ j a̠
きまり	kʲ i m a̠ ɾʲ i
きまる	kʲ i m a̠ ɾ ɯ̟ᵝ
きみたち	kʲ i mʲ i t a̠ t͡ɕ i
きもの	kʲ i m o̞ n o̞
きゃく	kʲ a̠ k ɯ̟ᵝ
きゃくたい	kʲ a̠ k ɯ̟ᵝ t a̠ i
きゃくほん	kʲ a̠ k ɯ̟̊ᵝ h õ̞ ɴ
きゃしゃ	kʲ a̠ ɕ a̠
きゅうかん	kʲ ɨᵝː k ã̠ ɴ
きゅうきょう	kʲ ɨᵝː kʲ o̞ː
きゅうこうか	kʲ ɨᵝː k o̞ː k a̠
きゅうごはん	kʲ ɨᵝː ɡ o̞ h ã̠ ɴ
きゅうさい	kʲ ɨᵝː s a̠ i
きゅうしふ	kʲ ɨᵝː ɕ i ɸ ɯ̟ᵝ
きゅうしゅう	kʲ ɨᵝː ɕ ɨᵝː
きゅうそう	kʲ ɨᵝː s o̞ː
きゅうちゃくおん	kʲ ɨᵝː t͡ɕ a̠ k ɯ̟ᵝ õ̞ ɴ
きゅうねん	kʲ ɨᵝː n ẽ̞ ɴ
きゅうはん	kʲ ɨᵝː h ã̠ ɴ
きゅうよう	kʲ ɨᵝː j o̞ː
きゅうり	kʲ ɨᵝː ɾʲ i
きゆう	kʲ i j ɯ̟ᵝː
きょう	kʲ o̞ː
きょうかんかく	kʲ o̞ː k ã̠ ŋ k a̠ k ɯ̟ᵝ
きょうきん	kʲ o̞ː kʲ ĩ ɴ
きょうせい	kʲ o̞ː s e̞ː
きょうだ	kʲ o̞ː d a̠
きょうつうしゅうごう	kʲ o̞ː t͡s ɨᵝː ɕ ɨᵝː ɡ o̞ː
きょうとふ	kʲ o̞ː t o̞ ɸ ɯ̟ᵝ
きょうにん	kʲ o̞ː ɲ̟ ĩ ɴ
きょうべん	kʲ o̞ː b ẽ̞ ɴ
きょうほ	kʲ o̞ː h o̞
きょうぼう	kʲ o̞ː b o̞ː
きょうよ	kʲ o̞ː j o̞
きょうわ	kʲ o̞ː ɰᵝ a̠
きょか	kʲ o̞ k a̠
きょがく	kʲ o̞ ɡ a̠ k ɯ̟ᵝ
きょきん	kʲ o̞ kʲ ĩ ɴ
きょぎ	kʲ o̞ ɡ i
きょだい	kʲ o̞ d a̠ i
きょひる	kʲ o̞ ç i ɾ ɯ̟ᵝ
きょりゅうち	kʲ o̞ ɾʲ ɨᵝː t͡ɕ i
きよい	kʲ i j o̞ i
きらう	kʲ i ɾ a̠ ɯ̟ᵝ
きらめく	kʲ i ɾ a̠ m e̞ k ɯ̟ᵝ
きりさめ	kʲ i ɾʲ i s a̠ m e̞
きりとる	kʲ i ɾʲ i t o̞ ɾ ɯ̟ᵝ
きりはなす	kʲ i ɾʲ i h a̠ n a̠ s ɨᵝ
きりょう	kʲ i ɾʲ o̞ː
きりん	kʲ i ɾʲ ĩ ɴ
きりんざ	kʲ i ɾʲ ĩ n d͡z a̠
きれる	kʲ i ɾ e̞ ɾ ɯ̟ᵝ
きろう	kʲ i ɾ o̞ː
きんきょう	kʲ ĩ ŋʲ kʲ o̞ː
きんし	kʲ ĩ ɰ̃ ɕ i
きんしがん	kʲ ĩ ɰ̃ ɕ i ɡ ã̠ ɴ
きんしじゃく	kʲ ĩ ɰ̃ ɕ i ʑ a̠ k ɯ̟ᵝ
きんじ	kʲ ĩ ɲ̟ d͡ʑ i
きんじつ	kʲ ĩ ɲ̟ d͡ʑ i t͡s ɨᵝ
きんせい	kʲ ĩ ɰ̃ s e̞ː
きんぞく	kʲ ĩ n d͡z o̞ k ɯ̟ᵝ
きんつぎ	kʲ ĩ n t͡s ɨᵝ ɡʲ i
きんもくせい	kʲ ĩ mː o̞ k ɯ̟ᵝ s e̞ː
きんるい	kʲ ĩ n ɾ ɯ̟ᵝ i
きんろう	kʲ ĩ n ɾ o̞ː
ぎおん	ɡʲ i õ̞ ɴ
ぎけつ	ɡʲ i k e̞ t͡s ɨᵝ
ぎざ	ɡʲ i z a̠
ぎしん	ɡʲ i ɕ ĩ ɴ
ぎじょう	ɡʲ i ʑ o̞ː
ぎふん	ɡʲ i ɸ ɯ̟̃ᵝ ɴ
ぎほう	ɡʲ i h o̞ː
ぎぼ	ɡʲ i b o̞
ぎまい	ɡʲ i m a̠ i
ぎもんぶん	ɡʲ i m õ̞ m b ɯ̟̃ᵝ ɴ
ぎゃくすう	ɡʲ a̠ k ɯ̟ᵝ s ɨᵝː
ぎゅうし	ɡʲ ɨᵝː ɕ i
ぎゅうにゅう	ɡʲ ɨᵝː ɲ̟ ɯ̟ᵝː
ぎょう	ɡʲ o̞ː
ぎょうしゅう	ɡʲ o̞ː ɕ ɨᵝː
ぎょうしょ	ɡʲ o̞ː ɕ o̞
ぎょく	ɡʲ o̞ k ɯ̟ᵝ
ぎょくじん	ɡʲ o̞ k ɯ̟ᵝ ʑ ĩ ɴ
ぎょぐん	ɡʲ o̞ ɡ ɯ̟̃ᵝ ɴ
ぎょしゃざ	ɡʲ o̞ ɕ a̠ z a̠
ぎょるいがくてき	ɡʲ o̞ ɾ ɯ̟ᵝ i ɡ a̠ k ɯ̟ᵝ t e̞ kʲ i
ぎんこう	ɡʲ ĩ ŋ k o̞ː
くいき	k ɯ̟ᵝ i kʲ i
くいちがい	k ɯ̟ᵝ i t͡ɕ i ɡ a̠ i
くうい	k ɯ̟ᵝː i
くうさ	k ɯ̟ᵝː s a̠
くうさつ	k ɯ̟ᵝː s a̠ t͡s ɨᵝ
くうちょう	k ɯ̟ᵝː t͡ɕ o̞ː
くうらん	k ɯ̟ᵝː ɾ ã̠ ɴ
