あい	a̠ i
どちらさま	d o̞ t͡ɕ i ɾ a̠ s a̠ m a̠
どっきょ	d o̞ k̚ʲ kʲ o̞
どどいつ	d o̞ d o̞ i t͡s ɨᵝ
どぶねずみ	d o̞ b ɯ̟ᵝ n e̞ z ɨᵝ mʲ i
どべい	d o̞ b e̞ː
どもり	d o̞ m o̞ ɾʲ i
どよう	d o̞ j o̞ː
どようび	d o̞ j o̞ː bʲ i
どりょうこう	d o̞ ɾʲ o̞ː k o̞ː
どれどれ	d o̞ ɾ e̞ d o̞ ɾ e̞
どろじあい	d o̞ ɾ o̞ ʑ i a̠ i
どろどろ	d o̞ ɾ o̞ d o̞ ɾ o̞
どんこう	d õ̞ ŋ k o̞ː
どんつう	d õ̞ n t͡s ɨᵝː
どんぶらこ	d õ̞ m b ɯ̟ᵝ ɾ a̠ k o̞
ないがしろ	n a̠ i ɡ a̠ ɕ i ɾ o̞
ないげんご	n a̠ i ɡ ẽ̞ ŋ ɡ o̞
ないこっかく	n a̠ i k o̞ k̚ k a̠ k ɯ̟ᵝ
ないしゅっけつ	n a̠ i ɕ ɨᵝ k̚ k e̞ t͡s ɨᵝ
ないしんのう	n a̠ i ɕ ĩ nː o̞ː
ないせいかんしょう	n a̠ i s e̞ː k ã̠ ɰ̃ ɕ o̞ː
ないせん	n a̠ i s ẽ̞ ɴ
ないそう	n a̠ i s o̞ː
ないもうこ	n a̠ i m o̞ː k o̞
なおれ	n a̠ o̞ ɾ e̞
なかす	n a̠ k a̠ s ɨᵝ
なかだかがた	n a̠ k a̠ d a̠ k a̠ ɡ a̠ t a̠
なかま	n a̠ k a̠ m a̠
なかまはずれ	n a̠ k a̠ m a̠ h a̠ z ɨᵝ ɾ e̞
ながさいふ	n a̠ ɡ a̠ s a̠ i ɸ ɯ̟ᵝ
ながさき	n a̠ ɡ a̠ s a̠ kʲ i
ながす	n a̠ ɡ a̠ s ɨᵝ
ながでんわ	n a̠ ɡ a̠ d ẽ̞ ɰ̃ ɰᵝ a̠
ながめる	n a̠ ɡ a̠ m e̞ ɾ ɯ̟ᵝ
ながら	n a̠ ɡ a̠ ɾ a̠
ながれ	n a̠ ɡ a̠ ɾ e̞
ながれる	n a̠ ɡ a̠ ɾ e̞ ɾ ɯ̟ᵝ
なきすな	n a̠ kʲ i s ɨᵝ n a̠
なぎなた	n a̠ ɡʲ i n a̠ t a̠
なげく	n a̠ ɡ e̞ k ɯ̟ᵝ
なげだす	n a̠ ɡ e̞ d a̠ s ɨᵝ
なずな	n a̠ z ɨᵝ n a̠
なだめ	n a̠ d a̠ m e̞
なだめる	n a̠ d a̠ m e̞ ɾ ɯ̟ᵝ
なっとう	n a̠ t̚ t o̞ː
なつちゅう	n a̠ t͡s ɨᵝ t͡ɕ ɨᵝː
なつめやし	n a̠ t͡s ɨᵝ m e̞ j a̠ ɕ i
なにか	n a̠ ɲ̟ i k a̠
なにせ	n a̠ ɲ̟ i s e̞
なまけぐま	n a̠ m a̠ k e̞ ɡ ɯ̟ᵝ m a̠
なまず	n a̠ m a̠ z ɨᵝ
なまみず	n a̠ m a̠ mʲ i z ɨᵝ
なみ	n a̠ mʲ i
なみき	n a̠ mʲ i kʲ i
なみだめ	n a̠ mʲ i d a̠ m e̞
なみはずれる	n a̠ mʲ i h a̠ z ɨᵝ ɾ e̞ ɾ ɯ̟ᵝ
なめる	n a̠ m e̞ ɾ ɯ̟ᵝ
なら	n a̠ ɾ a̠
ならう	n a̠ ɾ a̠ ɯ̟ᵝ
ならく	n a̠ ɾ a̠ k ɯ̟ᵝ
ならぶ	n a̠ ɾ a̠ b ɯ̟ᵝ
なるとまき	n a̠ ɾ ɯ̟ᵝ t o̞ m a̠ kʲ i
なれあい	n a̠ ɾ e̞ a̠ i
なれっこ	n a̠ ɾ e̞ k̚ k o̞
なんいど	n ã̠ ɰ̃ i d o̞
なんえつ	n ã̠ ɰ̃ e̞ t͡s ɨᵝ
なんきょくかい	n ã̠ ŋʲ kʲ o̞ k ɯ̟ᵝ k a̠ i
なんごく	n ã̠ ŋ ɡ o̞ k ɯ̟ᵝ
なんすい	n ã̠ ɰ̃ s ɨᵝ i
なんたいもり	n ã̠ n t a̠ i m o̞ ɾʲ i
なんて	n ã̠ n t e̞
なんてこった	n ã̠ n t e̞ k o̞ t̚ t a̠
なんでも	n ã̠ n d e̞ m o̞
にいがた	ɲ̟ iː ɡ a̠ t a̠
にいがたけん	ɲ̟ iː ɡ a̠ t a̠ k ẽ̞ ɴ
にいんせい	ɲ̟ i ĩ ɰ̃ s e̞ː
にかよう	ɲ̟ i k a̠ j o̞ ɯ̟ᵝ
にがうり	ɲ̟ i ɡ a̠ ɯ̟ᵝ ɾʲ i
にきょくかん	ɲ̟ i kʲ o̞ k ɯ̟̊ᵝ k ã̠ ɴ
にくい	ɲ̟ i k ɯ̟ᵝ i
にくだんせん	ɲ̟ i k ɯ̟ᵝ d ã̠ ɰ̃ s ẽ̞ ɴ
にくまんじゅう	ɲ̟ i k ɯ̟ᵝ m ã̠ ɲ̟ d͡ʑ ɨᵝː
にくよく	ɲ̟ i k ɯ̟ᵝ j o̞ k ɯ̟ᵝ
にくるい	ɲ̟ i k ɯ̟ᵝ ɾ ɯ̟ᵝ i
にげこし	ɲ̟ i ɡ e̞ k o̞ ɕ i
にげる	ɲ̟ i ɡ e̞ ɾ ɯ̟ᵝ
にこく	ɲ̟ i k o̞ k ɯ̟ᵝ
にこげ	ɲ̟ i k o̞ ɡ e̞
にごろぶな	ɲ̟ i ɡ o̞ ɾ o̞ b ɯ̟ᵝ n a̠
にじむ	ɲ̟ i ʑ i m ɯ̟ᵝ
にじゅう	ɲ̟ i ʑ ɨᵝː
にじゅうご	ɲ̟ i ʑ ɨᵝː ɡ o̞
にじゅうし	ɲ̟ i ʑ ɨᵝː ɕ i
にじゅうに	ɲ̟ i ʑ ɨᵝː ɲ̟ i
にじゅうろく	ɲ̟ i ʑ ɨᵝː ɾ o̞ k ɯ̟ᵝ
にじょうき	ɲ̟ i ʑ o̞ː kʲ i
にちじ	ɲ̟ i t͡ɕ i ʑ i
にちよう	ɲ̟ i t͡ɕ i j o̞ː
にちようび	ɲ̟ i t͡ɕ i j o̞ː bʲ i
にとうきん	ɲ̟ i t o̞ː kʲ ĩ ɴ
にな	ɲ̟ i n a̠
にひゃくとおか	ɲ̟ i ç a̠ k ɯ̟ᵝ t o̞ː k a̠
にほん	ɲ̟ i h õ̞ ɴ
にほんかいりゅう	ɲ̟ i h õ̞ ŋ k a̠ i ɾʲ ɨᵝː
にほんざる	ɲ̟ i h õ̞ n d͡z a̠ ɾ ɯ̟ᵝ
にほんとう	ɲ̟ i h õ̞ n t o̞ː
にやす	ɲ̟ i j a̠ s ɨᵝ
にゅうか	ɲ̟ ɯ̟ᵝː k a̠
にゅうかい	ɲ̟ ɯ̟ᵝː k a̠ i
にゅうきょ	ɲ̟ ɯ̟ᵝː kʲ o̞
にゅうしゃ	ɲ̟ ɯ̟ᵝː ɕ a̠
にゅうしゃかく	ɲ̟ ɯ̟ᵝː ɕ a̠ k a̠ k ɯ̟ᵝ
にゅうしょく	ɲ̟ ɯ̟ᵝː ɕ o̞ k ɯ̟ᵝ
にゅうじ	ɲ̟ ɯ̟ᵝː ʑ i
にゅうじょうけん	ɲ̟ ɯ̟ᵝː ʑ o̞ː k ẽ̞ ɴ
にゅうせい	ɲ̟ ɯ̟ᵝː s e̞ː
にゅうせき	ɲ̟ ɯ̟ᵝː s e̞ kʲ i
にゅうとう	ɲ̟ ɯ̟ᵝː t o̞ː
にゅうどう	ɲ̟ ɯ̟ᵝː d o̞ː
にゅうぶ	ɲ̟ ɯ̟ᵝː b ɯ̟ᵝ
にゅうりょく	ɲ̟ ɯ̟ᵝː ɾʲ o̞ k ɯ̟ᵝ
にゅうわ	ɲ̟ ɯ̟ᵝː ɰᵝ a̠
にょう	ɲ̟ o̞ː
にょうどうきゅうせん	ɲ̟ o̞ː d o̞ː kʲ ɨᵝː s ẽ̞ ɴ
にりん	ɲ̟ i ɾʲ ĩ ɴ
にわか	ɡ a̠
にわとり	ɲ̟ i ɰᵝ a̠ t o̞ ɾʲ i
にんしき	ɲ̟ ĩ ɰ̃ ɕ i̥ kʲ i
にんじゃ	ɲ̟ ĩ ɲ̟ d͡ʑ a̠
にんにく	ɲ̟ ĩ ɲ̟ ɲ̟ i k ɯ̟ᵝ
にんむ	ɲ̟ ĩ mː ɯ̟ᵝ
にんめん	ɲ̟ ĩ mː ẽ̞ ɴ
ぬいめ	n ɯ̟ᵝ i m e̞
ぬかご	n ɯ̟ᵝ k a̠ ɡ o̞
ぬかばえ	n ɯ̟ᵝ k a̠ b a̠ e̞
ぬぐ	n ɯ̟ᵝ ɡ ɯ̟ᵝ
ぬけみち	n ɯ̟ᵝ k e̞ mʲ i t͡ɕ i
ぬすむ	n ɯ̟ᵝ s ɨᵝ m ɯ̟ᵝ
ぬらす	n ɯ̟ᵝ ɾ a̠ s ɨᵝ
ぬる	n ɯ̟ᵝ ɾ ɯ̟ᵝ
ぬるい	n ɯ̟ᵝ ɾ ɯ̟ᵝ i
ぬれそぼつ	n ɯ̟ᵝ ɾ e̞ s o̞ b o̞ t͡s ɨᵝ
ぬれる	n ɯ̟ᵝ ɾ e̞ ɾ ɯ̟ᵝ
ねいき	n e̞ i kʲ i
ねいろ	n e̞ i ɾ o̞
ねえ	n e̞ː
ねがい	n e̞ ɡ a̠ i
ねがえり	n e̞ ɡ a̠ e̞ ɾʲ i
ねくら	n e̞ k ɯ̟ᵝ ɾ a̠
ねぐら	n e̞ ɡ ɯ̟ᵝ ɾ a̠
ねこ	n e̞ k o̞
ねずみざめ	n e̞ z ɨᵝ mʲ i z a̠ m e̞
ねちがえる	n e̞ t͡ɕ i ɡ a̠ e̞ ɾ ɯ̟ᵝ
ねつ	n e̞ t͡s ɨᵝ
ねつい	n e̞ t͡s ɨᵝ i
ねつきうお	n e̞ t͡s ɨᵝ kʲ i ɯ̟ᵝ o̞
ねつききゅう	n e̞ t͡s ɨᵝ kʲ i̥ kʲ ɨᵝː
ねつく	n e̞ t͡s ɨᵝ k ɯ̟ᵝ
ねつど	n e̞ t͡s ɨᵝ d o̞
ねとる	n e̞ t o̞ ɾ ɯ̟ᵝ
ねばねば	n e̞ b a̠ n e̞ b a̠
ねぶる	n e̞ b ɯ̟ᵝ ɾ ɯ̟ᵝ
ねらう	n e̞ ɾ a̠ ɯ̟ᵝ
ねりなおす	n e̞ ɾʲ i n a̠ o̞ s ɨᵝ
ねる	n e̞ ɾ ɯ̟ᵝ
ねんかん	n ẽ̞ ŋ k ã̠ ɴ
ねんがじょう	n ẽ̞ ŋ ɡ a̠ ʑ o̞ː
ねんげん	n ẽ̞ ŋ ɡ ẽ̞ ɴ
ねんぶつ	n ẽ̞ m b ɯ̟ᵝ t͡s ɨᵝ
のうえん	n o̞ː ẽ̞ ɴ
のうきょう	n o̞ː kʲ o̞ː
のうさぎ	n o̞ ɯ̟ᵝ s a̠ ɡʲ i
のうし	n o̞ː ɕ i
のうしょう	n o̞ː ɕ o̞ː
のうじょう	n o̞ː ʑ o̞ː
のうすい	n o̞ː s ɨᵝ i
のうすいさん	n o̞ː s ɨᵝ i s ã̠ ɴ
のうひん	n o̞ː ç ĩ ɴ
のうみん	n o̞ː mʲ ĩ ɴ
のうむ	n o̞ː m ɯ̟ᵝ
のうりつ	n o̞ː ɾʲ i t͡s ɨᵝ
のうりょく	n o̞ː ɾʲ o̞ k ɯ̟ᵝ
のがれ	n o̞ ɡ a̠ ɾ e̞
のこり	n o̞ k o̞ ɾʲ i
のせる	n o̞ s e̞ ɾ ɯ̟ᵝ
のどちんこ	n o̞ d o̞ t͡ɕ ĩ ŋ k o̞
ののしる	n o̞ n o̞ ɕ i ɾ ɯ̟ᵝ
のびのび	n o̞ bʲ i n o̞ bʲ i
のみ	n o̞ mʲ i
のむ	n o̞ m ɯ̟ᵝ
のやま	n o̞ j a̠ m a̠
のらいぬ	n o̞ ɾ a̠ i n ɯ̟ᵝ
のりきる	n o̞ ɾʲ i kʲ i ɾ ɯ̟ᵝ
のりすごす	n o̞ ɾʲ i s ɨᵝ ɡ o̞ s ɨᵝ
のりまさ	n o̞ ɾʲ i m a̠ s a̠
のれん	n o̞ ɾ ẽ̞ ɴ
のろい	n o̞ ɾ o̞ i
はあく	h a̠ː k ɯ̟ᵝ
はいいろ	h a̠ iː ɾ o̞
はいいろぐま	h a̠ i i ɾ o̞ ɡ ɯ̟ᵝ m a̠
はいいん	h a̠ i ĩ ɴ
はいえい	h a̠ i e̞ː
はいがん	h a̠ i ɡ ã̠ ɴ
はいきもの	h a̠ i kʲ i m o̞ n o̞
はいきゅう	h a̠ i kʲ ɨᵝː
はいけい	h a̠ i k e̞ː
はいご	h a̠ i ɡ o̞
はいざら	h a̠ i z a̠ ɾ a̠
はいしゅつ	h a̠ i ɕ ɨᵝ t͡s ɨᵝ
はいせんしゃ	h a̠ i s ẽ̞ ɰ̃ ɕ a̠
はいたつ	h a̠ i t a̠ t͡s ɨᵝ
はいち	h a̠ i t͡ɕ i
はいとく	h a̠ i t o̞ k ɯ̟ᵝ
はいどう	h a̠ i d o̞ː
はう	h a̠ ɯ̟ᵝ
はえじごく	h a̠ e̞ ʑ i ɡ o̞ k ɯ̟ᵝ
はかいし	h a̠ k a̠ i ɕ i
はかいしゃ	h a̠ k a̠ i ɕ a̠
はかた	h a̠ k a̠ t a̠
はかどる	h a̠ k a̠ d o̞ ɾ ɯ̟ᵝ
はかる	h a̠ k a̠ ɾ ɯ̟ᵝ
はがき	h a̠ ɡ a̠ kʲ i
はきだす	h a̠ kʲ i d a̠ s ɨᵝ
はぎ	h a̠ ɡʲ i
はくい	h a̠ k ɯ̟ᵝ i
はくうち	h a̠ k ɯ̟ᵝ ɯ̟ᵝ t͡ɕ i
はくさい	h a̠ k ɯ̟̊ᵝ s a̠ i
はくしゃく	h a̠ k ɯ̟̊ᵝ ɕ a̠ k ɯ̟ᵝ
はくしゅ	h a̠ k ɯ̟̊ᵝ ɕ ɨᵝ
はくしゅう	h a̠ k ɯ̟ᵝ ɕ ɨᵝː
はくぶつ	h a̠ k ɯ̟ᵝ b ɯ̟ᵝ t͡s ɨᵝ
はくぶん	h a̠ k ɯ̟ᵝ b ɯ̟̃ᵝ ɴ
はくめい	h a̠ k ɯ̟ᵝ m e̞ː
はくれん	h a̠ k ɯ̟ᵝ ɾ ẽ̞ ɴ
はぐ	h a̠ ɡ ɯ̟ᵝ
はぐき	h a̠ ɡ ɯ̟ᵝ kʲ i
はけぐち	h a̠ k e̞ ɡ ɯ̟̊ᵝ t͡ɕ i
はげむ	h a̠ ɡ e̞ m ɯ̟ᵝ
はこだて	h a̠ k o̞ d a̠ t e̞
はこびこむ	h a̠ k o̞ bʲ i k o̞ m ɯ̟ᵝ
はごろも	h a̠ ɡ o̞ ɾ o̞ m o̞
はさい	h a̠ s a̠ i
はさまる	h a̠ s a̠ m a̠ ɾ ɯ̟ᵝ
はざくら	h a̠ z a̠ k ɯ̟ᵝ ɾ a̠
はざま	h a̠ z a̠ m a̠
はしござけ	h a̠ ɕ i ɡ o̞ z a̠ k e̞
はしどい	h a̠ ɕ i d o̞ i
はしゅ	h a̠ ɕ ɨᵝ
はしり	h a̠ ɕ i ɾʲ i
はじき	h a̠ ʑ i kʲ i
はじしらず	h a̠ ʑ i ɕ i ɾ a̠ z ɨᵝ
はじめる	h a̠ ʑ i m e̞ ɾ ɯ̟ᵝ
はじゃけんしょう	h a̠ ʑ a̠ k ẽ̞ ɰ̃ ɕ o̞ː
はずかしい	h a̠ z ɨᵝ k a̠ ɕ iː
はずす	h a̠ z ɨᵝ s ɨᵝ
はそん	h a̠ s õ̞ ɴ
はたおりぎょう	h a̠ t a̠ o̞ ɾʲ i ɡʲ o̞ː
はたきこみ	h a̠ t a̠ kʲ i k o̞ mʲ i
はたらきもの	h a̠ t a̠ ɾ a̠ kʲ i m o̞ n o̞
はだし	h a̠ d a̠ ɕ i
はちあわせ	h a̠ t͡ɕ i a̠ ɰᵝ a̠ s e̞
はちじゅう	h a̠ t͡ɕ i ʑ ɨᵝː
はちすか	h a̠ t͡ɕ i s ɨᵝ k a̠
はちみつ	h a̠ t͡ɕ i mʲ i t͡s ɨᵝ
はちゅうるい	h a̠ t͡ɕ ɨᵝː ɾ ɯ̟ᵝ i
はちょう	h a̠ t͡ɕ o̞ː
はっき	h a̠ k̚ʲ kʲ i
はっけん	h a̠ k̚ k ẽ̞ ɴ
はっそう	h a̠ sː o̞ː
はっぽうしゅ	h a̠ p̚ p o̞ː ɕ ɨᵝ
はつか	h a̠ t͡s ɨ̥ᵝ k a̠
はつこい	h a̠ t͡s ɨ̥ᵝ k o̞ i
はつもの	h a̠ t͡s ɨᵝ m o̞ n o̞
はづき	h a̠ z ɨᵝ kʲ i
はてしない	h a̠ t e̞ ɕ i n a̠ i
はとば	h a̠ t o̞ b a̠
はとむね	h a̠ t o̞ m ɯ̟ᵝ n e̞
はどう	h a̠ d o̞ː
はないき	h a̠ n a̠ i kʲ i
はなうど	h a̠ n a̠ ɯ̟ᵝ d o̞
はなぐま	h a̠ n a̠ ɡ ɯ̟ᵝ m a̠
はなみ	h a̠ n a̠ mʲ i
はなよめ	h a̠ n a̠ j o̞ m e̞
はねあげる	h a̠ n e̞ a̠ ɡ e̞ ɾ ɯ̟ᵝ
はねる	h a̠ n e̞ ɾ ɯ̟ᵝ
はばち	h a̠ b a̠ t͡ɕ i
はばつ	h a̠ b a̠ t͡s ɨᵝ
はびこる	h a̠ bʲ i k o̞ ɾ ɯ̟ᵝ
はぶ	h a̠ b ɯ̟ᵝ
はまじゅつ	h a̠ m a̠ ʑ ɨᵝ t͡s ɨᵝ
はまち	h a̠ m a̠ t͡ɕ i
はまや	h a̠ m a̠ j a̠
はみがきこ	h a̠ mʲ i ɡ a̠ kʲ i̥ k o̞
はむ	h a̠ m ɯ̟ᵝ
はもの	h a̠ m o̞ n o̞
はやおき	h a̠ j a̠ o̞ kʲ i
はやぐい	h a̠ j a̠ ɡ ɯ̟ᵝ i
はやる	h a̠ j a̠ ɾ ɯ̟ᵝ
はよ	h a̠ j o̞
はらえど	h a̠ ɾ a̠ e̞ d o̞
はらす	h a̠ ɾ a̠ s ɨᵝ
はらだたしい	h a̠ ɾ a̠ d a̠ t a̠ ɕ iː
はり	h a̠ ɾʲ i
はりがみ	h a̠ ɾʲ i ɡ a̠ mʲ i
はりたおす	h a̠ ɾʲ i t a̠ o̞ s ɨᵝ
はる	h a̠ ɾ ɯ̟ᵝ
はるお	h a̠ ɾ ɯ̟ᵝ o̞
はれる	h a̠ ɾ e̞ ɾ ɯ̟ᵝ
はれんち	h a̠ ɾ ẽ̞ ɲ̟ t͡ɕ i
はろう	h a̠ ɾ o̞ː
はんかい	h ã̠ ŋ k a̠ i
はんかん	h ã̠ ŋ k ã̠ ɴ
はんきゅう	h ã̠ ŋʲ kʲ ɨᵝː
はんぎゃく	h ã̠ ŋʲ ɡʲ a̠ k ɯ̟ᵝ
はんさてつがく	h ã̠ ɰ̃ s a̠ t e̞ t͡s ɨᵝ ɡ a̠ k ɯ̟ᵝ
はんたいじ	h ã̠ n t a̠ i ʑ i
はんだん	h ã̠ n d ã̠ ɴ
はんばいしゃ	h ã̠ m b a̠ i ɕ a̠
はんべつ	h ã̠ m b e̞ t͡s ɨᵝ
ばいしんいん	b a̠ i ɕ ĩ ɰ̃ ĩ ɴ
ばいたい	b a̠ i t a̠ i
ばいたん	b a̠ i t ã̠ ɴ
ばいばい	b a̠ i b a̠ i
ばか	b a̠ k a̠
ばかり	b a̠ k a̠ ɾʲ i
ばく	b a̠ k ɯ̟ᵝ
ばくしん	b a̠ k ɯ̟̊ᵝ ɕ ĩ ɴ
ばくたん	b a̠ k ɯ̟ᵝ t ã̠ ɴ
ばくだい	b a̠ k ɯ̟ᵝ d a̠ i
ばくちく	b a̠ k ɯ̟ᵝ t͡ɕ i̥ k ɯ̟ᵝ
ばくはく	b a̠ k ɯ̟ᵝ h a̠ k ɯ̟ᵝ
ばくはつおん	b a̠ k ɯ̟ᵝ h a̠ t͡s ɨᵝ õ̞ ɴ
ばくふう	b a̠ k ɯ̟̊ᵝ ɸ ɯ̟ᵝː
ばくやく	b a̠ k ɯ̟ᵝ j a̠ k ɯ̟ᵝ
ばくろ	b a̠ k ɯ̟ᵝ ɾ o̞
ばぐ	b a̠ ɡ ɯ̟ᵝ
ばける	b a̠ k e̞ ɾ ɯ̟ᵝ
ばさし	b a̠ s a̠ ɕ i
ばじとうふう	b a̠ ʑ i t o̞ː ɸ ɯ̟ᵝː
ばじゅつ	b a̠ ʑ ɨᵝ t͡s ɨᵝ
ばちがい	b a̠ t͡ɕ i ɡ a̠ i
ばったり	b a̠ t̚ t a̠ ɾʲ i
ばてる	b a̠ t e̞ ɾ ɯ̟ᵝ
ばにゅう	b a̠ ɲ̟ ɯ̟ᵝː
ばね	b a̠ n e̞
ばば	b a̠ b a̠
ばばぬき	b a̠ b a̠ n ɯ̟ᵝ kʲ i
ばびしょう	b a̠ bʲ i ɕ o̞ː
ばふだ	b a̠ ɸ ɯ̟ᵝ d a̠
ばめん	b a̠ m ẽ̞ ɴ
ばらにく	b a̠ ɾ a̠ ɲ̟ i k ɯ̟ᵝ
ばらばら	b a̠ ɾ a̠ b a̠ ɾ a̠
ばんかい	b ã̠ ŋ k a̠ i
ばんき	b ã̠ ŋʲ kʲ i
ばんぐみ	b ã̠ ŋ ɡ ɯ̟ᵝ mʲ i
ばんごはん	b ã̠ ŋ ɡ o̞ h ã̠ ɴ
ばんせん	b ã̠ ɰ̃ s ẽ̞ ɴ
ばんぜい	b ã̠ n d͡z e̞ː
ばんそう	b ã̠ ɰ̃ s o̞ː
ばんそうこう	b ã̠ ɰ̃ s o̞ː k o̞ː
ばんにん	b ã̠ ɲ̟ ɲ̟ ĩ ɴ
ばんのう	b ã̠ nː o̞ː
ばんぺいゆ	b ã̠ m p e̞ː j ɯ̟ᵝ
ばんみんほう	b ã̠ mʲː ĩ ɰ̃ h o̞ː
ひえこみ	ç i e̞ k o̞ mʲ i
ひおうぎ	ç i o̞ː ɡʲ i
ひかきぼう	ç i k a̠ kʲ i b o̞ː
ひかる	ç i k a̠ ɾ ɯ̟ᵝ
ひかれる	ç i k a̠ ɾ e̞ ɾ ɯ̟ᵝ
ひがえり	ç i ɡ a̠ e̞ ɾʲ i
ひがさ	ç i ɡ a̠ s a̠
ひがんばな	ç i ɡ ã̠ m b a̠ n a̠
ひきがね	ç i kʲ i ɡ a̠ n e̞
ひきさく	ç i kʲ i s a̠ k ɯ̟ᵝ
ひきはらう	ç i kʲ i h a̠ ɾ a̠ ɯ̟ᵝ
ひきょうえき	ç i kʲ o̞ː e̞ kʲ i
ひぎ	ç i ɡʲ i
ひくいどり	ç i̥ k ɯ̟ᵝ i d o̞ ɾʲ i
ひぐらし	ç i ɡ ɯ̟ᵝ ɾ a̠ ɕ i
ひけんしゃ	ç i k ẽ̞ ɰ̃ ɕ a̠
ひげんすう	ç i ɡ ẽ̞ ɰ̃ s ɨᵝː
ひこうこうおんか	ç i k o̞ː k o̞ː õ̞ ŋ k a̠
ひこうし	ç i k o̞ː ɕ i
ひさいしゃ	ç i s a̠ i ɕ a̠
ひさびさ	ç i s a̠ bʲ i s a̠
ひさん	ç i̥ s ã̠ ɴ
ひざまくら	ç i z a̠ m a̠ k ɯ̟ᵝ ɾ a̠
ひしゅ	ç i ɕ ɨᵝ
ひじょすう	ç i ʑ o̞ s ɨᵝː
ひそやか	ç i s o̞ j a̠ k a̠
ひだち	ç i d a̠ t͡ɕ i
ひっこめる	ç i k̚ k o̞ m e̞ ɾ ɯ̟ᵝ
ひっし	ç i ɕː i
ひつじゅ	ç i t͡s ɨᵝ ʑ ɨᵝ
ひづめ	ç i z ɨᵝ m e̞
ひでし	ç i d e̞ ɕ i
ひでたか	ç i d e̞ t a̠ k a̠
ひでみつ	ç i d e̞ mʲ i t͡s ɨᵝ
ひでゆき	ç i d e̞ j ɯ̟ᵝ kʲ i
