あい	a̠ i
ひときれ	ç i t o̞ kʲ i ɾ e̞
ひところ	ç i t o̞ k o̞ ɾ o̞
ひとしい	ç i t o̞ ɕ i i
ひとじち	ç i̥ t o̞ ʑ i t͡ɕ i
ひとじらみ	ç i̥ t o̞ ʑ i ɾ a̠ mʲ i
ひとたち	ç i̥ t o̞ t a̠ t͡ɕ i
ひとどおり	ç i t o̞ d o̞ː ɾʲ i
ひとなか	ç i t o̞ n a̠ k a̠
ひとびと	ç i t o̞ bʲ i t o̞
ひとめぼれ	ç i̥ t o̞ m e̞ b o̞ ɾ e̞
ひとりごと	ç i t o̞ ɾʲ i ɡ o̞ t o̞
ひとりひとり	ç i t o̞ ɾʲ i ç i t o̞ ɾʲ i
ひどう	ç i d o̞ː
ひな	ç i n a̠
ひなた	ç i n a̠ t a̠
ひなまつり	ç i n a̠ m a̠ t͡s ɨᵝ ɾʲ i
ひねる	ç i n e̞ ɾ ɯ̟ᵝ
ひのくるま	ç i n o̞ k ɯ̟ᵝ ɾ ɯ̟ᵝ m a̠
ひばち	ç i b a̠ t͡ɕ i
ひびく	ç i bʲ i k ɯ̟ᵝ
ひふえん	ç i̥ ɸ ɯ̟ᵝ ẽ̞ ɴ
ひふびょう	ç i ɸ ɯ̟ᵝ bʲ o̞ː
ひまん	ç i m ã̠ ɴ
ひめ	ç i m e̞
ひめはじめ	ç i m e̞ h a̠ ʑ i m e̞
ひめる	ç i m e̞ ɾ ɯ̟ᵝ
ひもの	ç i m o̞ n o̞
ひゃくしょう	ç a̠ k ɯ̟̊ᵝ ɕ o̞ː
ひゃくせん	ç a̠ k ɯ̟ᵝ s ẽ̞ ɴ
ひゃくにちそう	ç a̠ k ɯ̟ᵝ ɲ̟ i t͡ɕ i s o̞ː
ひやかす	ç i j a̠ k a̠ s ɨᵝ
ひょ	ç o̞
ひょうがいかんじ	ç o̞ː ɡ a̠ i k ã̠ ɲ̟ d͡ʑ i
ひょうげんがた	ç o̞ː ɡ ẽ̞ ŋ ɡ a̠ t a̠
ひょうげんしゅぎ	ç o̞ː ɡ ẽ̞ ɰ̃ ɕ ɨᵝ ɡʲ i
ひょうご	ç o̞ː ɡ o̞
ひょうごけん	ç o̞ː ɡ o̞ k ẽ̞ ɴ
ひょうしき	ç o̞ː ɕ i kʲ i
ひょうじゅんへんさ	ç o̞ː ʑ ɨ̃ᵝ ɰ̃ h ẽ̞ ɰ̃ s a̠
ひょうす	ç o̞ː s ɨᵝ
ひょうてき	ç o̞ː t e̞ kʲ i
ひょうはく	ç o̞ː h a̠ k ɯ̟ᵝ
ひょうはくざい	ç o̞ː h a̠ k ɯ̟ᵝ z a̠ i
ひよめき	ç i j o̞ m e̞ kʲ i
ひらいしん	ç i ɾ a̠ i ɕ ĩ ɴ
ひらがな	ç i ɾ a̠ ɡ a̠ n a̠
ひらた	ç i ɾ a̠ t a̠
ひらのすい	ç i ɾ a̠ n o̞ s ɨᵝ i
ひらめく	ç i ɾ a̠ m e̞ k ɯ̟ᵝ
ひるめし	ç i ɾ ɯ̟ᵝ m e̞ ɕ i
ひろい	ç i ɾ o̞ i
ひろう	ç i ɾ o̞ ɯ̟ᵝ
ひろし	ç i ɾ o̞ ɕ i
ひろしまけん	ç i ɾ o̞ ɕ i m a̠ k ẽ̞ ɴ
ひろまる	ç i ɾ o̞ m a̠ ɾ ɯ̟ᵝ
ひんこく	ç ĩ ŋ k o̞ k ɯ̟ᵝ
ひんこんしゃ	ç ĩ ŋ k õ̞ ɰ̃ ɕ a̠
ひんし	ç ĩ ɰ̃ ɕ i
ひんせん	ç ĩ ɰ̃ s ẽ̞ ɴ
ひんだい	ç ĩ n d a̠ i
ひんにゅう	ç ĩ ɲ̟ ɲ̟ ɯ̟ᵝː
ひんのう	ç ĩ nː o̞ː
びいしき	bʲ iː ɕ i kʲ i
びおん	bʲ i õ̞ ɴ
びがく	bʲ i ɡ a̠ k ɯ̟ᵝ
びざい	bʲ i z a̠ i
びしゅく	bʲ i ɕ ɨᵝ k ɯ̟ᵝ
びじゃく	bʲ i ʑ a̠ k ɯ̟ᵝ
びちく	bʲ i t͡ɕ i k ɯ̟ᵝ
びちょうせい	bʲ i t͡ɕ o̞ː s e̞ː
びどう	bʲ i d o̞ː
びもく	bʲ i m o̞ k ɯ̟ᵝ
びゃくだん	bʲ a̠ k ɯ̟ᵝ d ã̠ ɴ
びょうがく	bʲ o̞ː ɡ a̠ k ɯ̟ᵝ
びょうげんたい	bʲ o̞ː ɡ ẽ̞ n t a̠ i
びょうじょく	bʲ o̞ː ʑ o̞ k ɯ̟ᵝ
びょうどう	bʲ o̞ː d o̞ː
びよく	bʲ i j o̞ k ɯ̟ᵝ
びりょこつ	bʲ i ɾʲ o̞ k o̞ t͡s ɨᵝ
びわ	bʲ i ɰᵝ a̠
びん	bʲ ĩ ɴ
びんかん	bʲ ĩ ŋ k ã̠ ɴ
びんざさら	bʲ ĩ n d͡z a̠ s a̠ ɾ a̠
ぴたり	pʲ i t a̠ ɾʲ i
ぴゃ	pʲ a̠
ふうきん	ɸ ɯ̟ᵝː kʲ ĩ ɴ
ふうせん	ɸ ɯ̟ᵝː s ẽ̞ ɴ
ふうふう	ɸ ɯ̟ᵝː ɸ ɯ̟ᵝː
ふおん	ɸ ɯ̟ᵝ õ̞ ɴ
ふか	ɸ ɯ̟ᵝ k a̠
ふかい	ɸ ɯ̟ᵝ k a̠ i
ふかぎゃく	ɸ ɯ̟ᵝ k a̠ ɡʲ a̠ k ɯ̟ᵝ
ふきとばす	ɸ ɯ̟ᵝ kʲ i t o̞ b a̠ s ɨᵝ
ふきょ	ɸ ɯ̟ᵝ kʲ o̞
ふくい	ɸ ɯ̟ᵝ k ɯ̟ᵝ i
ふくぎょう	ɸ ɯ̟ᵝ k ɯ̟ᵝ ɡʲ o̞ː
ふくごう	ɸ ɯ̟̊ᵝ k ɯ̟ᵝ ɡ o̞ː
ふくさんぶつ	ɸ ɯ̟ᵝ k ɯ̟ᵝ s ã̠ m b ɯ̟ᵝ t͡s ɨᵝ
ふくしまけん	ɸ ɯ̟ᵝ k ɯ̟ᵝ ɕ i m a̠ k ẽ̞ ɴ
ふくそう	ɸ ɯ̟ᵝ k ɯ̟ᵝ s o̞ː
ふくへい	ɸ ɯ̟ᵝ k ɯ̟ᵝ h e̞ː
ふくわじゅつ	ɸ ɯ̟̊ᵝ k ɯ̟ᵝ ɰᵝ a̠ ʑ ɨᵝ t͡s ɨᵝ
ふぐ	ɸ ɯ̟ᵝ ɡ ɯ̟ᵝ
ふけ	ɸ ɯ̟ᵝ k e̞
ふけい	ɸ ɯ̟ᵝ k e̞ː
ふける	ɸ ɯ̟ᵝ k e̞ ɾ ɯ̟ᵝ
ふこくしゃ	ɸ ɯ̟ᵝ k o̞ k ɯ̟ᵝ ɕ a̠
ふごう	ɸ ɯ̟ᵝ ɡ o̞ː
ふしゃ	ɸ ɯ̟ᵝ ɕ a̠
ふしょう	ɸ ɯ̟ᵝ ɕ o̞ː
ふしん	ɸ ɯ̟ᵝ ɕ ĩ ɴ
ふしんかん	ɸ ɯ̟ᵝ ɕ ĩ ŋ k ã̠ ɴ
ふじ	ɸ ɯ̟ᵝ ʑ i
ふじいろ	ɸ ɯ̟ᵝ ʑ iː ɾ o̞
ふじさん	ɸ ɯ̟ᵝ ʑ i s ã̠ ɴ
ふじとう	ɸ ɯ̟ᵝ ʑ i t o̞ː
ふじばかま	ɸ ɯ̟ᵝ ʑ i b a̠ k a̠ m a̠
ふじゅんぶつ	ɸ ɯ̟ᵝ ʑ ɨ̃ᵝ m b ɯ̟ᵝ t͡s ɨᵝ
ふじん	ɸ ɯ̟ᵝ ʑ ĩ ɴ
ふじんふく	ɸ ɯ̟ᵝ ʑ ĩ ɰ̃ ɸ ɯ̟ᵝ k ɯ̟ᵝ
ふすう	ɸ ɯ̟̊ᵝ s ɨᵝː
ふせいじょう	ɸ ɯ̟̊ᵝ s e̞ː ʑ o̞ː
ふた	ɸ ɯ̟ᵝ t a̠
ふたなり	ɸ ɯ̟ᵝ t a̠ n a̠ ɾʲ i
ふちゅうい	ɸ ɯ̟ᵝ t͡ɕ ɨᵝː i
ふちょう	ɸ ɯ̟ᵝ t͡ɕ o̞ː
ふっかつ	ɸ ɯ̟̊ᵝ k̚ k a̠ t͡s ɨᵝ
ふっけん	ɸ ɯ̟ᵝ k̚ k ẽ̞ ɴ
ふつうわ	ɸ ɯ̟ᵝ t͡s ɨᵝː ɰᵝ a̠
ふていかんし	ɸ ɯ̟ᵝ t e̞ː k ã̠ ɰ̃ ɕ i
ふてきとう	ɸ ɯ̟ᵝ t e̞ kʲ i t o̞ː
ふとうこう	ɸ ɯ̟ᵝ t o̞ː k o̞ː
ふとうしき	ɸ ɯ̟̊ᵝ t o̞ː ɕ i̥ kʲ i
ふな	ɸ ɯ̟ᵝ n a̠
ふはい	ɸ ɯ̟ᵝ h a̠ i
ふはつ	ɸ ɯ̟ᵝ h a̠ t͡s ɨᵝ
ふひょうばん	ɸ ɯ̟ᵝ ç o̞ː b ã̠ ɴ
ふほうわ	ɸ ɯ̟ᵝ h o̞ː ɰᵝ a̠
ふぼ	ɸ ɯ̟ᵝ b o̞
ふみこむ	ɸ ɯ̟ᵝ mʲ i k o̞ m ɯ̟ᵝ
ふみだす	ɸ ɯ̟ᵝ mʲ i d a̠ s ɨᵝ
ふめい	ɸ ɯ̟ᵝ m e̞ː
ふめいよ	ɸ ɯ̟ᵝ m e̞ː j o̞
ふめつ	ɸ ɯ̟ᵝ m e̞ t͡s ɨᵝ
ふもう	ɸ ɯ̟ᵝ m o̞ː
ふりかけ	ɸ ɯ̟ᵝ ɾʲ i k a̠ k e̞
ふりそで	ɸ ɯ̟ᵝ ɾʲ i s o̞ d e̞
ふれあう	ɸ ɯ̟ᵝ ɾ e̞ a̠ ɯ̟ᵝ
ふれる	ɸ ɯ̟ᵝ ɾ e̞ ɾ ɯ̟ᵝ
ふわ	ɸ ɯ̟ᵝ ɰᵝ a̠
ふんにょう	ɸ ɯ̟̃ᵝ ɲ̟ ɲ̟ o̞ː
ふんまつ	ɸ ɯ̟̃ᵝ mː a̠ t͡s ɨᵝ
ふんむき	ɸ ɯ̟̃ᵝ mː ɯ̟ᵝ kʲ i
ぶおんな	b ɯ̟ᵝ õ̞ nː a̠
ぶかい	b ɯ̟ᵝ k a̠ i
ぶげいしゃ	b ɯ̟ᵝ ɡ e̞ː ɕ a̠
ぶごう	b ɯ̟ᵝ ɡ o̞ː
ぶさいく	b ɯ̟ᵝ s a̠ i k ɯ̟ᵝ
ぶさた	b ɯ̟ᵝ s a̠ t a̠
ぶしょう	b ɯ̟ᵝ ɕ o̞ː
ぶぜん	b ɯ̟ᵝ z ẽ̞ ɴ
ぶたいうら	b ɯ̟ᵝ t a̠ i ɯ̟ᵝ ɾ a̠
ぶたにく	b ɯ̟ᵝ t a̠ ɲ̟ i k ɯ̟ᵝ
ぶっかだか	b ɯ̟ᵝ k̚ k a̠ d a̠ k a̠
ぶっし	b ɯ̟ᵝ ɕː i
ぶったくり	b ɯ̟ᵝ t̚ t a̠ k ɯ̟ᵝ ɾʲ i
ぶっとう	b ɯ̟ᵝ t̚ t o̞ː
ぶつける	b ɯ̟ᵝ t͡s ɨᵝ k e̞ ɾ ɯ̟ᵝ
ぶどうえん	b ɯ̟ᵝ d o̞ː ẽ̞ ɴ
ぶどうかん	b ɯ̟ᵝ d o̞ː k ã̠ ɴ
ぶどうだん	b ɯ̟ᵝ d o̞ː d ã̠ ɴ
ぶな	b ɯ̟ᵝ n a̠
ぶらさがる	b ɯ̟ᵝ ɾ a̠ s a̠ ɡ a̠ ɾ ɯ̟ᵝ
ぶらつく	b ɯ̟ᵝ ɾ a̠ t͡s ɨᵝ k ɯ̟ᵝ
ぶり	b ɯ̟ᵝ ɾʲ i
ぶん	b ɯ̟̃ᵝ ɴ
ぶんかざい	b ɯ̟̃ᵝ ŋ k a̠ z a̠ i
ぶんきゅう	b ɯ̟̃ᵝ ŋʲ kʲ ɨᵝː
ぶんぐ	b ɯ̟̃ᵝ ŋ ɡ ɯ̟ᵝ
ぶんこ	b ɯ̟̃ᵝ ŋ k o̞
ぶんこうき	b ɯ̟̃ᵝ ŋ k o̞ː kʲ i
ぶんし	b ɯ̟̃ᵝ ɰ̃ ɕ i
ぶんしゅう	b ɯ̟̃ᵝ ɰ̃ ɕ ɨᵝː
ぶんしょうだい	b ɯ̟̃ᵝ ɰ̃ ɕ o̞ː d a̠ i
ぶんたい	b ɯ̟̃ᵝ n t a̠ i
ぶんどき	b ɯ̟̃ᵝ n d o̞ kʲ i
ぶんぼうしほう	b ɯ̟̃ᵝ m b o̞ː ɕ i h o̞ː
ぶんるいがく	b ɯ̟̃ᵝ n ɾ ɯ̟ᵝ i ɡ a̠ k ɯ̟ᵝ
ぶんるいほう	b ɯ̟̃ᵝ n ɾ ɯ̟ᵝ i h o̞ː
へいおん	h e̞ː õ̞ ɴ
へいきしょう	h e̞ː kʲ i ɕ o̞ː
へいきんりつ	h e̞ː kʲ ĩ n ɾʲ i t͡s ɨᵝ
へいごう	h e̞ː ɡ o̞ː
へいざん	h e̞ː z ã̠ ɴ
へいし	h e̞ː ɕ i
へいじょう	h e̞ː ʑ o̞ː
へいそん	h e̞ː s õ̞ ɴ
へそ	h e̞ s o̞
へだたる	h e̞ d a̠ t a̠ ɾ ɯ̟ᵝ
へびくいわし	h e̞ bʲ i k ɯ̟ᵝ i ɰᵝ a̠ ɕ i
へへ	h e̞ h e̞
へらさぎ	h e̞ ɾ a̠ s a̠ ɡʲ i
へんか	h ẽ̞ ŋ k a̠
へんがん	h ẽ̞ ŋ ɡ ã̠ ɴ
へんし	h ẽ̞ ɰ̃ ɕ i
へんしつしゃ	h ẽ̞ ɰ̃ ɕ i t͡s ɨᵝ ɕ a̠
へんしょう	h ẽ̞ ɰ̃ ɕ o̞ː
へんしん	h ẽ̞ ɰ̃ ɕ ĩ ɴ
へんせいき	h ẽ̞ ɰ̃ s e̞ː kʲ i
へんてつ	h ẽ̞ n t e̞ t͡s ɨᵝ
べっけい	b e̞ k̚ k e̞ː
べっと	b e̞ t̚ t o̞
べつくち	b e̞ t͡s ɨᵝ k ɯ̟ᵝ t͡ɕ i
べつじん	b e̞ t͡s ɨᵝ ʑ ĩ ɴ
べつだん	b e̞ t͡s ɨᵝ d ã̠ ɴ
べつばら	b e̞ t͡s ɨᵝ b a̠ ɾ a̠
べんきょう	b ẽ̞ ŋʲ kʲ o̞ː
べんじょ	b ẽ̞ ɲ̟ d͡ʑ o̞
ほうい	h o̞ː i
ほういじしん	h o̞ː i ʑ i ɕ ĩ ɴ
ほうおん	h o̞ː õ̞ ɴ
ほうかご	h o̞ː k a̠ ɡ o̞
ほうき	h o̞ː kʲ i
ほうきぼし	h o̞ː kʲ i b o̞ ɕ i
ほうけんてき	h o̞ː k ẽ̞ n t e̞ kʲ i
ほうこくしょ	h o̞ː k o̞ k ɯ̟ᵝ ɕ o̞
ほうざい	h o̞ː z a̠ i
ほうしゃのう	h o̞ː ɕ a̠ n o̞ː
ほうしゅつおん	h o̞ː ɕ ɨᵝ t͡s ɨᵝ õ̞ ɴ
ほうじゅう	h o̞ː ʑ ɨᵝː
ほうせん	h o̞ː s ẽ̞ ɴ
ほうそう	h o̞ː s o̞ː
ほうだん	h o̞ː d ã̠ ɴ
ほうでん	h o̞ː d ẽ̞ ɴ
ほうとう	h o̞ː t o̞ː
ほうのう	h o̞ː n o̞ː
ほうぶつせん	h o̞ː b ɯ̟ᵝ t͡s ɨ̥ᵝ s ẽ̞ ɴ
ほうほう	h o̞ː h o̞ː
ほうほうろん	h o̞ː h o̞ː ɾ õ̞ ɴ
ほうやく	h o̞ː j a̠ k ɯ̟ᵝ
ほうゆう	h o̞ː j ɯ̟ᵝː
ほうよう	h o̞ː j o̞ː
ほお	h o̞ː
ほおずき	h o̞ː z ɨᵝ kʲ i
ほおづえ	h o̞ː z ɨᵝ e̞
ほかん	h o̞ k ã̠ ɴ
ほくおう	h o̞ k ɯ̟ᵝ o̞ː
ほこる	h o̞ k o̞ ɾ ɯ̟ᵝ
ほごれる	h o̞ ɡ o̞ ɾ e̞ ɾ ɯ̟ᵝ
ほしい	h o̞ ɕ iː
ほしゅとう	h o̞ ɕ ɨ̥ᵝ t o̞ː
ほしょく	h o̞ ɕ o̞ k ɯ̟ᵝ
ほす	h o̞ s ɨᵝ
ほすうけい	h o̞ s ɨᵝː k e̞ː
ほせつ	h o̞ s e̞ t͡s ɨᵝ
ほちょうき	h o̞ t͡ɕ o̞ː kʲ i
ほっかいどう	h o̞ k̚ k a̠ i d o̞ː
ほっきょくぎつね	h o̞ k̚ʲ kʲ o̞ k ɯ̟ᵝ ɡʲ i t͡s ɨᵝ n e̞
ほっぽらかす	h o̞ p̚ p o̞ ɾ a̠ k a̠ s ɨᵝ
ほどこし	h o̞ d o̞ k o̞ ɕ i
ほどこす	h o̞ d o̞ k o̞ s ɨᵝ
ほな	h o̞ n a̠
ほのぼの	h o̞ n o̞ b o̞ n o̞
ほふる	h o̞ ɸ ɯ̟ᵝ ɾ ɯ̟ᵝ
ほめる	h o̞ m e̞ ɾ ɯ̟ᵝ
ほよういん	h o̞ j o̞ː ĩ ɴ
ほようち	h o̞ j o̞ː t͡ɕ i
ほらがい	h o̞ ɾ a̠ ɡ a̠ i
ほろぶ	h o̞ ɾ o̞ b ɯ̟ᵝ
ほろほろちょう	h o̞ ɾ o̞ h o̞ ɾ o̞ t͡ɕ o̞ː
ほんしん	h õ̞ ɰ̃ ɕ ĩ ɴ
ほんじ	h õ̞ ɲ̟ d͡ʑ i
ほんたい	h õ̞ n t a̠ i
ほんだい	h õ̞ n d a̠ i
ほんちょ	h õ̞ ɴ t͡ɕʲ o̞
ほんや	h õ̞ ɰ̃ j a̠
ほんらい	h õ̞ n ɾ a̠ i
ぼうえき	b o̞ː e̞ kʲ i
ぼうえんきょう	b o̞ː ẽ̞ ŋʲ kʲ o̞ː
ぼうしゅ	b o̞ː ɕ ɨᵝ
ぼうしん	b o̞ː ɕ ĩ ɴ
ぼうじん	b o̞ː ʑ ĩ ɴ
ぼうせつえん	b o̞ː s e̞ t͡s ɨᵝ ẽ̞ ɴ
ぼうぜん	b o̞ː z ẽ̞ ɴ
ぼうちょうざい	b o̞ː t͡ɕ o̞ː z a̠ i
ぼうてん	k ẽ̞ n t ẽ̞ ɴ
ぼうろう	b o̞ː ɾ o̞ː
ぼくたち	b o̞ k ɯ̟ᵝ t a̠ t͡ɕ i
ぼけ	b o̞ k e̞
ぼけい	b o̞ k e̞ː
ぼこく	b o̞ k o̞ k ɯ̟ᵝ
ぼじゅつ	b o̞ ʑ ɨᵝ t͡s ɨᵝ
ぼたもち	b o̞ t a̠ m o̞ t͡ɕ i
ぼち	b o̞ t͡ɕ i
ぼっとう	b o̞ t̚ t o̞ː
ぼはん	b o̞ h ã̠ ɴ
ぽい	p o̞ i
ぽこく	p o̞ k o̞ k ɯ̟ᵝ
ぽご	p o̞ ɡ o̞
まあたらしい	m a̠ː t a̠ ɾ a̠ ɕ iː
まいおちる	m a̠ i o̞ t͡ɕ i ɾ ɯ̟ᵝ
まいご	m a̠ i ɡ o̞
まいとし	m a̠ i t o̞ ɕ i
まいど	m a̠ i d o̞
まう	m a̠ ɯ̟ᵝ
まえかけ	m a̠ e̞ k a̠ k e̞
まえがみ	m a̠ e̞ ɡ a̠ mʲ i
まえづけ	m a̠ e̞ z ɨᵝ k e̞
まえぶれ	m a̠ e̞ b ɯ̟ᵝ ɾ e̞
まかつきゅう	m a̠ k a̠ t͡s ɨ̥ᵝ kʲ ɨᵝː
まがう	m a̠ ɡ a̠ ɯ̟ᵝ
まきぞえ	m a̠ kʲ i z o̞ e̞
まきゅう	m a̠ kʲ ɨᵝː
まきょう	m a̠ kʲ o̞ː
まぐさ	m a̠ ɡ ɯ̟ᵝ s a̠
まぐろ	m a̠ ɡ ɯ̟ᵝ ɾ o̞
まけ	m a̠ k e̞
まけいぬ	m a̠ k e̞ː n ɯ̟ᵝ
まける	m a̠ k e̞ ɾ ɯ̟ᵝ
まげる	m a̠ ɡ e̞ ɾ ɯ̟ᵝ
まさし	m a̠ s a̠ ɕ i
まさじ	m a̠ s a̠ ʑ i
まさと	m a̠ s a̠ t o̞
まさゆき	m a̠ s a̠ j ɯ̟ᵝ kʲ i
まさゆめ	m a̠ s a̠ j ɯ̟ᵝ m e̞
ましお	m a̠ ɕ i o̞
まじえる	m a̠ ʑ i e̞ ɾ ɯ̟ᵝ
まじょ	m a̠ ʑ o̞
まじる	m a̠ ʑ i ɾ ɯ̟ᵝ
まじん	m a̠ ʑ ĩ ɴ
ますい	m a̠ s ɨᵝ i
まぜる	m a̠ z e̞ ɾ ɯ̟ᵝ
まだに	m a̠ d a̠ ɲ̟ i
まだら	m a̠ d a̠ ɾ a̠
まちあい	m a̠ t͡ɕ i a̠ i
まちあわせ	m a̠ t͡ɕ i a̠ ɰᵝ a̠ s e̞
まちがい	m a̠ t͡ɕ i ɡ a̠ i
まちのぞむ	m a̠ t͡ɕ i n o̞ z o̞ m ɯ̟ᵝ
まぢか	m a̠ ʑ i k a̠
まっか	m a̠ k̚ k a̠
まっこうくじら	m a̠ k̚ k o̞ː k ɯ̟ᵝ ʑ i ɾ a̠
まっさお	m a̠ sː a̠ o̞
まっさき	m a̠ sː a̠ kʲ i
まっさつ	m a̠ sː a̠ t͡s ɨᵝ
まつび	m a̠ t͡s ɨᵝ bʲ i
まなこ	m a̠ n a̠ k o̞
まなざし	m a̠ n a̠ z a̠ ɕ i
まなびや	m a̠ n a̠ bʲ i j a̠
まにゅう	m a̠ ɲ̟ ɯ̟ᵝː
まぬかれる	m a̠ n ɯ̟ᵝ k a̠ ɾ e̞ ɾ ɯ̟ᵝ
まね	m a̠ n e̞
まねき	m a̠ n e̞ kʲ i
まねく	m a̠ n e̞ k ɯ̟ᵝ
まねごと	m a̠ n e̞ ɡ o̞ t o̞
まふゆ	m a̠ ɸ ɯ̟ᵝ j ɯ̟ᵝ
まぶしい	m a̠ b ɯ̟ᵝ ɕ i i
まぶた	m a̠ b ɯ̟ᵝ t a̠
まめまわし	m a̠ m e̞ m a̠ ɰᵝ a̠ ɕ i
まもり	m a̠ m o̞ ɾʲ i
まよなか	m a̠ j o̞ n a̠ k a̠
まら	m a r a
まるい	m a̠ ɾ ɯ̟ᵝ i
まるかじり	m a̠ ɾ ɯ̟ᵝ k a̠ ʑ i ɾʲ i
まわり	k a̠ i
まわりみち	m a̠ ɰᵝ a̠ ɾʲ i mʲ i t͡ɕ i
まんえい	m ã̠ ɰ̃ e̞ː
まんがじ	m ã̠ ŋ ɡ a̠ ʑ i
まんげつ	m ã̠ ŋ ɡ e̞ t͡s ɨᵝ
まんざい	m ã̠ n d͡z a̠ i
まんざら	m ã̠ n d͡z a̠ ɾ a̠
まんしゅうご	m ã̠ ɰ̃ ɕ ɨᵝː ɡ o̞
まんしん	m ã̠ ɰ̃ ɕ ĩ ɴ
まんじゅしゃげ	m ã̠ ɲ̟ d͡ʑ ɨᵝ ɕ a̠ ɡ e̞
まんまえ	m ã̠ mː a̠ e̞
まんよう	m ã̠ ɰ̃ j o̞ː
みいら	mʲ iː ɾ a̠
みうける	mʲ i ɯ̟ᵝ k e̞ ɾ ɯ̟ᵝ
みおくる	mʲ i o̞ k ɯ̟ᵝ ɾ ɯ̟ᵝ
みおさめ	mʲ i o̞ s a̠ m e̞
みおつくし	mʲ i o̞ t͡s ɨᵝ k ɯ̟ᵝ ɕ i
みおろす	mʲ i o̞ ɾ o̞ s ɨᵝ
みかん	mʲ i k ã̠ ɴ
みがら	mʲ i ɡ a̠ ɾ a̠
みきこ	mʲ i kʲ i k o̞
みきわめる	mʲ i kʲ i ɰᵝ a̠ m e̞ ɾ ɯ̟ᵝ
みぎ	mʲ i ɡʲ i
みぎがわ	mʲ i ɡʲ i ɡ a̠ ɰᵝ a̠
みくだりはん	mʲ i k ɯ̟ᵝ d a̠ ɾʲ i h ã̠ ɴ
みさこ	mʲ i s a̠ k o̞
みじかい	mʲ i ʑ i k a̠ i
みずから	mʲ i z ɨᵝ k a̠ ɾ a̠
みずがね	mʲ i z ɨᵝ ɡ a̠ n e̞
みずすまし	mʲ i z ɨᵝ s ɨᵝ m a̠ ɕ i
みせ	mʲ i s e̞
みせかける	mʲ i s e̞ k a̠ k e̞ ɾ ɯ̟ᵝ
みそち	mʲ i s o̞ t͡ɕ i
みちすじ	mʲ i t͡ɕ i s ɨᵝ ʑ i
みちたか	mʲ i t͡ɕ i t a̠ k a̠
みちたりる	mʲ i t͡ɕ i t a̠ ɾʲ i ɾ ɯ̟ᵝ
みちのり	mʲ i t͡ɕ i n o̞ ɾʲ i
みっかん	mʲ i k̚ k ã̠ ɴ
みっちゃく	mʲ i t̚ t͡ɕ a̠ k ɯ̟ᵝ
みっつう	mʲ i t̚ t͡s ɨᵝː
みつくりざめ	mʲ i t͡s ɨ̥ᵝ k ɯ̟ᵝ ɾʲ i z a̠ m e̞
みつばち	mʲ i t͡s ɨᵝ b a̠ t͡ɕ i
みつめる	mʲ i t͡s ɨᵝ m e̞ ɾ ɯ̟ᵝ
