あい	a̠ i
みつもり	mʲ i t͡s ɨᵝ m o̞ ɾʲ i
みと	mʲ i t o̞
みとめる	mʲ i t o̞ m e̞ ɾ ɯ̟ᵝ
みなごろし	mʲ i n a̠ ɡ o̞ ɾ o̞ ɕ i
みなす	mʲ i n a̠ s ɨᵝ
みなづき	mʲ i n a̠ z ɨᵝ kʲ i
みなみ	mʲ i n a̠ mʲ i
みなみかいきせん	mʲ i n a̠ mʲ i k a̠ i kʲ i̥ s ẽ̞ ɴ
みなもと	mʲ i n a̠ m o̞ t o̞
みまちがえる	mʲ i m a̠ t͡ɕ i ɡ a̠ e̞ ɾ ɯ̟ᵝ
みまん	mʲ i m ã̠ ɴ
みみ	mʲ i mʲ i
みみかざり	mʲ i mʲ i k a̠ z a̠ ɾʲ i
みみなり	mʲ i mʲ i n a̠ ɾʲ i
みゃく	mʲ a̠ k ɯ̟ᵝ
みゃくらく	mʲ a̠ k ɯ̟ᵝ ɾ a̠ k ɯ̟ᵝ
みや	mʲ i j a̠
みやぎ	mʲ i j a̠ ɡʲ i
みやぎけん	mʲ i j a̠ ɡʲ i k ẽ̞ ɴ
みやこおち	mʲ i j a̠ k o̞ o̞ t͡ɕ i
みやこのじょう	mʲ i j a̠ k o̞ n o̞ ʑ o̞ː
みやざき	mʲ i j a̠ z a̠ kʲ i
みやの	mʲ i j a̠ n o̞
みやびやか	mʲ i j a̠ bʲ i j a̠ k a̠
みやぶる	mʲ i j a̠ b ɯ̟ᵝ ɾ ɯ̟ᵝ
みょうおう	mʲ o̞ː o̞ː
みよ	mʲ i j o̞
みりょくてき	mʲ i ɾʲ o̞ k ɯ̟ᵝ t e̞ kʲ i
みれん	mʲ i ɾ ẽ̞ ɴ
みんしゅく	mʲ ĩ ɰ̃ ɕ ɨᵝ k ɯ̟ᵝ
みんしゅしゅぎしゃ	mʲ ĩ ɰ̃ ɕ ɨᵝ ɕ ɨᵝ ɡʲ i ɕ a̠
みんぞくがく	mʲ ĩ n d͡z o̞ k ɯ̟ᵝ ɡ a̠ k ɯ̟ᵝ
みんぺい	mʲ ĩ m p e̞ː
むいちもん	m ɯ̟ᵝ i t͡ɕ i m õ̞ ɴ
むかい	m ɯ̟ᵝ k a̠ i
むかえる	m ɯ̟ᵝ k a̠ e̞ ɾ ɯ̟ᵝ
むかし	m ɯ̟ᵝ k a̠ ɕ i
むかんどう	m ɯ̟ᵝ k ã̠ n d o̞ː
むが	m ɯ̟ᵝ ɡ a̠
むきかごうぶつ	m ɯ̟̊ᵝ kʲ i k a̠ ɡ o̞ː b ɯ̟ᵝ t͡s ɨᵝ
むぎ	m ɯ̟ᵝ ɡʲ i
むぎょう	m ɯ̟ᵝ ɡʲ o̞ː
むげんしょう	m ɯ̟ᵝ ɡ ẽ̞ ɰ̃ ɕ o̞ː
むげんだい	m ɯ̟ᵝ ɡ ẽ̞ n d a̠ i
むこくせき	m ɯ̟ᵝ k o̞ k ɯ̟ᵝ s e̞ kʲ i
むごん	m ɯ̟ᵝ ɡ õ̞ ɴ
むさいしょく	m ɯ̟ᵝ s a̠ i ɕ o̞ k ɯ̟ᵝ
むさぼりくう	m ɯ̟ᵝ s a̠ b o̞ ɾʲ i k ɯ̟ᵝː
むさぼる	m ɯ̟ᵝ s a̠ b o̞ ɾ ɯ̟ᵝ
むし	m ɯ̟ᵝ ɕ i
むしめがね	m ɯ̟ᵝ ɕ i m e̞ ɡ a̠ n e̞
むしんけい	m ɯ̟ᵝ ɕ ĩ ŋ k e̞ː
むじゅうりょく	m ɯ̟ᵝ ʑ ɨᵝː ɾʲ o̞ k ɯ̟ᵝ
むじゅん	m ɯ̟ᵝ ʑ ɨ̃ᵝ ɴ
むじょう	m ɯ̟ᵝ ʑ o̞ː
むすびつき	m ɯ̟ᵝ s ɨᵝ bʲ i t͡s ɨᵝ kʲ i
むだ	m ɯ̟ᵝ d a̠
むっくり	m ɯ̟ᵝ k̚ k ɯ̟ᵝ ɾʲ i
むつう	m ɯ̟ᵝ t͡s ɨᵝː
むとう	m ɯ̟ᵝ t o̞ː
むな	m ɯ̟ᵝ n a̠
むなげ	m ɯ̟ᵝ n a̠ ɡ e̞
むね	m ɯ̟ᵝ n e̞
むねあて	m ɯ̟ᵝ n e̞ a̠ t e̞
むひょうじょう	m ɯ̟ᵝ ç o̞ː ʑ o̞ː
むら	m ɯ̟ᵝ ɾ a̠
むらさきずいしょう	m ɯ̟ᵝ ɾ a̠ s a̠ kʲ i z ɨᵝ i ɕ o̞ː
むらまつ	m ɯ̟ᵝ ɾ a̠ m a̠ t͡s ɨᵝ
むらむら	m ɯ̟ᵝ ɾ a̠ m ɯ̟ᵝ ɾ a̠
むろん	m ɯ̟ᵝ ɾ õ̞ ɴ
めいかい	m e̞ː k a̠ i
めいさん	m e̞ː s ã̠ ɴ
めいそう	m e̞ː s o̞ː
めいり	m e̞ː ɾʲ i
めいりょう	m e̞ː ɾʲ o̞ː
めいろ	m e̞ː ɾ o̞
めがねざる	m e̞ ɡ a̠ n e̞ z a̠ ɾ ɯ̟ᵝ
めがねっこ	m e̞ ɡ a̠ n e̞ k̚ k o̞
めざめる	m e̞ z a̠ m e̞ ɾ ɯ̟ᵝ
めしべ	m e̞ ɕ i b e̞
めじるし	m e̞ ʑ i ɾ ɯ̟ᵝ ɕ i
めす	m e̞ s ɨᵝ
めず	m e̞ z ɨᵝ
めだつ	m e̞ d a̠ t͡s ɨᵝ
めっき	m e̞ k̚ʲ kʲ i
めった	m e̞ t̚ t a̠
めはな	m e̞ h a̠ n a̠
めめしい	m e̞ m e̞ ɕ iː
めやに	m e̞ j a̠ ɲ̟ i
めんたい	m ẽ̞ n t a̠ i
めんたいこ	m ẽ̞ n t a̠ i k o̞
もうける	m o̞ː k e̞ ɾ ɯ̟ᵝ
もうさいかん	m o̞ː s a̠ i k ã̠ ɴ
もうしこみ	m o̞ː ɕ i k o̞ mʲ i
もうしゃ	m o̞ː ɕ a̠
もうしょ	m o̞ː ɕ o̞
もうす	m o̞ː s ɨᵝ
もうちょう	m o̞ː t͡ɕ o̞ː
もうふぶき	m o̞ː ɸ ɯ̟ᵝ b ɯ̟ᵝ kʲ i
もうもく	m o̞ː m o̞ k ɯ̟ᵝ
もえそで	m o̞ e̞ s o̞ d e̞
もえぶた	m o̞ e̞ b ɯ̟ᵝ t a̠
もおんな	m o̞ õ̞ nː a̠
もがく	m o̞ ɡ a̠ k ɯ̟ᵝ
もくば	m o̞ k ɯ̟ᵝ b a̠
もぐ	m o̞ ɡ ɯ̟ᵝ
もさく	m o̞ s a̠ k ɯ̟ᵝ
もし	m o̞ ɕ i
もしも	m o̞ ɕ i m o̞
もじばけ	m o̞ ʑ i b a̠ k e̞
もぞう	m o̞ z o̞ː
もたらす	m o̞ t a̠ ɾ a̠ s ɨᵝ
もちあげる	m o̞ t͡ɕ i a̠ ɡ e̞ ɾ ɯ̟ᵝ
もちいる	m o̞ t͡ɕ iː ɾ ɯ̟ᵝ
もちきたる	m o̞ t͡ɕ i kʲ i t a̠ ɾ ɯ̟ᵝ
もちぬし	m o̞ t͡ɕ i n ɯ̟ᵝ ɕ i
もっとも	m o̞ t̚ t o̞ m o̞
もてあそぶ	m o̞ t e̞ a̠ s o̞ b ɯ̟ᵝ
ものごい	m o̞ n o̞ ɡ o̞ i
ものみだかい	m o̞ n o̞ mʲ i d a̠ k a̠ i
ものもち	m o̞ n o̞ m o̞ t͡ɕ i
もみじ	m o̞ mʲ i ʑ i
ももか	m o̞ m o̞ k a̠
もやす	m o̞ j a̠ s ɨᵝ
もりひろ	m o̞ ɾʲ i ç i ɾ o̞
もろこし	m o̞ ɾ o̞ k o̞ ɕ i
もんじ	m õ̞ ɲ̟ d͡ʑ i
もんと	m õ̞ n t o̞
やあ	j a̠ː
やえば	j a̠ e̞ b a̠
やお	j a̠ o̞
やかい	j a̠ k a̠ i
やきぶた	j a̠ kʲ i b ɯ̟ᵝ t a̠
やく	j a̠ k ɯ̟ᵝ
やくすう	j a̠ k ɯ̟̊ᵝ s ɨᵝː
やくにん	j a̠ k ɯ̟ᵝ ɲ̟ ĩ ɴ
やくりがく	j a̠ k ɯ̟ᵝ ɾʲ i ɡ a̠ k ɯ̟ᵝ
やける	j a̠ k e̞ ɾ ɯ̟ᵝ
やしがに	j a̠ ɕ i ɡ a̠ ɲ̟ i
やすっぽい	j a̠ s ɨᵝ p̚ p o̞ i
やすなが	j a̠ s ɨᵝ n a̠ ɡ a̠
やすみ	j a̠ s ɨᵝ mʲ i
やすもの	j a̠ s ɨᵝ m o̞ n o̞
やせおとこ	j a̠ s e̞ o̞ t o̞ k o̞
やせん	j a̠ s ẽ̞ ɴ
やそきょう	j a̠ s o̞ kʲ o̞ː
やたがらす	j a̠ t a̠ ɡ a̠ ɾ a̠ s ɨᵝ
やだ	j a̠ d a̠
やつあたり	j a̠ t͡s ɨᵝ a̠ t a̠ ɾʲ i
やつめうなぎ	j a̠ t͡s ɨᵝ m e̞ ɯ̟ᵝ n a̠ ɡʲ i
やつら	j a̠ t͡s ɨᵝ ɾ a̠
やといぬし	j a̠ t o̞ i n ɯ̟ᵝ ɕ i
やどかり	j a̠ d o̞ k a̠ ɾʲ i
やどりぎ	j a̠ d o̞ ɾʲ i ɡʲ i
やに	j a̠ ɲ̟ i
やのあさって	j a̠ n o̞ a̠ s a̠ t̚ t e̞
やまあるき	j a̠ m a̠ a̠ ɾ ɯ̟ᵝ kʲ i
やまい	j a̠ m a̠ i
やまいも	j a̠ m a̠ i m o̞
やまうば	j a̠ m a̠ ɯ̟ᵝ b a̠
やまかじ	j a̠ m a̠ k a̠ ʑ i
やまがた	j a̠ m a̠ ɡ a̠ t a̠
やまじ	j a̠ m a̠ ʑ i
やますいぎゅう	j a̠ m a̠ s ɨᵝ i ɡʲ ɨᵝː
やまたかぼうし	j a̠ m a̠ t a̠ k a̠ b o̞ː ɕ i
やまとぐち	j a̠ m a̠ t o̞ ɡ ɯ̟ᵝ t͡ɕ i
やまふだ	j a̠ m a̠ ɸ ɯ̟ᵝ d a̠
やまほど	j a̠ m a̠ h o̞ d o̞
やみよ	j a̠ mʲ i j o̞
やむ	j a̠ m ɯ̟ᵝ
ややこしい	j a̠ j a̠ k o̞ ɕ iː
やよう	j a̠ j o̞ː
やらい	j a̠ ɾ a̠ i
やりとおす	j a̠ ɾʲ i t o̞ː s ɨᵝ
やりとげる	j a̠ ɾʲ i t o̞ ɡ e̞ ɾ ɯ̟ᵝ
やんま	j ã̠ mː a̠
ゆいのう	j ɯ̟ᵝ i n o̞ː
ゆう	j ɯ̟ᵝː
ゆういぎ	j ɯ̟ᵝː i ɡʲ i
ゆうえつかん	j ɯ̟ᵝː e̞ t͡s ɨ̥ᵝ k ã̠ ɴ
ゆうきゅうきゅうか	j ɯ̟ᵝː kʲ ɨᵝː kʲ ɨᵝː k a̠
ゆうし	j ɯ̟ᵝː ɕ i
ゆうしゅう	j ɯ̟ᵝː ɕ ɨᵝː
ゆうじ	j ɯ̟ᵝː ʑ i
ゆうじょ	j ɯ̟ᵝː ʑ o̞
ゆうそくよみ	j ɯ̟ᵝː s o̞ k ɯ̟ᵝ j o̞ mʲ i
ゆうのう	j ɯ̟ᵝː n o̞ː
ゆうびんきょく	j ɯ̟ᵝː bʲ ĩ ŋʲ kʲ o̞ k ɯ̟ᵝ
ゆうぼくみん	j ɯ̟ᵝː b o̞ k ɯ̟ᵝ mʲ ĩ ɴ
ゆうゆう	j ɯ̟ᵝː j ɯ̟ᵝː
ゆうり	j ɯ̟ᵝː ɾʲ i
ゆうれいやしき	j ɯ̟ᵝː ɾ e̞ː j a̠ ɕ i̥ kʲ i
ゆかいはん	j ɯ̟ᵝ k a̠ i h ã̠ ɴ
ゆかた	j ɯ̟ᵝ k a̠ t a̠
ゆが	j ɯ̟ᵝ ɡ a̠
ゆきづまり	j ɯ̟ᵝ kʲ i z ɨᵝ m a̠ ɾʲ i
ゆきとし	j ɯ̟ᵝ kʲ i t o̞ ɕ i
ゆきひょう	j ɯ̟ᵝ kʲ i̥ ç o̞ː
ゆず	j ɯ̟ᵝ z ɨᵝ
ゆずる	j ɯ̟ᵝ z ɨᵝ ɾ ɯ̟ᵝ
ゆだん	j ɯ̟ᵝ d ã̠ ɴ
ゆっくり	j ɯ̟ᵝ k̚ k ɯ̟ᵝ ɾʲ i
ゆでん	j ɯ̟ᵝ d ẽ̞ ɴ
ゆとう	j ɯ̟ᵝ t o̞ː
ゆびぬき	j ɯ̟ᵝ bʲ i n ɯ̟ᵝ kʲ i
ゆびわ	j ɯ̟ᵝ bʲ i ɰᵝ a̠
ゆめがたり	j ɯ̟ᵝ m e̞ ɡ a̠ t a̠ ɾʲ i
ゆめみる	j ɯ̟ᵝ m e̞ mʲ i ɾ ɯ̟ᵝ
ゆらぐ	j ɯ̟ᵝ ɾ a̠ ɡ ɯ̟ᵝ
ゆらす	j ɯ̟ᵝ ɾ a̠ s ɨᵝ
ゆりいす	j ɯ̟ᵝ ɾʲ i i s ɨᵝ
ゆる	j ɯ̟ᵝ ɾ ɯ̟ᵝ
ゆるやか	j ɯ̟ᵝ ɾ ɯ̟ᵝ j a̠ k a̠
よい	j o̞ i
よいっぱり	j o̞ i p̚ p a̠ ɾʲ i
ようえん	j o̞ː ẽ̞ ɴ
ようきょく	j o̞ː kʲ o̞ k ɯ̟ᵝ
ようきん	j o̞ː kʲ ĩ ɴ
ようぎん	j o̞ː ɡʲ ĩ ɴ
ようけん	j o̞ː k ẽ̞ ɴ
ようこそ	j o̞ː k o̞ s o̞
ようご	j o̞ː ɡ o̞
ようさん	j o̞ː s ã̠ ɴ
ようし	j o̞ː ɕ i
ようしょ	j o̞ː ɕ o̞
ようすい	j oː s u i
ようずみ	j o̞ː z ɨᵝ mʲ i
ようせい	j o̞ː s e̞ː
ようせき	j o̞ː s e̞ kʲ i
ようそ	j o̞ː s o̞
ようそう	j o̞ː s o̞ː
ようそん	j o̞ː s õ̞ ɴ
ようふう	j o̞ː ɸ ɯ̟ᵝː
ようよう	j o̞ː j o̞ː
ようりょく	j o̞ː ɾʲ o̞ k ɯ̟ᵝ
よかく	k o̞ k a̠ k ɯ̟ᵝ
よく	j o̞ k ɯ̟ᵝ
よくばる	j o̞ k ɯ̟ᵝ b a̠ ɾ ɯ̟ᵝ
よこく	j o̞ k o̞ k ɯ̟ᵝ
よこはま	j o̞ k o̞ h a̠ m a̠
よこぶえ	j o̞ k o̞ b ɯ̟ᵝ e̞
よご	j o̞ ɡ o̞
よごす	j o̞ ɡ o̞ s ɨᵝ
よしお	j o̞ ɕ i o̞
よしとも	j o̞ ɕ i t o̞ m o̞
よじょうはん	j o̞ ʑ o̞ː h ã̠ ɴ
よすが	j o̞ s ɨᵝ ɡ a̠
よせい	j o̞ s e̞ː
よそく	j o̞ s o̞ k ɯ̟ᵝ
よたか	j o̞ t a̠ k a̠
よっぱらう	j o̞ p̚ p a̠ ɾ a̠ ɯ̟ᵝ
よとう	j o t oː
よばい	j o̞ b a̠ i
よばわり	j o̞ b a̠ ɰᵝ a̠ ɾʲ i
よふね	j o̞ ɸ ɯ̟ᵝ n e̞
よぶ	j o̞ b ɯ̟ᵝ
よみかける	j o̞ mʲ i k a̠ k e̞ ɾ ɯ̟ᵝ
よみきる	j o̞ mʲ i kʲ i ɾ ɯ̟ᵝ
よみくだす	j o̞ mʲ i k ɯ̟ᵝ d a̠ s ɨᵝ
よみじ	j o̞ mʲ i ʑ i
よめ	j o̞ m e̞
よろいぐさ	j o̞ ɾ o̞ i ɡ ɯ̟ᵝ s a̠
よろける	j o̞ ɾ o̞ k e̞ ɾ ɯ̟ᵝ
よわまる	j o̞ ɰᵝ a̠ m a̠ ɾ ɯ̟ᵝ
よわる	j o̞ ɰᵝ a̠ ɾ ɯ̟ᵝ
よんじゅういち	j õ̞ ɲ̟ d͡ʑ ɨᵝː i t͡ɕ i
らい	ɾ a̠ i
らいじょう	ɾ a̠ i ʑ o̞ː
らいじんちょう	ɾ a̠ i ʑ ĩ ɲ̟ t͡ɕ o̞ː
らいてん	ɾ a̠ i t ẽ̞ ɴ
らく	ɾ a̠ k ɯ̟ᵝ
らくえつ	ɾ a̠ k ɯ̟ᵝ e̞ t͡s ɨᵝ
らくせん	ɾ a̠ k ɯ̟ᵝ s ẽ̞ ɴ
らくだ	ɾ a̠ k ɯ̟ᵝ d a̠
らくだい	ɾ a̠ k ɯ̟ᵝ d a̠ i
らくてん	ɾ a̠ k ɯ̟ᵝ t ẽ̞ ɴ
らしんばん	ɾ a̠ ɕ ĩ m b ã̠ ɴ
らせつ	ɾ a̠ s e̞ t͡s ɨᵝ
らち	ɾ a̠ t͡ɕ i
らっかさん	ɾ a̠ k̚ k a̠ s ã̠ ɴ
らっかせい	ɾ a̠ k̚ k a̠ s e̞ː
らっかりゅうすい	ɾ a̠ k̚ k a̠ ɾʲ ɨᵝː s ɨᵝ i
らっこ	ɾ a̠ k̚ k o̞
らっぱすいせん	ɾ a̠ p̚ p a̠ z ɨᵝ i s ẽ̞ ɴ
らんかく	ɾ ã̠ ŋ k a̠ k ɯ̟ᵝ
らんさいぼう	ɾ ã̠ ɰ̃ s a̠ i b o̞ː
らんしゃ	ɾ ã̠ ɰ̃ ɕ a̠
らんそうがん	ɾ ã̠ ɰ̃ s o̞ː ɡ ã̠ ɴ
らんぱつ	ɾ ã̠ m p a̠ t͡s ɨᵝ
りかん	ɾʲ i k ã̠ ɴ
りがく	ɾʲ i ɡ a̠ k ɯ̟ᵝ
りき	ɾʲ i kʲ i
りきがく	ɾʲ i kʲ i ɡ a̠ k ɯ̟ᵝ
りくぐん	ɾʲ i k ɯ̟ᵝ ɡ ɯ̟̃ᵝ ɴ
りくじょう	ɾʲ i k ɯ̟ᵝ ʑ o̞ː
りけい	ɾʲ i k e̞ː
りさい	ɾʲ i s a̠ i
りしょく	ɾʲ i ɕ o̞ k ɯ̟ᵝ
りそうぞう	ɾʲ i s o̞ː z o̞ː
りっきゃくてん	ɾʲ i k̚ʲ kʲ a̠ k ɯ̟ᵝ t ẽ̞ ɴ
りっぽうこん	ɾʲ i p̚ p o̞ː k õ̞ ɴ
りっぽうしゃ	ɾʲ i p̚ p o̞ː ɕ a̠
りと	ɾʲ i t o̞
りめん	ɾʲ i m ẽ̞ ɴ
りゃくご	ɾʲ a̠ k ɯ̟ᵝ ɡ o̞
りゃくす	ɾʲ a̠ k ɯ̟ᵝ s ɨᵝ
りゅうがくせい	ɾʲ ɨᵝː ɡ a̠ k ɯ̟ᵝ s e̞ː
りゅうさん	ɾʲ ɨᵝː s ã̠ ɴ
りゅうしゃ	ɾʲ ɨᵝː ɕ a̠
りゅうせいぐん	ɾʲ ɨᵝː s e̞ː ɡ ɯ̟̃ᵝ ɴ
りゅうせんけい	ɾʲ ɨᵝː s ẽ̞ ŋ k e̞ː
りゅうぜんこう	ɾʲ ɨᵝː z ẽ̞ ŋ k o̞ː
りゅうたろう	ɾʲ ɨᵝː t a̠ ɾ o̞ː
りゅうちょう	ɾʲ ɨᵝː t͡ɕ o̞ː
りゅうどう	ɾʲ ɨᵝː d o̞ː
りゆう	ɾʲ i j ɯ̟ᵝː
りょうきんじょ	ɾʲ o̞ː kʲ ĩ ɲ̟ d͡ʑ o̞
りょうげんのひ	ɾʲ o̞ː ɡ ẽ̞ nː o̞ ç i
りょうしつ	ɾʲ o̞ː ɕ i t͡s ɨᵝ
りょうじ	ɾʲ o̞ː ʑ i
りょかくき	ɾʲ o̞ k a̠ k ɯ̟̊ᵝ kʲ i
りょくしょく	ɾʲ o̞ k ɯ̟̊ᵝ ɕ o̞ k ɯ̟ᵝ
りょくせんこう	ɾʲ o̞ k ɯ̟ᵝ s ẽ̞ ŋ k o̞ː
りょこうしゃ	ɾʲ o̞ k o̞ː ɕ a̠
りろ	ɾʲ i ɾ o̞
りん	ɾʲ ĩ ɴ
りんかい	ɾʲ ĩ ŋ k a̠ i
りんかく	ɾʲ ĩ ŋ k a̠ k ɯ̟ᵝ
りんさんひりょう	ɾʲ ĩ ɰ̃ s ã̠ ɰ̃ ç i ɾʲ o̞ː
れいきゅうしゃ	ɾ e̞ː kʲ ɨᵝː ɕ a̠
れいぎょ	ɾ e̞ː ɡʲ o̞
れいしょく	ɾ e̞ː ɕ o̞ k ɯ̟ᵝ
れいすい	ɾ e̞ː s ɨᵝ i
れいせい	ɾ e̞ː s e̞ː
れいぞう	ɾ e̞ː z o̞ː
れいちょう	ɾ e̞ː t͡ɕ o̞ː
れいはい	ɾ e̞ː h a̠ i
れいびょう	ɾ e̞ː bʲ o̞ː
れっせき	ɾ e̞ sː e̞ kʲ i
れつあく	ɾ e̞ t͡s ɨᵝ a̠ k ɯ̟ᵝ
れんが	ɾ ẽ̞ ŋ ɡ a̠
れんきゅう	ɾ ẽ̞ ŋʲ kʲ ɨᵝː
れんごう	ɾ ẽ̞ ŋ ɡ o̞ː
れんさ	ɾ ẽ̞ ɰ̃ s a̠
れんしゅう	ɾ ẽ̞ ɰ̃ ɕ ɨᵝː
れんしゅうきょく	ɾ ẽ̞ ɰ̃ ɕ ɨᵝː kʲ o̞ k ɯ̟ᵝ
れんじつれんや	ɾ ẽ̞ ɲ̟ d͡ʑ i t͡s ɨᵝ ɾ ẽ̞ ɰ̃ j a̠
れんせんれんばい	ɾ ẽ̞ ɰ̃ s ẽ̞ n ɾ ẽ̞ m b a̠ i
れんたいかく	ɾ ẽ̞ n t a̠ i k a̠ k ɯ̟ᵝ
れんぽう	ɾ ẽ̞ m p o̞ː
ろうあ	ɾ o̞ː a̠
ろうし	ɾ o̞ː ɕ i
ろうしゃ	ɾ o̞ː ɕ a̠
ろうじん	ɾ o̞ː ʑ ĩ ɴ
ろうはいぶつ	ɾ o̞ː h a̠ i b ɯ̟ᵝ t͡s ɨᵝ
ろうばい	ɾ o̞ː b a̠ i
ろうほう	ɾ o̞ː h o̞ː
ろくぶんぎ	ɾ o̞ k ɯ̟ᵝ b ɯ̟̃ᵝ ŋʲ ɡʲ i
ろくめんたい	ɾ o̞ k ɯ̟ᵝ m ẽ̞ n t a̠ i
ろしゅつけい	ɾ o̞ ɕ ɨᵝ t͡s ɨᵝ k e̞ː
ろしん	ɾ o̞ ɕ ĩ ɴ
ろてんぶろ	ɾ o̞ t ẽ̞ m b ɯ̟ᵝ ɾ o̞
ろばん	ɾ o̞ b ã̠ ɴ
ろんずる	ɾ õ̞ n d͡z ɨᵝ ɾ ɯ̟ᵝ
ろんそう	ɾ õ̞ ɰ̃ s o̞ː
ろんばく	ɾ õ̞ m b a̠ k ɯ̟ᵝ
ろんりがく	ɾ õ̞ n ɾʲ i ɡ a̠ k ɯ̟ᵝ
わいろ	ɰᵝ a̠ i ɾ o̞
わかす	ɰᵝ a̠ k a̠ s ɨᵝ
わがし	ɰᵝ a̠ ɡ a̠ ɕ i
わきあいあい	ɰᵝ a̠ kʲ i a̠ i a̠ i
わきざし	ɰᵝ a̠ kʲ i z a̠ ɕ i
わごん	ɰᵝ a̠ ɡ õ̞ ɴ
わさんぼん	ɰᵝ a̠ s ã̠ m b õ̞ ɴ
わし	ɰᵝ a̠ ɕ i
わしづかみ	ɰᵝ a̠ ɕ i z ɨᵝ k a̠ mʲ i
わじん	ɰᵝ a̠ ʑ ĩ ɴ
わすれなぐさ	ɰᵝ a̠ s ɨᵝ ɾ e̞ n a̠ ɡ ɯ̟ᵝ s a̠
わすれる	ɰᵝ a̠ s ɨᵝ ɾ e̞ ɾ ɯ̟ᵝ
わそう	ɰᵝ a̠ s o̞ː
わた	ɰᵝ a̠ t a̠
わたがし	ɰᵝ a̠ t a̠ ɡ a̠ ɕ i
わたくし	ɰᵝ a̠ t a̠ k ɯ̟̊ᵝ ɕ i
わたくしする	ɰᵝ a̠ t a̠ k ɯ̟ᵝ ɕ i s ɨᵝ ɾ ɯ̟ᵝ
わたくしども	ɰᵝ a̠ t a̠ k ɯ̟̊ᵝ ɕ i d o̞ m o̞
わたぐも	ɰᵝ a̠ t a̠ ɡ ɯ̟ᵝ m o̞
わたげ	ɰᵝ a̠ t a̠ ɡ e̞
わたりどり	ɰᵝ a̠ t a̠ ɾʲ i d o̞ ɾʲ i
わぬ	ɰᵝ a̠ n ɯ̟ᵝ
わめく	ɰᵝ a̠ m e̞ k ɯ̟ᵝ
わら	ɰᵝ a̠ ɾ a̠
わらい	ɰᵝ a̠ ɾ a̠ i
わらう	ɰᵝ a̠ ɾ a̠ ɯ̟ᵝ
わらぶき	ɰᵝ a̠ ɾ a̠ b ɯ̟ᵝ kʲ i
わらべ	ɰᵝ a̠ ɾ a̠ b e̞
わり	k a̠ t͡s ɨᵝ
わりちゅう	ɰᵝ a̠ ɾʲ i t͡ɕ ɨᵝː
わる	ɰᵝ a̠ ɾ ɯ̟ᵝ
わんさ	ɰᵝ ã̠ ɰ̃ s a̠
をことてん	o̞ k o̞ t o̞ t ẽ̞ ɴ
ゔぇ	b e̞
